"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1yPmVRjVjyJ9CPVlXx5Wfb","Nose Art","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","3","118320","https://p.scdn.co/mp3-preview/793c0d1d0e43519861a7ac3d3e78709348de2161?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T20:43:41Z"
"spotify:track:25CbtOzU8Pn17SAaXFjIR3","Take The Power Back","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","spotify:album:4Io5vWtmV1rFj4yirKb4y4","Rage Against The Machine - XX (20th Anniversary Special Edition)","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","1992","https://i.scdn.co/image/ab67616d0000b2737676c7bf4e667590e496c2a3","1","3","336440","https://p.scdn.co/mp3-preview/b44e8f96a219871587d0559970ca5dce71c891f2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T21:01:02Z"
"spotify:track:3WalxjlkYSorFfKgNn4eya","Featherweight Hate","spotify:artist:61jq0F04ecataLAuDADgnF","Street Sects","spotify:album:0qnkPX1fxM6hEnnVIl4Jw7","End Position","spotify:artist:61jq0F04ecataLAuDADgnF","Street Sects","2016-09-16","https://i.scdn.co/image/ab67616d0000b27356c861ea95f473d5732c17a7","1","4","159880","https://p.scdn.co/mp3-preview/3814ac02ef9e7d2ab751abe347edf89101005753?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T20:43:07Z"
"spotify:track:74qgrn0YAo3cgRcH4xQBsA","Golden Brown","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","spotify:album:7AHbaRIYnilUwe981nZpmi","Yank Crime","spotify:artist:7FbdCzKUwoZs1v9bCl43Ev","Drive Like Jehu","1994","https://i.scdn.co/image/ab67616d0000b273e601454f9f3c90a969e7260e","1","3","194533","https://p.scdn.co/mp3-preview/e03c621b8f1d3b3c90dae7fb1dfd6f5142cc7d6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T20:51:30Z"
"spotify:track:7fHqVBM914EJjzujOnUBFz","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:1nZ6KcrNVpW85ajKHF1xoY","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2014-09-02","https://i.scdn.co/image/ab67616d0000b27341c8401ff35e219416ace858","1","1","174403","https://p.scdn.co/mp3-preview/b9a2be7e4ff19a176f8e5109536332c9bef4c2eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T20:51:01Z"
"spotify:track:78TSSkAMiuFxmhydY1eyeF","Harvest","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:18qC4zoq1xoK4xyZm6KKYY","Ultu Ulla","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2017-07-28","https://i.scdn.co/image/ab67616d0000b273493c53a30fe5d72d84ac16c9","1","7","254440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T20:45:01Z"
"spotify:track:44XV05LzPeL6nFtNabtBJt","Big Beast (feat. Bun B, T.I., and Trouble)","spotify:artist:2N4EYkIlG1kv25g6Wv8LGI, spotify:artist:45a6gCQWq61lIUDmr1tKuO, spotify:artist:4OBJLual30L7gRl5UkeRcT, spotify:artist:0eayuW5zGMgvXCEmcP7ivq","Killer Mike, Bun B, T.I., Trouble","spotify:album:5EAhUoAz1G3WTvIfGZvmrh","R.A.P. Music","spotify:artist:2N4EYkIlG1kv25g6Wv8LGI","Killer Mike","2012-05-15","https://i.scdn.co/image/ab67616d0000b273395afe547468f53ce908d819","1","1","234720","https://p.scdn.co/mp3-preview/f448f306078fa40d61cdf66f599d546319262a8e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T20:45:31Z"
"spotify:track:7Cq27Qc3WRyQ3ddwVslpVZ","Heart Attack","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:3KqA7GS5ruZN70yBP2jFMJ","Chaxsthexry","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2017-04-01","https://i.scdn.co/image/ab67616d0000b273ad0a9e085d8e99c1818b24d2","1","4","193567","https://p.scdn.co/mp3-preview/e9e885b31ce4bd46b31ae19efb789591cec26ec3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T20:46:06Z"
"spotify:track:0BiKFgl8a6UZvJhv8v0tCb","The Purge","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:77esJILHiTRAXl6yGgR4kW","Lxrdszn","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2017-09-29","https://i.scdn.co/image/ab67616d0000b273aa3d28447ecb448c7c5ce742","1","5","168672","https://p.scdn.co/mp3-preview/72b1f9d586ddb8157c14a9e857f4136260116ec1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T20:46:14Z"
"spotify:track:0kCfKToIFZFQQAaSQHcjRL","LTE","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","spotify:album:4xaL2Tk7ZY9tUy3G3js5c5","YUNGDEATHLILLIFE","spotify:artist:1VPmR4DJC1PlOtd0IADAO0","$uicideboy$","2015-05-08","https://i.scdn.co/image/ab67616d0000b273c119fcb048a5f5aeda7013cd","1","3","133746","","true","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2019-02-28T20:46:22Z"
