"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:73MYXXOV9DKwq8MVuSOpMT","SPRORGNSM","spotify:artist:0Wkm45quqfx3NepJpXDvwE","Superorganism","spotify:album:15TFB6uLZlb3gnCysRrLix","Superorganism","spotify:artist:0Wkm45quqfx3NepJpXDvwE","Superorganism","2018-03-02","https://i.scdn.co/image/ab67616d0000b273157830dc62daffb4f00953c1","1","5","200170","https://p.scdn.co/mp3-preview/23fc4e7bfd9eda13feba17f69b331bfcda64f4e6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:1219997704","2019-12-13T03:01:04Z"
"spotify:track:4BVFVaa1fDo20Ud1q5Gd2N","Everybody Wants To Be Famous","spotify:artist:0Wkm45quqfx3NepJpXDvwE","Superorganism","spotify:album:15TFB6uLZlb3gnCysRrLix","Superorganism","spotify:artist:0Wkm45quqfx3NepJpXDvwE","Superorganism","2018-03-02","https://i.scdn.co/image/ab67616d0000b273157830dc62daffb4f00953c1","1","2","184986","https://p.scdn.co/mp3-preview/c5d97dccff4cf688ea96631e1015984aef4bcab5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:1219997704","2019-12-13T03:01:16Z"
"spotify:track:2YalDCU0tWxJfNdFPor3Rh","Boy Problems","spotify:artist:6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen","spotify:album:6UjZgFbK6CQptu8aOobzPV","Emotion","spotify:artist:6sFIWsNpZYqfjUpaCgueju","Carly Rae Jepsen","2015-08-21","https://i.scdn.co/image/ab67616d0000b2739aaa999f62cd7309e30fdad4","1","6","222280","https://p.scdn.co/mp3-preview/75ca277dc68672d026834e527e3a268ea2833fa0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:1219997704","2019-12-13T03:04:17Z"
"spotify:track:0w5Bdu51Ka25Pf3hojsKHh","Hard Times","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","spotify:album:1c9Sx7XdXuMptGyfCB6hHs","After Laughter","spotify:artist:74XFHRwlV6OrjEM0A2NCMF","Paramore","2017-05-12","https://i.scdn.co/image/ab67616d0000b273dbd83e179619408e5d05cc99","1","1","182693","https://p.scdn.co/mp3-preview/1ae8a68052ecd129428710e12a0be397273d7d97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","spotify:user:1219997704","2019-12-13T03:04:56Z"
"spotify:track:5xTtaWoae3wi06K5WfVUUH","Shake It Off","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:2QJmrSgbdM35R67eoGQo4j","1989","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2014-10-27","https://i.scdn.co/image/ab67616d0000b273c79b600289a80aaef74d155d","1","6","219200","https://p.scdn.co/mp3-preview/bc46ee02557aa7268f74de4c08ae27bf3798a4b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:1219997704","2019-12-13T03:05:19Z"
"spotify:track:1VTicwJhhJloai3UNWzzVW","I Like (the idea of) You","spotify:artist:5DD5GZd4ElmQTy9NleMvKJ","Tessa Violet","spotify:album:22Q7rFTYQyqwcgmpNJbjrP","Bad Ideas","spotify:artist:5DD5GZd4ElmQTy9NleMvKJ","Tessa Violet","2019-10-25","https://i.scdn.co/image/ab67616d0000b27365fece751e6c3fbd821e00f8","1","4","169762","","false","0","spotify:user:1219997704","2019-12-13T03:05:26Z"
"spotify:track:2lnZ26Iq1QOcW8dgazCuk3","Debbie","spotify:artist:2kTZfKGZEj8R76z3ooKOF1","Your Smith","spotify:album:2cn7Li2egOLZaR0PdVzcmb","Bad Habit","spotify:artist:2kTZfKGZEj8R76z3ooKOF1","Your Smith","2018-08-24","https://i.scdn.co/image/ab67616d0000b27316d62dc2791a9d9a553aa0ef","1","3","191746","https://p.scdn.co/mp3-preview/3ffc32eb7ee15ab6f9c1536d9b0fc438f3353f95?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:1219997704","2019-12-13T03:06:02Z"
"spotify:track:5Y7DSov75Ic5viePFoD0WX","The Spot","spotify:artist:2kTZfKGZEj8R76z3ooKOF1","Your Smith","spotify:album:1O24l7mxJn2iKfgEiepZP4","The Spot","spotify:artist:2kTZfKGZEj8R76z3ooKOF1","Your Smith","2018-06-29","https://i.scdn.co/image/ab67616d0000b273d87bc6d33a1648bf1918dbbf","1","1","171382","https://p.scdn.co/mp3-preview/4c7d75d6c0019735cac3b5aad348609f7a414813?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:1219997704","2019-12-13T03:06:03Z"
"spotify:track:1WnB6Oe5PHoV83UIYmq0sz","Powder Blue / Cascine Park","spotify:artist:4tPyCwWrsvZ8OKYl7QRavL","Yumi Zouma","spotify:album:4lxRHOuEOdEdFAfPK3mdQC","EP III","spotify:artist:4tPyCwWrsvZ8OKYl7QRavL","Yumi Zouma","2018-09-28","https://i.scdn.co/image/ab67616d0000b2739d2fbbb92097b9f7d366ea3a","1","1","228240","","false","4","spotify:user:1219997704","2019-12-13T03:06:07Z"
"spotify:track:3lScEt59oLgKYWGrYkGOAK","Persephone","spotify:artist:4tPyCwWrsvZ8OKYl7QRavL","Yumi Zouma","spotify:album:2N5MTvTDwPXS1plrMRUyL7","Willowbank","spotify:artist:4tPyCwWrsvZ8OKYl7QRavL","Yumi Zouma","2017-10-06","https://i.scdn.co/image/ab67616d0000b27399f4adbf1e32cc1bd07e8acf","1","2","273774","","false","3","spotify:user:1219997704","2019-12-13T03:06:13Z"
"spotify:track:0EEse18Npn0skDbE7Bpbi1","Dollar - 20syl Remix","spotify:artist:7sgWBYtJpblXpJl2lU5WVs, spotify:artist:6mA4csYsYvf4Mq02PleZEV","Electric Guest, 20syl","spotify:album:4fhZ059kHDR1z4bWr2ygOK","Dollar (20syl Remix)","spotify:artist:7sgWBYtJpblXpJl2lU5WVs, spotify:artist:6mA4csYsYvf4Mq02PleZEV","Electric Guest, 20syl","2019-09-03","https://i.scdn.co/image/ab67616d0000b2735e36244d087ecbf33b708fd6","1","1","214058","https://p.scdn.co/mp3-preview/da375cc522d9e939eb2aa3b595fab78ecfb0bccb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","spotify:user:1219997704","2019-12-13T03:06:15Z"
"spotify:track:1tzPSule9WZ9B8SujHv8fp","This Head I Hold","spotify:artist:7sgWBYtJpblXpJl2lU5WVs","Electric Guest","spotify:album:6AbrLabiBsj3yzk5H2g1al","Mondo","spotify:artist:7sgWBYtJpblXpJl2lU5WVs","Electric Guest","2012-01-01","https://i.scdn.co/image/ab67616d0000b273c9c0fb3eb5330543b2768118","1","2","175773","https://p.scdn.co/mp3-preview/3f232290574236b01a1fdb3d1cd0920eca32b470?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:1219997704","2019-12-13T03:07:02Z"
"spotify:track:6iT0RT8KBWsaYOHGPJchGS","The Glow","spotify:artist:63XBtGSEZINSyXylZxEUbv","Victoria Monét","spotify:album:3AaaX5cJpQPUzL2UznWu7q","Insecure: Music from the HBO Original Series, Season 3","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2018-09-21","https://i.scdn.co/image/ab67616d0000b2736f3cc77937e77b0d012949f3","1","19","177560","https://p.scdn.co/mp3-preview/4f2b2d37ce7ee9e7fd6b632955ebe70f97949401?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:1219997704","2019-12-13T03:07:23Z"
"spotify:track:6xagjcywpcyNFghafZPQJv","Banana Clip","spotify:artist:360IAlyVv4PCEVjgyMZrxK","Miguel","spotify:album:05LEST8E8mkEIl2LRfUkcI","War & Leisure","spotify:artist:360IAlyVv4PCEVjgyMZrxK","Miguel","2017-12-01","https://i.scdn.co/image/ab67616d0000b2735e9dff10c31ac14c6c6c920d","1","4","201626","https://p.scdn.co/mp3-preview/e218b45d8a8ee66dcb538fbbee97f92db4547a66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:1219997704","2019-12-13T03:07:46Z"
"spotify:track:0EM0yABJzbFOvZQkfvuvCy","TOGETHER","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:2VAnyOxzJuSAj7XIuEOT38, spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","KAYTRANADA, AlunaGeorge, GoldLink","spotify:album:1dZZh7PvVgce1DDsDPzy8Z","99.9%","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2016-05-06","https://i.scdn.co/image/ab67616d0000b27342c18fe458181bc13d08070a","1","4","197240","","true","2","spotify:user:1219997704","2019-12-13T03:07:50Z"
