"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0UwErLRd1lHttHFuLqH3pP","Tripoli","spotify:artist:4ZWvN9FEfdTea1SEHjpTNi","Pinback","spotify:album:3gZmE2fq4pkJueLqjTrS7u","Pinback","spotify:artist:4ZWvN9FEfdTea1SEHjpTNi","Pinback","1999","https://i.scdn.co/image/ab67616d0000b27329d7510ead34151868f71d82","1","1","270866","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-30T22:10:11Z"
"spotify:track:5BSz8sJO2YmKfNVQG7fq2J","ULT","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:42fyKPanos0Q3woi848ktg","Imperial","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2016-10-14","https://i.scdn.co/image/ab67616d0000b273166442984ba98f0a2dcaea5e","1","1","247054","https://p.scdn.co/mp3-preview/fdb62fd55106ac9ee886f4d806d74883003af46c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-28T01:39:26Z"
"spotify:track:4bOxhgtFPVTUvCDYpBMdsB","Fennel","spotify:artist:5wjsosdEPo4UDjTxfEexCA","Chad Mossholder","spotify:album:6mpCAQPqKRmhTorTWNVaLP","Non-Site Specific","spotify:artist:5wjsosdEPo4UDjTxfEexCA","Chad Mossholder","2014-12-16","https://i.scdn.co/image/ab67616d0000b2738b1adcddf83436e6145bf55e","1","1","286560","https://p.scdn.co/mp3-preview/88b4c322ad15c0e2019aaace5b2ef4077356a11a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-28T01:39:26Z"
"spotify:track:2Y0iGXY6m6immVb2ktbseM","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","spotify:album:7GjVWG39IOj4viyWplJV4H","Little Dark Age","spotify:artist:0SwO7SWeDHJijQ3XNS7xEE","MGMT","2018-02-09","https://i.scdn.co/image/ab67616d0000b273b47d309281c66820b7137f5d","1","2","299960","https://p.scdn.co/mp3-preview/624494f31c4716d324a7d56f027e737254fb30e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-28T01:39:26Z"
"spotify:track:53qkkSKD3fQaZmzA2vGoo4","Time Traveler","spotify:artist:7fVp0A6oCMfiQJihMnY0SZ","KNOWER","spotify:album:4Zs8pUAVPJjiSjIEtI9BG8","Let Go","spotify:artist:7fVp0A6oCMfiQJihMnY0SZ","KNOWER","2013-04-29","https://i.scdn.co/image/ab67616d0000b2732095acbb922fe322cc3fd6dd","1","2","226500","https://p.scdn.co/mp3-preview/144b5642527ed7d1885dc73e6c43c17e8b0e4357?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-28T01:39:26Z"
"spotify:track:0QUojS0q0TNRDs4qkSglGa","Butts Tits Money","spotify:artist:7fVp0A6oCMfiQJihMnY0SZ","KNOWER","spotify:album:4SVxz8yqIymDrdiX2YBeQe","Life","spotify:artist:7fVp0A6oCMfiQJihMnY0SZ","KNOWER","2016-02-05","https://i.scdn.co/image/ab67616d0000b2738e194060682e9dd33e652e8f","1","6","213529","https://p.scdn.co/mp3-preview/4eeeba65b9a8d83e04270f19319b6c60bbc3b865?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-28T01:39:26Z"
"spotify:track:5Fwq7F2yjF3eQnvkfjN4LY","Ants","spotify:artist:3H6Js0rhywEhHda3UwuhGW","edIT","spotify:album:7sJSXP1964vbewXfPZrGA9","Crying over Pros for No Reason (Deluxe Edition)","spotify:artist:3H6Js0rhywEhHda3UwuhGW","edIT","2004-05-17","https://i.scdn.co/image/ab67616d0000b273bd0b227687256814d39beed6","1","2","243133","https://p.scdn.co/mp3-preview/0c45d9398edb39ab65e1af2eb07be12109c0c0b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-28T01:39:26Z"
"spotify:track:6yV07yVfbB7Gb15o2MqG8q","Truth","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","spotify:album:4l4tKi4qr6xQzK85rrR5LM","Truth","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","2017-04-13","https://i.scdn.co/image/ab67616d0000b273ea1c5f615776b416024be9ea","1","1","810322","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-28T01:39:26Z"
"spotify:track:3HsOlSmTjiUmwJLrrNutDR","Real Nega","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","spotify:album:22LKdgY3vLsAsWrOafwCM3","Veteran","spotify:artist:6yJ6QQ3Y5l0s0tn7b0arrO","JPEGMAFIA","2018-01-19","https://i.scdn.co/image/ab67616d0000b2739a8fce763b8a58d7d3e4a7f2","1","2","150933","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-28T01:39:26Z"
"spotify:track:05XsaFSfkfX1gp1B8McXen","Now (feat. Rye Rye)","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:0S05AeePINj4CeTVMfysIu","Bassnectar, Rye Rye","spotify:album:7gYsqd3NQTi6d7wdm1sY0E","Noise vs Beauty","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2014-06-24","https://i.scdn.co/image/ab67616d0000b2736fcfdad06cb9c523d83948bd","1","2","246428","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-05-28T01:39:26Z"
