"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1Ae2QJGUPtnCzdA4XYn1NF","Flesh","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","spotify:album:2W5rUof3EANdwzqAMtAWhF","N / O / I / S / E","spotify:artist:3uL4UpqShC4p2x1dJutoRW","Ghostemane","2018-10-10","https://i.scdn.co/image/ab67616d0000b273b5ea1cb4ed9ef489db89597f","1","3","79270","https://p.scdn.co/mp3-preview/9a8f056718bed8a60b55342bd1a70cc71c041cef?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
"spotify:track:2MCi2RbknyjiyftnbJPM9J","RAGING FISTS (Feat. KAMIYADA)","spotify:artist:12piaOdtI9Dh5d7GYr1Fyj, spotify:artist:7cB6KjTm98hhNE9eeyhcnF","Rare Akuma, Kamiyada+","spotify:album:2Glzj15CsL8VECblFRW6sZ","RAGING FISTS","spotify:artist:12piaOdtI9Dh5d7GYr1Fyj","Rare Akuma","2017-11-07","https://i.scdn.co/image/ab67616d0000b273b8da9dd32c6951b1ae09cd20","1","1","145920","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
"spotify:track:2Eb5AK8EUN8oz5nlzSr4b7","BXILING PXINT","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:09EUyV2T88hIcIBnlNyrNF","DXXM","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2018-05-04","https://i.scdn.co/image/ab67616d0000b273d31792abc205d3349c1aa98b","1","1","169230","https://p.scdn.co/mp3-preview/f31688e96699c1f68d8dd779f83f788f5b0691e1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
"spotify:track:7fHqVBM914EJjzujOnUBFz","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:1nZ6KcrNVpW85ajKHF1xoY","Bone Collector","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2014-09-02","https://i.scdn.co/image/ab67616d0000b27341c8401ff35e219416ace858","1","1","174403","https://p.scdn.co/mp3-preview/b9a2be7e4ff19a176f8e5109536332c9bef4c2eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
"spotify:track:3cy5kSb3ZxYKoPg3WRgQoT","we waste time FADED","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","spotify:album:09EUyV2T88hIcIBnlNyrNF","DXXM","spotify:artist:6rYogEVj60BCIsLukpAnwr","Scarlxrd","2018-05-04","https://i.scdn.co/image/ab67616d0000b273d31792abc205d3349c1aa98b","1","5","147428","https://p.scdn.co/mp3-preview/341bbc034ced9a91698f2446583f5c6364d691f8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
"spotify:track:7bBvKu3m3u96IlreXXal15","Yellow Tape (Error)","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:0wiRPWyWkwGbPww1LsRSQD","Cyber Warfare","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2019-08-15","https://i.scdn.co/image/ab67616d0000b2732def6ae16a03ff38174559c0","1","4","157954","https://p.scdn.co/mp3-preview/0f0dc2150aa5007767407c9dc7d7d48c02ef3ffd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
"spotify:track:14nIVwvAYEAvUN775ZBjvs","F.O.G. (Error)","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","spotify:album:0wiRPWyWkwGbPww1LsRSQD","Cyber Warfare","spotify:artist:5KuuNGYTUTokLerXMNYCGL","Ho99o9","2019-08-15","https://i.scdn.co/image/ab67616d0000b2732def6ae16a03ff38174559c0","1","7","265582","https://p.scdn.co/mp3-preview/19d2fd4dcdf5ed0ab3614d49ecbcb5f3e4c0dbfd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
"spotify:track:2QbGvQssb0VLLS4x5NOmyJ","RICKY","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","2","147866","https://p.scdn.co/mp3-preview/e3ea2170d154c3097a374ae696dd10cc0e226e2d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
"spotify:track:0pA0rcw7ci5X5XHrnBpkdn","BIRDZ FEAT. RICK ROSS","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Denzel Curry, Rick Ross","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","4","204386","https://p.scdn.co/mp3-preview/6701e96869e8db61d4afd244f7c0bf0b5f990950?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
"spotify:track:2TqfASuL5JRds7bJX01PdZ","AUTOMATIC","spotify:artist:6fxyWrfmjcbj5d12gXeiNV, spotify:artist:5xkFVS6IwwgHEAaRzXc9U3","Denzel Curry, Tay Keith","spotify:album:6PkSBdx19zarn4ae1D08gA","ZUU","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2019-05-31","https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480","1","5","182520","https://p.scdn.co/mp3-preview/ccc7c945be7dc558b74cc00455fd2e08d840d35a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-02-08T18:57:13Z"
