"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:100WXBiJbtUUQX9KWZPNLb","Internal Bleeding","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","1","182093","https://p.scdn.co/mp3-preview/b77d61aed8c5503bea5d76c43e02f005fea6bef4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
"spotify:track:31eWx2iRxDKYAXJNYuyVec","Godly Beings","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","2","115000","https://p.scdn.co/mp3-preview/9dbb9e05cc3749dfd605c0bd2280972047f461c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
"spotify:track:2i7Wseoe4SNpNaN0AScC12","'Til Death","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","3","236466","https://p.scdn.co/mp3-preview/bca174271ae6ae89ddeff1c6520dfbd6b87181ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
"spotify:track:5F6ZrWLngDICyjazxM1gNq","Slowly We Rot","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","4","218426","https://p.scdn.co/mp3-preview/92da392a2396e48a3eab2b276a668f9093354c31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
"spotify:track:19fCZI1UbXYP4kESLq80bf","Immortal Visions","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","5","144226","https://p.scdn.co/mp3-preview/4c086c7bd9e3dc805bcfc8e55e4e4de0a0828e41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
"spotify:track:0lcZMKgNq5vtjwF5tra817","Gates to Hell","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","6","168933","https://p.scdn.co/mp3-preview/504ad74d79f184ee65ee18a844677bfc7842a319?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
"spotify:track:6Dv5dxKNiOwqQWQ8pNDxIw","Words of Evil","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","7","114626","https://p.scdn.co/mp3-preview/d5dbdc3a87d83ef6ccd12a71d544b2c53c46700a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
"spotify:track:6hfNTU12i4U4yY96uY7amf","Suffocation","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","8","154173","https://p.scdn.co/mp3-preview/a8873eff27a05029b7079c6a5b959bf0921aa7a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
"spotify:track:65EIJff50L1YnijWPTOPMz","Intoxicated","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","9","280640","https://p.scdn.co/mp3-preview/85445e1215d8099222b326fcc2f2ed256181accb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
"spotify:track:50zneZX4lIAuBklFwHXz1k","Deadly Intentions","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:7H5MWoD8M6dEQoSj3SMHP7","Slowly We Rot (Reissue)","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","1989","https://i.scdn.co/image/ab67616d0000b27399e61598a6199d86aa0b8eac","1","10","128973","https://p.scdn.co/mp3-preview/e8bce78ab30a22a2917cc89336564fdf7fe29cee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-07T00:31:52Z"
