"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:local:Metallica:Ride+the+Lightning:For+Whom+the+Bell+Tolls:311","For Whom the Bell Tolls","","Metallica","","Ride the Lightning","","","","","0","0","311000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-08T22:37:08Z"
"spotify:track:28kObNFRLVjnB0sw4K4W8I","Would?","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","spotify:album:2VNui22dikp6XEMdK8j8Xs","Dirt","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","1992","https://i.scdn.co/image/ab67616d0000b2739d2450f6bc009e20f4dbf6c6","1","13","206773","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-08T22:37:34Z"
"spotify:track:4jaa3ZAqqukKANHSIQ27YH","Creeping Death","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:28EHPejVjC5XdLrR0I9baK","Ride The Lightning","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1984","https://i.scdn.co/image/ab67616d0000b273004d19969efc04d027d3e688","1","7","396133","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-08T22:37:55Z"
"spotify:track:0MEvJkkyhAcckyWkVksbzI","Outshined","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:6AA5g730FNzwKI08H7rxBk","Badmotorfinger","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1991-10-08","https://i.scdn.co/image/ab67616d0000b273f3d09e34a20117b3b1f84ff4","1","2","310533","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-08T22:38:06Z"
"spotify:track:7p7F0wilJFy4w6DsQ4O1se","Pictures of Home","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","spotify:album:1EK3a0Yctg4d3nGQzE4Uty","Machine Head","spotify:artist:568ZhdwyaiCyOGJRtNYhWf","Deep Purple","1972-03-25","https://i.scdn.co/image/ab67616d0000b273bc9b44e950d5440ff65ea926","1","3","306133","https://p.scdn.co/mp3-preview/80aebab6137a4e80975ec52ba7600adde521bdbf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-08T22:38:38Z"
"spotify:track:6tKEKKx2FV8CLjqNSWXE1F","Science","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:4DR0GWo7w2GJyQnFVa4jAB","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2001-01-01","https://i.scdn.co/image/ab67616d0000b2732c8ceb2f9b28109b36d07bc4","1","10","162666","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-08T22:38:38Z"
"spotify:track:33hy20OHQwMFhDlkaDsi6s","Phantom of the Opera","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:5SblDkbcYnFph79O6sFxat","Iron Maiden","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1980","https://i.scdn.co/image/ab67616d0000b2734c111d9ca05d852bbca7e652","1","5","426373","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-08T22:38:38Z"
"spotify:local:Voivod:Nothingface:Nothingface:254","Nothingface","","Voivod","","Nothingface","","","","","0","0","254000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-08T22:39:17Z"
"spotify:track:4QPWEcIpcQ8FDzKFNrteBz","Bare Bones","spotify:artist:0NmYchKQ8JIR9QHYJA0FRe","Overkill","spotify:album:73VlOsBgtM73Qh8iivxEMo","Horrorscope","spotify:artist:0NmYchKQ8JIR9QHYJA0FRe","Overkill","1991-08-30","https://i.scdn.co/image/ab67616d0000b273548a94469bcc563e752cff92","1","5","292920","https://p.scdn.co/mp3-preview/649a03407ca6dd094eac19bf2ec4b7dde6081ecc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-16T01:07:33Z"
"spotify:local:Tool:Aenima:Forty+Six+%26+2:364","Forty Six & 2","","Tool","","Aenima","","","","","0","0","364000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-21T16:54:16Z"
"spotify:local:Black+Sabbath:Paranoid:Paranoid:169","Paranoid","","Black Sabbath","","Paranoid","","","","","0","0","169000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-21T16:54:35Z"
