"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5lZdWUv9QbMjbGAfSTqOnc","Unnatural Selection","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7lIKPCvbrINW45HcmdW80Q","Unnatural Selection","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2013-06-25","https://i.scdn.co/image/ab67616d0000b27361e3f41d0397a6ab5e1697d3","1","10","256440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T03:39:23Z"
"spotify:track:7DjhoPdaQehtXB6rm55B1S","Drinking Man","spotify:artist:7H3vFudAv1N7YmbnmUGdxn","The Shrine","spotify:album:120LnbSBpR6BosIYCMn02t","Primitive Blast","spotify:artist:7H3vFudAv1N7YmbnmUGdxn","The Shrine","2012-07-10","https://i.scdn.co/image/50f92177be257cb6e7c59320b3c45e84d175a3e3","1","8","241666","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T03:39:29Z"
"spotify:track:0vPepcVQ3aYlkhTtfCBg89","Strange Ones","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","spotify:album:3YfIjaJEWqiSbKPguS9Bxd","I Should Coco","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","1995-05-15","https://i.scdn.co/image/ab67616d0000b2737d2fd2378160e40c96bc61ff","1","7","259760","https://p.scdn.co/mp3-preview/d84dd0c9ff13d4e64d2fbb0a4b51bd840285d782?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T03:39:47Z"
"spotify:track:521Xj7hmRO57LRGaIyK2YK","The Inebriator","spotify:artist:2Ah9OuOj7B57gPD1cbwiaE","Municipal Waste","spotify:album:7cU3FZ3u2jgKd5s8hhKJ9h","The Art of Partying","spotify:artist:2Ah9OuOj7B57gPD1cbwiaE","Municipal Waste","2007","https://i.scdn.co/image/ab67616d0000b273760a0ad8dce3c88c9907352a","1","6","127920","https://p.scdn.co/mp3-preview/619a9bb8461e8e9b8c74f67b911f40ac978f56af?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T03:39:40Z"
"spotify:track:6aww6BwOQHNfybwqeUn5rN","The End Of The Day","spotify:artist:0HL3VfiCFw8yhNjYsWLPHy","Ekotren","spotify:album:7N1blqKDRzZpzYouDNllvb","The Dead Of Night","spotify:artist:0HL3VfiCFw8yhNjYsWLPHy","Ekotren","2011-01-25","https://i.scdn.co/image/ab67616d0000b27375f58249635617b2739925bf","1","1","271000","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T03:39:53Z"
"spotify:track:3hHSOMGBpwP0y9RSdJUfCZ","Reverse Thunder","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:1orQuQDeSCf7yEPSEAb6Gb","Red Fang","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2009-03-10","https://i.scdn.co/image/ab67616d0000b273bc7bd2dafbd55237b170777c","1","2","195453","https://p.scdn.co/mp3-preview/d40a01c3c8b5e333ff33c017b747332c05148cf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T03:40:30Z"
"spotify:track:0cic6FEDu3cWUnSklJywrO","Dark Carnival of the Immaculate","spotify:artist:79pfxECHSboPWv79E5R2Dt","I Am Ghost","spotify:album:4nbRnkIZ72AbHOpBCLSTRz","Lovers' Requiem","spotify:artist:79pfxECHSboPWv79E5R2Dt","I Am Ghost","2006-10-10","https://i.scdn.co/image/ab67616d0000b273a802a9078b46f8a0f5b978ff","1","4","195773","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T03:41:23Z"
"spotify:track:5SGXoKbLxRofhsMU5EnlD0","Kettle","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","1","235306","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-17T07:36:58Z"
"spotify:track:5kaSEXuHcdQZcJqtQs5pjz","Kick To Kill","spotify:artist:5rIXueJu7zVE2gDZjUM6g8","Pop Will Eat Itself","spotify:album:2ZWYbyMqlZZ8wyqe3GcJmz","Dos Dedos Mis Amigos","spotify:artist:5rIXueJu7zVE2gDZjUM6g8","Pop Will Eat Itself","1994-01-01","https://i.scdn.co/image/ab67616d0000b273ab84ca0a3df6071384b104f6","1","2","204840","https://p.scdn.co/mp3-preview/a6ba82d107a581fb3638be0f674a1aeb83712c6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T03:42:25Z"
"spotify:track:7b5DMBbEEPqXvkiZmuxKHZ","Missing Link","spotify:artist:1TKaUU8ooBgSW9TlyKsw6k","Fu Manchu","spotify:album:0deN3iVx64asyGoRt3CdLL","In Search Of","spotify:artist:1TKaUU8ooBgSW9TlyKsw6k","Fu Manchu","1996-01-01","https://i.scdn.co/image/ab67616d0000b2730eb82b2d67e5746b1f1f8c53","1","2","201813","https://p.scdn.co/mp3-preview/31bcf5c3ba99fd2c576885c8b39f8a5f95e976bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T03:51:37Z"
"spotify:track:1AxtwVDqc0LJeRjMf9MGBh","Will That Never Dies","spotify:artist:3xtIpqzIOfQUxKce8BU4Ka","Crowbar","spotify:album:1lasro8GUgLe5uuLeU1kqm","Crowbar","spotify:artist:3xtIpqzIOfQUxKce8BU4Ka","Crowbar","1993","https://i.scdn.co/image/ab67616d0000b27307a1a59e25e52f939baaf72d","1","3","236960","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-10T03:48:29Z"
"spotify:track:3eI2C0gohXlg4AsavdYSiz","Punishment","spotify:artist:3nhxXtHwC2TookQyqQlFK1","Biohazard","spotify:album:4ZtfEq2ES0vRMUY5shqDws","Urban Discipline","spotify:artist:3nhxXtHwC2TookQyqQlFK1","Biohazard","1992","https://i.scdn.co/image/ab67616d0000b27369ea37238ccefe6b923e4273","1","2","284066","https://p.scdn.co/mp3-preview/225e49829cfe7dd942e5fd5628abf117b81172b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-18T04:36:39Z"
"spotify:track:2jJMCmmrQKukglEYZ8Gl7B","Invidious","spotify:artist:4I9kzJ3Ew3qPoN66UPJUl3","Revocation","spotify:album:47jA11vQRwLyLDAEFWDmDy","Revocation","spotify:artist:4I9kzJ3Ew3qPoN66UPJUl3","Revocation","2013-08-06","https://i.scdn.co/image/ab67616d0000b273ea681f85a0e8a9b7cee43679","1","7","266613","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-13T05:03:59Z"
"spotify:track:0thbKciGFyD6LDmNVrlCyv","Leather Lord","spotify:artist:0gNkDUN42nBxKOcpoF7iQ4","3 Inches Of Blood","spotify:album:619b0T0ehQ4e9Wb2jBsQtu","Long Live Heavy Metal","spotify:artist:0gNkDUN42nBxKOcpoF7iQ4","3 Inches Of Blood","2012-03-26","https://i.scdn.co/image/ab67616d0000b273e6c5cba7dba63b6f3d97ee1d","1","3","237933","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-13T05:04:18Z"
