"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:33ZXjLCpiINn8eQIDYEPTD","Shook Ones, Pt. II","spotify:artist:6O2zJ0tId7g07yzHtX0yap","Mobb Deep","spotify:album:1cCAb1vN8uUsdfEylVmTLs","The Infamous","spotify:artist:6O2zJ0tId7g07yzHtX0yap","Mobb Deep","1995-04-25","https://i.scdn.co/image/ab67616d0000b273a2203fa0656cede30f879b97","1","15","325506","https://p.scdn.co/mp3-preview/a7fb76a71c5117b78a3d0fcee9ca34722e7df973?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T19:55:40Z"
"spotify:track:5ByAIlEEnxYdvpnezg7HTX","Juicy - 2005 Remaster","spotify:artist:5me0Irg2ANcsgc93uaYrpb","The Notorious B.I.G.","spotify:album:2HTbQ0RHwukKVXAlTmCZP2","Ready to Die (The Remaster)","spotify:artist:5me0Irg2ANcsgc93uaYrpb","The Notorious B.I.G.","1994-09-13","https://i.scdn.co/image/ab67616d0000b273db09958534ac66f9a90d3cf7","1","10","302760","https://p.scdn.co/mp3-preview/e04fdeb593a77b43f2188189ec377f3fd5595f50?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T19:55:53Z"
"spotify:track:3tAhpfyJ8HK1r8uCV7x3Uw","Gotta Get Mine","spotify:artist:63727CmmJ8oWFh8eAHvDYq","MC Breed","spotify:album:28fqVOCafO4FCNb2ePtUHS","The New Breed","spotify:artist:63727CmmJ8oWFh8eAHvDYq","MC Breed","2006-01-01","https://i.scdn.co/image/ab67616d0000b273784b96d4d70ac2860c7d8a38","1","3","264760","https://p.scdn.co/mp3-preview/598e74166be906690c9179a719490b6a4231ad44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T19:56:07Z"
"spotify:track:5cKQS9890SpoU2DyqclNWG","Feel Me Flow","spotify:artist:4Otx4bRLSfpah5kX8hdgDC","Naughty By Nature","spotify:album:5KqpuP7ZveGmNoZI8uZ3p3","Rhino Hi-Five: Naughty By Nature","spotify:artist:4Otx4bRLSfpah5kX8hdgDC","Naughty By Nature","2005-06-21","https://i.scdn.co/image/ab67616d0000b27342ce8ecd7eebe34a0c30e19b","1","3","212560","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T19:56:28Z"
"spotify:track:1RXEb6UTxJ05RffnAWfUOE","Player's Ball","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","spotify:album:3l5AwLKqQ42VJbc5lTuP8G","Southernplayalisticadillacmuzik","spotify:artist:1G9G7WwrXka3Z1r7aIDjI7","Outkast","1994-04-26","https://i.scdn.co/image/ab67616d0000b273aa769e35e297a20f214d0c64","1","7","261266","https://p.scdn.co/mp3-preview/a7a35bb531821772d7ec292b95831d9e6905f96d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T19:56:49Z"
"spotify:track:1uUnAtPzMEHpkeodSVMcmL","Get Money","spotify:artist:3r0OeTcOw37N9juMYyyw39","Junior M.A.F.I.A.","spotify:album:5LJlB2P5aDcAkKmH8fqwDw","Conspiracy","spotify:artist:3r0OeTcOw37N9juMYyyw39","Junior M.A.F.I.A.","1995","https://i.scdn.co/image/ab67616d0000b273e4f02574ece2b1fec1dc5b34","1","7","274133","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T19:57:24Z"
"spotify:track:3Y3kf1ipHR6rgqCRJoZOAK","I'll Be There For You/You're All I Need To Get By (Puff Daddy Mix)","spotify:artist:4VmEWwd8y9MCLwexFMdpwt, spotify:artist:1XkoF8ryArs86LZvFOkbyr","Method Man, Mary J. Blige","spotify:album:3aVRwy0x6QdGXTZiUHg7IR","Def Jam Music Group Tenth Year Anniversary Box Set","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-06-02","https://i.scdn.co/image/ab67616d0000b2733a1e31bb64f8bacf9a0b6149","2","13","307133","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T19:57:57Z"
"spotify:track:3ABG1UQTk0eLYUAeWkmfMi","Shimmy Shimmy Ya","spotify:artist:50NoVNy9GU1lCrDV8iGpyu","ODB","spotify:album:4tI4WJdTN5MzDMRMl2i7VR","Return To The 36 Chambers: The Dirty Version","spotify:artist:50NoVNy9GU1lCrDV8iGpyu","ODB","1995","https://i.scdn.co/image/ab67616d0000b2739a8410531478e54ec963c606","1","2","161400","https://p.scdn.co/mp3-preview/50a4ce42a40e69caa9ba78545ec6bc5f0605738f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T19:58:44Z"
"spotify:track:6WQ6UeU3OAflPdPGZTv0uH","Bring The Pain","spotify:artist:4VmEWwd8y9MCLwexFMdpwt","Method Man","spotify:album:1NWjQPzX5gP54CJPxpWqj6","Tical","spotify:artist:4VmEWwd8y9MCLwexFMdpwt","Method Man","1994-11-15","https://i.scdn.co/image/ab67616d0000b2739102f0e5a1077f557b1b592f","1","3","189760","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T19:58:58Z"
"spotify:track:119c93MHjrDLJTApCVGpvx","C.R.E.A.M.","spotify:artist:34EP7KEpOjXcM2TCat1ISk","Wu-Tang Clan","spotify:album:3tQd5mwBtVyxCoEo4htGAV","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","spotify:artist:34EP7KEpOjXcM2TCat1ISk","Wu-Tang Clan","1993-11-09","https://i.scdn.co/image/ab67616d0000b2735901aaa980d3e714bf01171c","1","8","252186","https://p.scdn.co/mp3-preview/9afc70b5681f6df86be8af7747372979302c43e8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T20:00:07Z"
"spotify:track:5pFXepfAbXlLUm5vBZXXXW","Runnin'","spotify:artist:7yk35uHNQclPXFGFoTU44w","The Pharcyde","spotify:album:4cmyem5KQFCUSR5vXlh3mQ","Waxing Off: Delicioius Vinyl's Greatest Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2001","https://i.scdn.co/image/ab67616d0000b2735ddd609fe7ea6fd686b7ff66","1","12","295160","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T20:00:36Z"
"spotify:track:7N1Vjtzr1lmmCW9iasQ8YO","Survival of the Fittest","spotify:artist:6O2zJ0tId7g07yzHtX0yap","Mobb Deep","spotify:album:1cCAb1vN8uUsdfEylVmTLs","The Infamous","spotify:artist:6O2zJ0tId7g07yzHtX0yap","Mobb Deep","1995-04-25","https://i.scdn.co/image/ab67616d0000b273a2203fa0656cede30f879b97","1","3","224533","https://p.scdn.co/mp3-preview/12ee50cc4ba06b938d5a1c118089a99ef2307a5b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T20:00:49Z"
"spotify:track:3Z7Ef6JYrjCfkctSoZwPdu","Temptations","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","spotify:album:1WBZyULtlANBKed7Zf9cDP","Greatest Hits","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","1998-01-01","https://i.scdn.co/image/ab67616d0000b273d81a092eb373ded457d94eec","1","3","300133","https://p.scdn.co/mp3-preview/3bdd099e81bb4ade0290fb1d20ad2e0134d7b647?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-08-31T20:02:24Z"
