"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6Va1qwqV4lEvbOyPqodbth","Breaking the Girl","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:1DCI2yWmV4UI7Aga71yx9B","Blood Sugar Sex Magik","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273e7957730bc48a85ee53657fd","1","3","295373","https://p.scdn.co/mp3-preview/5cfe126a64a752ae61b91a5bf92b6235c0233ca2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
"spotify:track:5flccuB88UqMqTO6XVXiv8","Re-Ignition","spotify:artist:1oVj9JmPUPg4SQ2uerV2xc","Bad Brains","spotify:album:0btkVh2TIc79B4ERtH5rWt","I Against I","spotify:artist:1oVj9JmPUPg4SQ2uerV2xc","Bad Brains","1986","https://i.scdn.co/image/ab67616d0000b2736f6a37e1443f59fbee0abad9","1","4","256333","https://p.scdn.co/mp3-preview/4a604bb70639718162f949fd4cbdf5e9b2ff1be5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
"spotify:track:2bCQHF9gdG5BNDVuEIEnNk","Smooth Criminal - 2012 Remaster","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:24TAupSNVWSAHL0R7n71vm","Bad 25th Anniversary","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","1987-08-31","https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d","1","10","257760","https://p.scdn.co/mp3-preview/8dcbe2702477ac98c7c711cbafcac43e10063949?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
"spotify:track:2ORySgkn0CbUMFbEoP1wwE","Separate Ways (Worlds Apart)","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","spotify:album:5pfpXvoJtSIFrbPIoBEv3R","The Essential Journey","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","2001-10-16","https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8","1","8","325906","https://p.scdn.co/mp3-preview/40fc1ddb7311c8b30ca956bb9ff2bd75b3ee5130?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
"spotify:track:1hvXfgrFC8oVgBiD0qwpKJ","Ride The Lightning","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:7a1dlwArQK6OCHkr2SNlZR","Ride The Lightning","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1984-07-27","https://i.scdn.co/image/ab67616d0000b273b273e0a4432dbcff6df50e05","1","2","396266","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
"spotify:track:4P723ZazKqQox4zEwgsDec","Driver 8","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:26vUt4edIwqnvkaTzHqkv3","Fables Of The Reconstruction","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1985-06-10","https://i.scdn.co/image/ab67616d0000b27379d6ef956c7a368a75077e74","1","3","203800","https://p.scdn.co/mp3-preview/13b27af144320549d2e5c0f7425406ee953aadb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
"spotify:track:5N1719oH5ftLWiKOgWOCcE","Synchronicity II - Remastered 2003","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","spotify:album:7yDxJXFPl88Dt9kBo0dDD6","Synchronicity","spotify:artist:5NGO30tJxFlKixkPSgXcFE","The Police","1983-06-01","https://i.scdn.co/image/ab67616d0000b273e7b53d0f9fb616521cdbfc03","1","6","300466","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
"spotify:track:7aCSKL5LmVhakVs0l483B5","Come As You Are","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:6yaiubHHJy8N8QcHy3julo","Nevermind","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1991-09-26","https://i.scdn.co/image/ab67616d0000b273d27b5404a8aa5b94856e24cc","1","3","218920","https://p.scdn.co/mp3-preview/a1c11bb1cb231031eb20e5951a8bfb30503224e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
"spotify:track:02UGlYzodYMeucgYo5DSHs","Lounge Act","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:6yaiubHHJy8N8QcHy3julo","Nevermind","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1991-09-26","https://i.scdn.co/image/ab67616d0000b273d27b5404a8aa5b94856e24cc","1","9","156426","https://p.scdn.co/mp3-preview/7575ad368b5014b848a0ec410c7a95be1fe2ec02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
"spotify:track:1BTNolCRkEUEPpWiXuLfAm","Concerto No. 23 in A Major for Piano and Orchestra, K. 488: I. Allegro","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:4mQRX8ag4stLU5Ukl1Ji5b, spotify:artist:1vLbRhjf3MbdPmkQmiwW46","Wolfgang Amadeus Mozart, Mozart Festival Orchestra, Svetlana Stanceva","spotify:album:1zFQ9RnZyCemoNbihr15um","Mozart: The Great Piano Concertos","spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:4mQRX8ag4stLU5Ukl1Ji5b","Wolfgang Amadeus Mozart, Mozart Festival Orchestra","2011-02-22","https://i.scdn.co/image/ab67616d0000b273f1483c7e675323db13ae5c61","1","4","651000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-26T23:17:04Z"
