"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6N7YkCy1oSMRsaZSoz5VlS","Going On","spotify:artist:5SbkVQYYzlw1kte75QIabH","Gnarls Barkley","spotify:album:3R2TOuSPrGi3jNafJNFixD","The Odd Couple","spotify:artist:5SbkVQYYzlw1kte75QIabH","Gnarls Barkley","2008-03-18","https://i.scdn.co/image/ab67616d0000b2733af06068b2ab5e134c4c7067","1","3","174040","https://p.scdn.co/mp3-preview/1bae6d290d6248be32be06a02dd4bb4554ee146d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:05:33Z"
"spotify:track:2gpffYGJGvhgqgA0Aw8wKi","Bring Me To Life","spotify:artist:5nGIFgo0shDenQYSE0Sn7c","Evanescence","spotify:album:3nuLaHUml2Ul4Vu1hv7iT4","Fallen","spotify:artist:5nGIFgo0shDenQYSE0Sn7c","Evanescence","2003","https://i.scdn.co/image/ab67616d0000b2731b696ac4f6109b3e243639c0","1","2","235893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:05:55Z"
"spotify:track:758mQT4zzlvBhy9PvNePwC","Butter","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","4","218773","https://p.scdn.co/mp3-preview/9b7344f0064e93091b02685ad17e8dab87880c8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:06:07Z"
"spotify:track:7aCSKL5LmVhakVs0l483B5","Come As You Are","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:6yaiubHHJy8N8QcHy3julo","Nevermind","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1991-09-26","https://i.scdn.co/image/ab67616d0000b273d27b5404a8aa5b94856e24cc","1","3","218920","https://p.scdn.co/mp3-preview/a1c11bb1cb231031eb20e5951a8bfb30503224e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:06:27Z"
"spotify:track:2ZXGkJMe8KPc1Fuut37r2t","Mr. Knowitall","spotify:artist:64mPnRMMeudAet0E62ypkx","Primus","spotify:album:43LIYiCuYXGUbiqs7LYiTQ","Frizzle Fry (Remastered)","spotify:artist:64mPnRMMeudAet0E62ypkx","Primus","1990-02-07","https://i.scdn.co/image/ab67616d0000b2735783da46e6005f903bbd5065","1","4","229306","https://p.scdn.co/mp3-preview/089eb2e619b3efe0ea6e33eac39e78d63755635f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:06:44Z"
"spotify:track:6Hh5u5c6eTWLYE7R9RgL7M","So What","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:2Z73HeYQNCf5T8dzzHaoz5","The Mind Is A Terrible Thing To Taste","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1989-11-10","https://i.scdn.co/image/ab67616d0000b273b24dc2f125c785d242029041","1","6","493826","https://p.scdn.co/mp3-preview/a1c73f2fc86cad08894de16ff95fefc7605379b6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:06:35Z"
"spotify:local:The+Prodigy:Invaders+Must+Die:World%27s+On+Fire:289","World's On Fire","","The Prodigy","","Invaders Must Die","","","","","0","0","289000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:07:02Z"
"spotify:track:2bCQHF9gdG5BNDVuEIEnNk","Smooth Criminal - 2012 Remaster","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:24TAupSNVWSAHL0R7n71vm","Bad 25th Anniversary","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","1987-08-31","https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d","1","10","257760","https://p.scdn.co/mp3-preview/8dcbe2702477ac98c7c711cbafcac43e10063949?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:07:18Z"
"spotify:track:3VrI4JYoS75hyLPwG6Z9tn","Remember the Name (feat. Styles of Beyond)","spotify:artist:7dWYWUbO68rXJOcyA7SpJk, spotify:artist:5bf6yYgHODBW5EreBZshpX","Fort Minor, Styles Of Beyond","spotify:album:6RRIOtRUqxiVp1Z4F7QBjd","Petrified / Remember the Name","spotify:artist:7dWYWUbO68rXJOcyA7SpJk","Fort Minor","2005-10-04","https://i.scdn.co/image/ab67616d0000b2737fa36f85329103d4ba77971b","1","4","230493","https://p.scdn.co/mp3-preview/eda0c00f3614c3f9fa7e1d68c56c9a313f3ed877?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:07:42Z"
"spotify:track:4ABZRCPiloiu3Tsx8XNMx7","All Out","spotify:artist:6NOvBZrkd83MSD51xkq4on","Elephant Man","spotify:album:1xZFdsiUUieDu6lzUG1bsw","Good 2 Go","spotify:artist:6NOvBZrkd83MSD51xkq4on","Elephant Man","2003-09-23","https://i.scdn.co/image/ab67616d0000b2735c6513e6cdf73df4b64f2fc9","1","7","223493","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T00:07:54Z"
