"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3JlYOVZz23jNT5tvUhazuI","War Pigs","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:1JA2UhLRbFRkmoh6Lz64KH","Paranoid (Deluxe Edition)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-09-18","https://i.scdn.co/image/ab67616d0000b2738c9131b3b0f5a4b9fdc5a0ac","1","1","475000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-01T07:24:51Z"
"spotify:track:37wVVs5OLy6mUOxUf8DYsp","Disposable Heroes","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:41bTjcSaiEe4G40RVVHbux","Master Of Puppets","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1986-03-03","https://i.scdn.co/image/ab67616d0000b2736976009675621c80cafa1ff5","1","5","496960","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-07T05:08:34Z"
"spotify:track:3jagGO7eHHuaD53ibehkux","Blood and Thunder","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:6khFoLWnJZDQvZ7Pijym3b","Leviathan","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2004-08-31","https://i.scdn.co/image/ab67616d0000b27300388d66c87c2c0033849bfd","1","1","228586","https://p.scdn.co/mp3-preview/214f41a401c263439f5e715b2875940fef45f7b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-01T07:25:12Z"
"spotify:track:66KKHqWcjAgQi2iGFwBiTZ","I'd Like To Know","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","spotify:album:3YfIjaJEWqiSbKPguS9Bxd","I Should Coco","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","1995-05-15","https://i.scdn.co/image/ab67616d0000b2737d2fd2378160e40c96bc61ff","1","1","242493","https://p.scdn.co/mp3-preview/7d9e1b5b6fa63c706aad4a8a147c4ded49ae8945?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-09T19:21:26Z"
"spotify:track:2ZXGkJMe8KPc1Fuut37r2t","Mr. Knowitall","spotify:artist:64mPnRMMeudAet0E62ypkx","Primus","spotify:album:43LIYiCuYXGUbiqs7LYiTQ","Frizzle Fry (Remastered)","spotify:artist:64mPnRMMeudAet0E62ypkx","Primus","1990-02-07","https://i.scdn.co/image/ab67616d0000b2735783da46e6005f903bbd5065","1","4","229306","https://p.scdn.co/mp3-preview/089eb2e619b3efe0ea6e33eac39e78d63755635f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-07T05:08:08Z"
"spotify:track:4mYpmNDyJv3HEl22hfrDnL","The Wolf Is Loose","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:1n8QZFcwx5aQ2LIIlj0iYe","Blood Mountain","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2006-09-08","https://i.scdn.co/image/ab67616d0000b273abe244c2bab281947c3209cc","1","1","214160","https://p.scdn.co/mp3-preview/33cb35796a7a943dbfe3edaba9c71c8f7dd7b6b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-01T07:24:00Z"
"spotify:track:37wVVs5OLy6mUOxUf8DYsp","Disposable Heroes","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:41bTjcSaiEe4G40RVVHbux","Master Of Puppets","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1986-03-03","https://i.scdn.co/image/ab67616d0000b2736976009675621c80cafa1ff5","1","5","496960","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-07T05:08:42Z"
"spotify:track:7fSOpoZTwCmS8FON3g5M4O","War Ensemble","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","spotify:album:416nVgqae48Dw0EjD6N4EU","Seasons In The Abyss","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","1990-01-01","https://i.scdn.co/image/ab67616d0000b2731a6dd75dbe003a00b7d580f5","1","1","291533","https://p.scdn.co/mp3-preview/9831de36400dd3ead44cdad57930f5e588b719d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-07T05:07:00Z"
"spotify:track:7zF8QWnnpQ1xNTWmCdsQCX","Iron Tusk","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:6khFoLWnJZDQvZ7Pijym3b","Leviathan","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2004-08-31","https://i.scdn.co/image/ab67616d0000b27300388d66c87c2c0033849bfd","1","5","183013","https://p.scdn.co/mp3-preview/a6c8e32c99752bd4de52f7a96464e867044a7b55?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-01T07:23:41Z"
"spotify:track:49cbi52fgk4Y1SCkGAr8OT","B.Y.O.B.","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:4GObQJaZ0bAHb2mXSKA07P","Mezmerize","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2005-05-17","https://i.scdn.co/image/ab67616d0000b273d1cc54539b591b5c6866a101","1","2","255440","https://p.scdn.co/mp3-preview/27609f86370711b0c7cf3db6d6b5e084fdc69210?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-09T05:27:23Z"
