"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7LLQxMvAYOpoC2PKe3VQn5","The Hellion","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:55MZQrenomrTq0aQneC7Pi","Screaming For Vengeance (Expanded Edition)","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","1982","https://i.scdn.co/image/ab67616d0000b273475bd4fb40ba687fbf002c82","1","1","39920","https://p.scdn.co/mp3-preview/eec8767f3f38eed238652a28c7fd832b9182a0b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-21T06:31:57Z"
"spotify:track:3RNaege6IhTKGHVpRA3PQo","The Call Of Ktulu","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:7a1dlwArQK6OCHkr2SNlZR","Ride The Lightning","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1984-07-27","https://i.scdn.co/image/ab67616d0000b273b273e0a4432dbcff6df50e05","1","8","533493","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-21T06:32:16Z"
"spotify:track:3wiT4tcjKk4jAqrfDahS6W","Redneck Stomp","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:4s0rS2NQQMr3F4ld83DHSA","Frozen In Time [Special Edition]","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","2005-07-11","https://i.scdn.co/image/ab67616d0000b27359096d5592ac09cd1a2b267f","1","1","212840","https://p.scdn.co/mp3-preview/2bf7d342c5a830edb5ec29602f5f60ced77ba900?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-19T23:35:26Z"
"spotify:track:76mYYjMZ9R80GeJmA4MhGo","Pre Game","spotify:artist:2Ah9OuOj7B57gPD1cbwiaE","Municipal Waste","spotify:album:7cU3FZ3u2jgKd5s8hhKJ9h","The Art of Partying","spotify:artist:2Ah9OuOj7B57gPD1cbwiaE","Municipal Waste","2007","https://i.scdn.co/image/ab67616d0000b273760a0ad8dce3c88c9907352a","1","1","39506","https://p.scdn.co/mp3-preview/04b96da0e04d8291636823ecc67626514589a62c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-13T01:27:53Z"
"spotify:track:20bJTQOaoHqeCHBhqIgcTl","The Ultra-Violence","spotify:artist:6KVc8Llznru8n9LVCYe9dz","Death Angel","spotify:album:35flmem6J4bq04Kvib1ghA","The Ultra-Violence","spotify:artist:6KVc8Llznru8n9LVCYe9dz","Death Angel","1987","https://i.scdn.co/image/ab67616d0000b273ae8890246d91b2b3cb4511f4","1","5","633600","https://p.scdn.co/mp3-preview/f65460220ab81f8469f99635b56986029472d510?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-21T06:34:28Z"
"spotify:track:5qp4uB6muUB0qdrb4zpuf4","Orion (Instrumental)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:41bTjcSaiEe4G40RVVHbux","Master Of Puppets","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1986-03-03","https://i.scdn.co/image/ab67616d0000b2736976009675621c80cafa1ff5","1","7","508000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-21T06:32:22Z"
"spotify:track:1LuX9Pk4rZgFsR1qRVOmYI","Confusion Fusion","spotify:artist:28hJdGN1Awf7u3ifk2lVkg","Testament","spotify:album:7lNeBg16EP03ifo5Wutq52","Practice What You Preach","spotify:artist:28hJdGN1Awf7u3ifk2lVkg","Testament","1989-07-25","https://i.scdn.co/image/ab67616d0000b273ba318cd383b7eaf1dda1f533","1","10","187733","https://p.scdn.co/mp3-preview/3dd3fc096fff5c1d708f4ca979d4d4df85e8223b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-21T06:45:39Z"
"spotify:track:7zb1n2Rdmh5arJ3WOp2Z5c","To Live Is To Die","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:69oeRoYEpSsNPGVuYRxfoB","...And Justice For All","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1988-08-25","https://i.scdn.co/image/ab67616d0000b273db16db05648965be0768aabb","1","8","588933","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-21T06:32:28Z"
"spotify:track:234Q0vXyxCt0rgVviVKCkk","Canto 34","spotify:artist:5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","spotify:album:6GlsmhwCxNCEmW8v2YVPRN","War Is The Answer","spotify:artist:5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","2009-01-01","https://i.scdn.co/image/ab67616d0000b273d43c7fb05ae66b6cde2081d8","1","11","249533","","true","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-21T06:32:39Z"
"spotify:track:0zT89NDEjBDwYdRMvqnnx7","Animosity","spotify:artist:1BBIIH0h76KN8gYeXFcPjR","Corrosion Of Conformity","spotify:album:0rAGxy0IjEIU7bWK9khdLT","Animosity","spotify:artist:1BBIIH0h76KN8gYeXFcPjR","Corrosion Of Conformity","1985","https://i.scdn.co/image/ab67616d0000b2735bf7fce52a849e0a3c6d5e40","1","10","256373","https://p.scdn.co/mp3-preview/669f0d116a57266303a90f2dd97c2b4ee0f6e00a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-11-21T06:47:14Z"
