"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:01Mpj13vURSO3cCLprPt5T","Raining Blood","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","spotify:album:2DumvqHl78bNXuvU9kQfPN","Reign In Blood","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","1986-01-01","https://i.scdn.co/image/ab67616d0000b273fd833375c806981a61bb82ec","1","10","254400","https://p.scdn.co/mp3-preview/4cd5c9f2b4b65babc06c69ea722cd54dcfe75163?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T22:31:56Z"
"spotify:track:6wkIRjsUuRcwH5inb8CtU4","Les feuilles de l'olivier","spotify:artist:2VYbuGDGM7ipeu54IbKzyw","Les Discrets","spotify:album:1H6tDfhkyVVlokADwZrQCk","Septembre Et Ses Dernières Pensées","spotify:artist:2VYbuGDGM7ipeu54IbKzyw","Les Discrets","2010-03-26","https://i.scdn.co/image/ab67616d0000b273b2f3b66fedeeff07c9df227c","1","3","276093","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T22:32:19Z"
"spotify:track:3lTyPJxUxl0YFS1AsXtOuC","Abyssopelagic I: Boundless Vasts (Instrumental Version)","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","2","6","207880","https://p.scdn.co/mp3-preview/1711de76fb6b0da4104d83d6a27f6ae0c30ac999?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T22:37:28Z"
"spotify:track:4Vuk0wkvcchcx3dyYOCF6Q","Unspoken","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","spotify:album:35qXLJqPw9ehORWpBNQiX3","Ultraviolet","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","2013-05-28","https://i.scdn.co/image/ab67616d0000b273eaf0267e831da6a960bd2157","1","2","287733","https://p.scdn.co/mp3-preview/a2c1db1c6d49f2578df618b4464db04736ff2be5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T22:56:04Z"
"spotify:track:34LXW73avo8xz0NLiVuiow","Metal Church","spotify:artist:0exvkfkATkqWOJgugTjJhP","Metal Church","spotify:album:6LYQlKhDAXE9xMS3YzioNv","Metal Church","spotify:artist:0exvkfkATkqWOJgugTjJhP","Metal Church","1984","https://i.scdn.co/image/ab67616d0000b273946386c124aefa1e49b24442","1","2","302360","https://p.scdn.co/mp3-preview/09a793be53a70a3b88f4cbf70ba2402a6f3a91b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:01:28Z"
"spotify:track:4g3QZlvz39UllCcRXDZ0Do","Sulfur","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","spotify:album:0hFWapnP7orzXCMwNU5DuA","All Hope Is Gone","spotify:artist:05fG473iIaoy82BF1aGhL8","Slipknot","2008-08-22","https://i.scdn.co/image/ab67616d0000b273457163bec7e8e4decf8c6375","1","3","277800","https://p.scdn.co/mp3-preview/b6e14e535f4ab23f304dc6352e8c129a9ca82183?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:05:13Z"
"spotify:track:3GoT5tQQIL206U3OR6CXha","Weight of Loss","spotify:artist:2T4jkejSNV1WQIeLlEu1n6","Village of Dead Roads","spotify:album:0QHlypgfjwujTJntfmm8LY","Desolation Will Destroy You","spotify:artist:2T4jkejSNV1WQIeLlEu1n6","Village of Dead Roads","2009-12-01","https://i.scdn.co/image/6253a111ba3cb191ce9e9982d952ad6c1300c99a","1","7","287920","https://p.scdn.co/mp3-preview/3c0a835264157fa2172e14fe4d1748d966558dcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:09:09Z"
"spotify:track:1FVQ174DjnRDDhxAZuFnUm","All I Had (i Gave)","spotify:artist:3xtIpqzIOfQUxKce8BU4Ka","Crowbar","spotify:album:1lasro8GUgLe5uuLeU1kqm","Crowbar","spotify:artist:3xtIpqzIOfQUxKce8BU4Ka","Crowbar","1993","https://i.scdn.co/image/ab67616d0000b27307a1a59e25e52f939baaf72d","1","2","191853","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:17:35Z"
"spotify:track:0quCaUaGv2kY1zQGq08UgA","Abyssopelagic Ii: Signals of Anxiety (Instrumental Version)","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","2","7","305293","https://p.scdn.co/mp3-preview/8daaa46511e77faa3eef8417314aae935030664b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:19:11Z"
"spotify:track:1gMQugnS79VS7iSSWCV7XP","Song for mountains","spotify:artist:2VYbuGDGM7ipeu54IbKzyw","Les Discrets","spotify:album:1H6tDfhkyVVlokADwZrQCk","Septembre Et Ses Dernières Pensées","spotify:artist:2VYbuGDGM7ipeu54IbKzyw","Les Discrets","2010-03-26","https://i.scdn.co/image/ab67616d0000b273b2f3b66fedeeff07c9df227c","1","4","358853","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:20:38Z"
"spotify:track:6TBqORanQ7r2slT6EQjUno","Moonchild","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","spotify:album:08Osbk10fYKrg1y9yxPyu0","The Nephilim","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","1988","https://i.scdn.co/image/ab67616d0000b2735058a9000df917efd4904c78","1","4","340626","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:46Z"
