"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7e9s2dimBxsjO7hkOdSFev","Moonchild","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:4MA3tRypbMVe0pBppCGbmV","Seventh Son Of A Seventh Son","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1988","https://i.scdn.co/image/ab67616d0000b2733e95861b02f648fd8f4aef3e","1","1","339760","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2012-06-29T22:45:43Z"
"spotify:track:2bLgpfvEwnENQhZN9Ny51z","Can I Play With Madness","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:4MA3tRypbMVe0pBppCGbmV","Seventh Son Of A Seventh Son","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1988","https://i.scdn.co/image/ab67616d0000b2733e95861b02f648fd8f4aef3e","1","3","211053","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2012-06-29T22:45:51Z"
"spotify:track:2FEfAIvMfp24ZBRVCZIiBZ","The Prisoner","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:1eNQWWDcjDNy6cpUlv1gfK","The Number Of The Beast","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b273f63f421ee3bcc38b9f4e5965","1","3","363413","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2012-06-29T22:46:02Z"
"spotify:track:4fEhYC3SxSyMuRCF7Q74Bh","2 Minutes To Midnight","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:6fCrI1VSvmjt5ncxsQUjzb","Powerslave","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1984","https://i.scdn.co/image/ab67616d0000b273c5be9a6c4dd7040f58521f68","1","2","359786","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2012-06-29T22:45:32Z"
"spotify:track:1VBr7DzvJypoiKuLKqQzoj","Afraid To Shoot Strangers","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:7vmOvJ86JXFPhBdqH1RLUv","Fear Of The Dark","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1992","https://i.scdn.co/image/ab67616d0000b2732d0441e76ff51f514613e00c","1","3","416000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2012-06-29T22:55:43Z"
"spotify:track:7bMQHIAP6dmocer9oDt6iQ","The Trooper","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:07iqoQdTfocUoUbQ8wWoae","Piece Of Mind","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1983","https://i.scdn.co/image/ab67616d0000b2739dc631e463aa7a1dd794cc19","1","5","250946","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2012-06-29T22:48:06Z"
"spotify:track:6spsVVNf2vAKUEeLIdttpx","The Number of the Beast","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:6YX4hX9ACX4WD2de7WHZ4p","Somewhere Back In Time - The Best of 1980-1989","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","2008","https://i.scdn.co/image/ab67616d0000b2739cde3e67591d1149a03480c8","1","7","290893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-06-15T17:22:03Z"
"spotify:track:4p7sBM5ee2ZVn2wcI1xjLp","Phantom Of The Opera","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:58EwGJ0wP3pDvhxaFjQOX9","Iron Maiden","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1980","https://i.scdn.co/image/ab67616d0000b273e2e07244139c81af6a1a88a8","1","5","426373","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2012-06-29T22:45:07Z"
"spotify:track:4sy4m4UIpaNl9gAiLvMnr1","Run To The Hills","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:1eNQWWDcjDNy6cpUlv1gfK","The Number Of The Beast","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b273f63f421ee3bcc38b9f4e5965","1","6","233946","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2012-06-29T22:46:07Z"
"spotify:track:7M50zfam1VXZvOXVFkm9V9","Wasted Years","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:7hpMOIgsb4LleoqC18NR2f","Somewhere In Time","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1986","https://i.scdn.co/image/ab67616d0000b273e2b348d410b83b6c704347ec","1","2","306173","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2012-06-29T22:45:57Z"
