"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6TBqORanQ7r2slT6EQjUno","Moonchild","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","spotify:album:08Osbk10fYKrg1y9yxPyu0","The Nephilim","spotify:artist:3m8KqUjgKDwmJ9L9uBHMMs","Fields Of The Nephilim","1988","https://i.scdn.co/image/ab67616d0000b2735058a9000df917efd4904c78","1","4","340626","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
"spotify:track:4FbJWAazaKWdAca2ymQ9bJ","Set Me on Fire","spotify:artist:0blJzvevdXrp21YeI2vbco","Type O Negative","spotify:album:22PP61GmfGKAhIQo2ZSRxG","Bloody Kisses (Top Shelf Edition)","spotify:artist:0blJzvevdXrp21YeI2vbco","Type O Negative","1993","https://i.scdn.co/image/ab67616d0000b273bf9eaa56ca46fd6d2b3800d1","1","7","209613","https://p.scdn.co/mp3-preview/5ade2a98a8aa2bce76c78b8afa0464efdf91dcd4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
"spotify:track:5DDXE88VYs2D46rTE6xWTV","Caged","spotify:artist:61XKuYibnauE5EG4thhDUp","NFD","spotify:album:7wXLttT5OxCUCkEUGcJ5Ap","Dead Pool Rising","spotify:artist:61XKuYibnauE5EG4thhDUp","NFD","2006-04-01","https://i.scdn.co/image/ab67616d0000b273b21332ef7f638067b79e9c13","1","3","292186","https://p.scdn.co/mp3-preview/0bf30cc8f93e105d0489f735dc5e810bcc51d200?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
"spotify:track:6tfd6Coh89JcIESdM9ypcv","This Empty Ocean","spotify:artist:24WRvSDW3TaWsPvJ9JwDTx","Love Like Blood","spotify:album:4aO05Tb32Y29ZO0jJ19ruj","Snakekiller","spotify:artist:24WRvSDW3TaWsPvJ9JwDTx","Love Like Blood","2010-02-05","https://i.scdn.co/image/ab67616d0000b273eb876c22a557df227da4947f","1","8","285426","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
"spotify:track:7B68q2ssaERNuYkR0502uh","Black Hole","spotify:artist:3F4VZL0xYGYRCHesepj46W","Nosferatu","spotify:album:45YMA2fwCIZ5zQLFgGCKnS","Wonderland","spotify:artist:3F4VZL0xYGYRCHesepj46W","Nosferatu","2011-03-07","https://i.scdn.co/image/ab67616d0000b2739304a7d30b68ad0408c79362","1","7","329453","https://p.scdn.co/mp3-preview/a40cece3e218ac4853d76779f9391dad37c08fc0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
"spotify:track:4wXH3IFlLQIutfsTabvQ0E","The End Is Near","spotify:artist:7lv3S4wbdU3j2xC8qFvbIU","Mephisto Walz","spotify:album:7LfXNrsHf4JKceWu4D0GV2","IIIrd Incarnation","spotify:artist:7lv3S4wbdU3j2xC8qFvbIU","Mephisto Walz","2011-03-01","https://i.scdn.co/image/ab67616d0000b2730fd1d793b216225a3dd9ded2","1","6","184920","https://p.scdn.co/mp3-preview/d940ebba21395b03444640ea3a3eff93b54cfea0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
"spotify:track:3dGxQ3xPvhPe05j4bTfww4","The Pain Looks Good On You","spotify:artist:51mEqzVhG2n9nD2kBAnWer","London After Midnight","spotify:album:3Z50KCSpej9wO81SG8witR","Violent Acts Of Beauty","spotify:artist:51mEqzVhG2n9nD2kBAnWer","London After Midnight","2007-11-06","https://i.scdn.co/image/ab67616d0000b273dcd1a30b07c3f7f90debe867","1","12","233440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
"spotify:track:4aEXrCoeRRFNrIA6Eb8gzg","Monkeys On Juice","spotify:artist:6ixeWfTvnU1VOVPEVP5Bcq","Red Lorry Yellow Lorry","spotify:album:28kaKlJ6f02ZzwoCJn75Xa","The Very Best Of Red Lorry Yellow Lorry","spotify:artist:6ixeWfTvnU1VOVPEVP5Bcq","Red Lorry Yellow Lorry","2000-01-01","https://i.scdn.co/image/ab67616d0000b273232a2824109e9fc05bd744cb","1","3","192040","https://p.scdn.co/mp3-preview/f6e33d4a12b828abd19178d40e3bb2e6614a1e0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
"spotify:track:6Lc6hnsUbjAq3ov8hhnOJ3","Spiritual Cramp","spotify:artist:6mEohczxsctzkEIU0WAeWD","Christian Death","spotify:album:1sMyRtcKC7GTGAE2cPmfzg","Only Theatre Of Pain","spotify:artist:6mEohczxsctzkEIU0WAeWD","Christian Death","1982-03-01","https://i.scdn.co/image/ab67616d0000b27357c1522ca280dd2867814d6b","1","7","175693","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
"spotify:track:4JO4GJQuwvjokeND3jOYXQ","Loves Death Scene","spotify:artist:6Yr3zOXCLZj7NLDyXH6WhF","Vendemmian","spotify:album:3xsenEcmTYlKKzinign3Yw","Treacherous","spotify:artist:6Yr3zOXCLZj7NLDyXH6WhF","Vendemmian","2008-06-17","https://i.scdn.co/image/ab67616d0000b2738220e9395a6023ef742d1a36","1","11","333933","https://p.scdn.co/mp3-preview/2f91c1566961a8902cc218a1bcfbdeba35ba2fff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-02T23:28:35Z"
