"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:74InK31Y5JXpHEqqvxD16O","Four Ton Mantis","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:2VnITsC4ZKoOM9Qs0CaM1K","Supermodified","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2000-05-01","https://i.scdn.co/image/ab67616d0000b2734469fb1bdecfadb787326774","1","2","285906","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T19:58:40Z"
"spotify:track:2bCQHF9gdG5BNDVuEIEnNk","Smooth Criminal - 2012 Remaster","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:24TAupSNVWSAHL0R7n71vm","Bad 25th Anniversary","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","1987-08-31","https://i.scdn.co/image/ab67616d0000b2731bb21d27effb96a1d0fe8d6d","1","10","257760","https://p.scdn.co/mp3-preview/8dcbe2702477ac98c7c711cbafcac43e10063949?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T20:01:04Z"
"spotify:track:40lnMoI2VOareLk5CLvneq","Catgroove","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","spotify:album:5YCKjXrzZzgbjEYlZekh6N","Coco Part 2","spotify:artist:65EXuYHVoehCKqp0kOS6px","Parov Stelar","2009-09-14","https://i.scdn.co/image/ab67616d0000b27345ddcb7eab7ecf7780eecfb1","1","5","236250","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T19:58:45Z"
"spotify:track:0zSNmzpT4eXqw0UgpYR6it","Goodbye","spotify:artist:0rpKM0MniNkXM1SLSglYUZ","toe","spotify:album:2P4kWt7foLnoHC2PP72KQX","For Long Tomorrow","spotify:artist:0rpKM0MniNkXM1SLSglYUZ","toe","2009-12-09","https://i.scdn.co/image/ab67616d0000b27306300638104a02ba84ba6dc4","1","10","420559","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T19:59:00Z"
"spotify:track:1qEMuHKZTFPVmjqy1GtviI","Smothered Hope","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","spotify:album:3ioXn7nDb7PxMj3dlKFBQn","deadTIME's Exploding Dream: A Nettwerk Compilation","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-05-15","https://i.scdn.co/image/ab67616d0000b27385be2117e319f68f4bba49cb","1","1","316106","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T19:59:28Z"
"spotify:track:5a8pT7EetH5fSv7VGEz8tN","Us And Them - 2011 Remastered Version","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:3a0UOgDWw2pTajw85QPMiz","The Dark Side Of The Moon (2011 Remastered Version)","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-16","https://i.scdn.co/image/ab67616d0000b27305d4eec40a828850aa8cd2f7","1","7","469224","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T19:59:28Z"
"spotify:track:758mQT4zzlvBhy9PvNePwC","Butter","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","4","218773","https://p.scdn.co/mp3-preview/9b7344f0064e93091b02685ad17e8dab87880c8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T19:59:28Z"
"spotify:track:2ORySgkn0CbUMFbEoP1wwE","Separate Ways (Worlds Apart)","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","spotify:album:5pfpXvoJtSIFrbPIoBEv3R","The Essential Journey","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","2001-10-16","https://i.scdn.co/image/ab67616d0000b2730f6ce5c138493ac768d9afc8","1","8","325906","https://p.scdn.co/mp3-preview/40fc1ddb7311c8b30ca956bb9ff2bd75b3ee5130?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T19:59:28Z"
"spotify:track:1CmUZGtH29Kx36C1Hleqlz","Thrift Shop (feat. Wanz)","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp, spotify:artist:56xTxG4nQMAs1GW9kvn0uA","Macklemore, Ryan Lewis, Wanz","spotify:album:0XN945pdw7kvYRndgbDuSb","Thrift Shop (feat. Wanz)","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp","Macklemore, Ryan Lewis","2012-08-01","https://i.scdn.co/image/ab67616d0000b2731cdc7eab166fcbfcaf8be8f6","1","1","235613","https://p.scdn.co/mp3-preview/26cdc03872031160b4ec74e8b2bd21ae7359c46d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T19:59:49Z"
"spotify:track:6Va1qwqV4lEvbOyPqodbth","Breaking the Girl","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:1DCI2yWmV4UI7Aga71yx9B","Blood Sugar Sex Magik","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273e7957730bc48a85ee53657fd","1","3","295373","https://p.scdn.co/mp3-preview/5cfe126a64a752ae61b91a5bf92b6235c0233ca2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-27T19:59:57Z"
