"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6G6CnoeG1t3QVHiQDUW4kT","No Love Lost - Radio 1 Rock Show Session","spotify:artist:5lhaM01nwvsMZpmPY2HVER","Carcass","spotify:album:6OmtMiGTUZ0l06dcIYSAsC","Wake Up and Smell the... Carcass","spotify:artist:5lhaM01nwvsMZpmPY2HVER","Carcass","1996","https://i.scdn.co/image/ab67616d0000b273a269f4d8bc1054b0214aec20","1","7","291040","https://p.scdn.co/mp3-preview/ebdaf5c1ad43ffd14f0dfe4d0637fac18f714e75?cid=9950ac751e34487dbbe027c4fd7f8e99","true","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-22T01:49:41Z"
"spotify:track:5Eq91fvAAHAmnVP02ETaYI","Bathyalpelagic Iii: Disequillibrated (Instrumental Version)","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","2","5","267346","https://p.scdn.co/mp3-preview/dfa3bc9bde01e16f2d81a915b3c1350f5fae4fbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-22T01:50:16Z"
"spotify:track:40L8L7344pPMCjlZc19RQU","Down Rodeo","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","spotify:album:24E6rDvGDuYFjlGewp4ntF","Evil Empire","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","1996-04-16","https://i.scdn.co/image/ab67616d0000b273053f006079bce979e5fef1e1","1","7","320626","https://p.scdn.co/mp3-preview/84e8630c30905462b239ec8be4fcc7b69bd9de23?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-22T01:50:33Z"
"spotify:track:2fzt2ljbuvcYiYvH11dQcs","Breathe","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:2Z73HeYQNCf5T8dzzHaoz5","The Mind Is A Terrible Thing To Taste","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1989-11-10","https://i.scdn.co/image/ab67616d0000b273b24dc2f125c785d242029041","1","5","340066","https://p.scdn.co/mp3-preview/288682c1b891c30045124409823ccaf306bf46a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-22T01:50:50Z"
"spotify:track:3TfnNa2rOCuGZi4IBWtYVE","Coexistence","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","spotify:album:0ZE7T6uVmB8RfikstJ4w99","The Aura","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","2011","https://i.scdn.co/image/ab67616d0000b27386d7cb1ada8ac77f70e85ef2","1","2","456973","https://p.scdn.co/mp3-preview/f4ad15919df8fce0e6836c6c645c720f78495b89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-22T01:51:11Z"
"spotify:track:6ea4anqj1IHJPvrpOGjDLG","Mysteria","spotify:artist:3AGFqPP3gt5rMSvhR87Xxu","Edguy","spotify:album:5sv12fNa0RjhYTdqwgvWZT","Hellfire Club","spotify:artist:3AGFqPP3gt5rMSvhR87Xxu","Edguy","2004","https://i.scdn.co/image/ab67616d0000b273855ff48235bbaf9e7626b723","1","1","345786","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-10T01:42:17Z"
"spotify:track:55Eta7ne9rL3xDdSFxyNW2","Fix My Heart","spotify:artist:0lFiKrJUofJpnrAJnMsnQ3","Voivod","spotify:album:0EevA0t8Qcxh4TFLtBQPyo","The Outer Limits","spotify:artist:0lFiKrJUofJpnrAJnMsnQ3","Voivod","1993-01-01","https://i.scdn.co/image/ab67616d0000b273f77d7915c43a6bf6b6fc4dac","1","1","296786","https://p.scdn.co/mp3-preview/82a3e4f09feb60f33414df9f83131d63c05951ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-19T00:24:26Z"
"spotify:track:4SRJvAIJav7yYXcnyjb4Un","Stupify","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","spotify:album:4TdIYEKiTCWlZ0tefxQAH8","The Studio Album Collection","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","2011-10-07","https://i.scdn.co/image/ab67616d0000b2735dd54213f33fc6c77fc808b7","1","3","274160","https://p.scdn.co/mp3-preview/c078487d3fdb92536ec072a1f9fc4aa141eb7052?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-19T00:24:02Z"
"spotify:track:70H664oMRNS4f24GiX9UFj","Stone Of The Seven Suns","spotify:artist:77H7WLYHNHy0klUy1fGXIi","SuidAkrA","spotify:album:7Bd0hAtsOGmM5vazyHOdMQ","Book Of Dowth","spotify:artist:77H7WLYHNHy0klUy1fGXIi","SuidAkrA","2011-03-25","https://i.scdn.co/image/ab67616d0000b273d8a49a735f2c8df466ebef53","1","8","301960","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-24T04:38:12Z"
"spotify:track:60Ei8lRSxcZwjJdEmAfKI3","Jato Unit","spotify:artist:1bqlyIXRTCilCmvAr1newg","Jeff Loomis","spotify:album:6RnepDsGb1c5tOU3wrQogH","Zero Order Phase","spotify:artist:1bqlyIXRTCilCmvAr1newg","Jeff Loomis","2008-08-25","https://i.scdn.co/image/ab67616d0000b27375a3ca6deb01a6234984b040","1","3","281720","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-22T01:51:38Z"
"spotify:track:6950ik0V6HCWgnLIFKe8FX","Blood Like Cream","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:2CtG0KacG7ZYR6PL5dD1jA","Whales and Leeches (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2013-10-15","https://i.scdn.co/image/ab67616d0000b2739122d59f5e5946c957d60086","1","2","213293","https://p.scdn.co/mp3-preview/de53004dd5f08d4335e289464cf73644053d7e43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-03-10T02:42:47Z"
"spotify:track:3gEIblJfPxPDXD6fHXgF8w","Push Pull Destroy","spotify:artist:5yimluzyt2ZhLaha1KX1nn","Battlecross","spotify:album:0D3xVHSKQPUru7QLAyPozr","Pursuit of Honor","spotify:artist:5yimluzyt2ZhLaha1KX1nn","Battlecross","2011-08-02","https://i.scdn.co/image/ab67616d0000b273ec1a837e9bfb2310313947e3","1","2","215160","https://p.scdn.co/mp3-preview/4eed879251e3de8f000cb414e2f9f7bbf57c9f51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-06-14T00:47:15Z"
"spotify:track:575JT8zeoX23vlgvcUU8pB","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:7JCeEZz5cHwIxnu7n0nFxM","Toxicity","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2001-09-04","https://i.scdn.co/image/ab67616d0000b273055bc208d4434f9bf2de5774","1","12","218933","","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-03-10T02:24:24Z"
"spotify:track:1b5wonDMCbpjuojLmgtZVc","Chapel of Blood","spotify:artist:5qrZ4EXMTVH4e6odErsQjb","Murderdolls","spotify:album:19QOoMNfiAG6GSIewZo7Md","Women And Children Last (Special Edition)","spotify:artist:5qrZ4EXMTVH4e6odErsQjb","Murderdolls","2010-08-25","https://i.scdn.co/image/ab67616d0000b273932146efd8570ca36dc418d1","1","2","189493","https://p.scdn.co/mp3-preview/a5dc33ae7f6979a2f08517886b9f903de3e06336?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-24T04:38:32Z"
"spotify:track:6cegefStjtGj4GNnFfLxef","The Evil That Men Do","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:0iVkykGF7SSwkFzslfHWVD","Seventh Son of a Seventh Son","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1988","https://i.scdn.co/image/ab67616d0000b273e8d2b7351519217775c41ec6","1","4","273333","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-04-28T00:22:23Z"
"spotify:track:0iUZqjWRW3NbYFkTAtzrVV","Invaders","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:0QXyw5GWqDZe3nSWrM6d4z","The Number of the Beast","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b27396779a5f90f12af486a81e20","1","1","204106","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-05-19T01:38:24Z"
"spotify:track:34gxf5yHasKuW7OVYRH1c5","Nanoman","spotify:artist:0lFiKrJUofJpnrAJnMsnQ3","Voivod","spotify:album:1kGaz0FYqxCn8iNB6gSfeI","Negatron","spotify:artist:0lFiKrJUofJpnrAJnMsnQ3","Voivod","1995-08-18","https://i.scdn.co/image/ab67616d0000b2736146f87e5c7ba3f638c90718","1","3","311000","","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-22T01:51:54Z"
"spotify:track:7lzlVPxvm0nJdttIyBCxiB","Hostage to Heaven","spotify:artist:1P2DRfEZ7OPvTKXxUxxuRc","Grip Inc.","spotify:album:52FC0g42uB3NTwD6PFpSm8","Power of Inner Strength","spotify:artist:1P2DRfEZ7OPvTKXxUxxuRc","Grip Inc.","1995-03-07","https://i.scdn.co/image/ab67616d0000b273a8c3705ff7296041684d08a4","1","3","237333","https://p.scdn.co/mp3-preview/6604a00df6918669ba73e530665cc30babf34267?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-22T01:52:03Z"
"spotify:track:1ui2uLypsAhh6L2Lk56E2K","Dark Thoughts","spotify:artist:1BBIIH0h76KN8gYeXFcPjR","Corrosion Of Conformity","spotify:album:3J9YrLbzdVnzWEk542KSKO","Eye for An Eye","spotify:artist:1BBIIH0h76KN8gYeXFcPjR","Corrosion Of Conformity","2012","https://i.scdn.co/image/ab67616d0000b2737be8b334ba193f1eb263c32a","1","10","109026","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-23T07:54:31Z"
"spotify:track:7h2QoyBnDIGKuNskzuWO2K","Temptation","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","spotify:album:1OV8gLNyoCSAijC54d1RAM","Seasons In The Abyss","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","1990","https://i.scdn.co/image/ab67616d0000b273be6cd303480daecede21c92d","1","8","205786","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-23T07:54:13Z"
"spotify:track:2zeXLSaVNXo9SUzIoQDDI3","Beyond the Hourglass","spotify:artist:79pfxECHSboPWv79E5R2Dt","I Am Ghost","spotify:album:0JW9upqj46QQ3LOSQsDQWS","Lovers' Requiem","spotify:artist:79pfxECHSboPWv79E5R2Dt","I Am Ghost","2006-10-10","https://i.scdn.co/image/ab67616d0000b2739a5ec95cd4244bb5b0d2a985","1","12","356840","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-26T18:05:42Z"
