"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1GZ0hkvXGGqmF91zq04TUf","Bubbles","spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Count Basie","spotify:album:0OYrZ06eS8OW50DMCXkT8H","The Complete Clef & Verve Fifties Studio Recordings","spotify:artist:2jFZlvIea42ZvcCw4OeEdA","Count Basie","2012-01-01","https://i.scdn.co/image/ab67616d0000b2738b786fbd21cda99839d66ff7","3","13","240853","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:07:20Z"
"spotify:track:6WyxxtiEXm2PRVXj8EcZjY","Shoo-Be-Do-Wop","spotify:artist:4vKZXZH0eDibGsDxMVzZDh","Rare Essence","spotify:album:4uGoPzYOh3TLdVz5oibzGk","Greatest Hits, Vol. I","spotify:artist:4vKZXZH0eDibGsDxMVzZDh","Rare Essence","1998-01-01","https://i.scdn.co/image/ab67616d0000b273ca12b99c678cda45bc1232ae","1","3","245133","https://p.scdn.co/mp3-preview/e3cdde3d1988878e41247bbf1becdc32eb5b5249?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:07:55Z"
"spotify:track:5yb2pWoPheGZgDCO1c6yUx","You Can Make It If You Try","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","spotify:album:7iwS1r6JHYJe9xpPjzmWqD","Stand","spotify:artist:5m8H6zSadhu1j9Yi04VLqD","Sly & The Family Stone","1969-05-03","https://i.scdn.co/image/ab67616d0000b2731ce6bc3899335f81b8d3f4de","1","8","218306","https://p.scdn.co/mp3-preview/7deb534a33224e2f5ce52a729e69d9fceb3105a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:08:17Z"
"spotify:track:5LyzPhFwF7MgUY3aQD9TAG","A Fifth Of Beethoven - 2007 Remastered Version Saturday Night Fever","spotify:artist:73JBR5s2PVvUjGu6tIqjqx","Walter Murphy","spotify:album:0taUwU7qjtc9lvwmd7FKac","Saturday Night Fever [The Original Movie Soundtrack]","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1978-01-05","https://i.scdn.co/image/ab67616d0000b273e39f29035ee5c2bf71e9cfb7","1","6","183226","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:08:29Z"
"spotify:track:2DDCwpx1kWi8PtCmTWbhG1","Twist","spotify:artist:5aBEGOeWQCJfptic9xyaAb","Tones On Tail","spotify:album:2HLe3MOLEKEhuGIbrGSN3i","Everything!","spotify:artist:5aBEGOeWQCJfptic9xyaAb","Tones On Tail","1998","https://i.scdn.co/image/ab67616d0000b27353421caa3cdfe736809365aa","1","12","310493","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:08:41Z"
"spotify:track:04Mh4OWSBUBn5Vpna4DXrA","The Power","spotify:artist:2FrKQPjJe4pVMZOgm0ESOx","SNAP!","spotify:album:09xVlDSKLulyXtJelvEc8T","World Power","spotify:artist:2FrKQPjJe4pVMZOgm0ESOx","SNAP!","1990","https://i.scdn.co/image/ab67616d0000b27343ce5fdc0241abdc8b58eb80","1","1","344306","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:09:02Z"
"spotify:track:5PSwVu4zCV1XvxJw6tNbLJ","All Out","spotify:artist:6NOvBZrkd83MSD51xkq4on","Elephant Man","spotify:album:6nN1Kz2c7F0TDwCBSx0xgg","All Out - Riddim Driven","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2003-06-30","https://i.scdn.co/image/ab67616d0000b273dde5409b7f6a1ab4e6e84d04","1","12","223880","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:09:45Z"
"spotify:track:4vnLdmUdkOworoveEzpEST","She Sells Sanctuary","spotify:artist:49DW3KvkyjHO35mK1JnSyS","The Cult","spotify:album:279o49AIcWuS6kIqVozTGL","Pure Cult","spotify:artist:49DW3KvkyjHO35mK1JnSyS","The Cult","2000-06-05","https://i.scdn.co/image/ab67616d0000b2736a70a2aa1da1a43e0f00e2a2","1","1","252533","","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:10:10Z"
"spotify:track:66S14BkJDxgkYxLl5DCqOz","I'm Gonna Be (500 Miles)","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","spotify:album:7hPq9fDWwXPo1tT0oi3XcM","Finest","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","2003-09-01","https://i.scdn.co/image/ab67616d0000b273b0c0201a8796d8a536253a61","1","1","219466","https://p.scdn.co/mp3-preview/2919264bff964a01ab401bdb3d15b2a953301ae0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:10:25Z"
"spotify:track:1HKmoAuX4b9cg6yuZ8HV0Q","Wooden Ships","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","spotify:album:5hVTcLOMdF852hzUu7HUCY","Greatest Hits","spotify:artist:2pdvghEHZJtgSXZ7cvNLou","Crosby\, Stills & Nash","2005-03-14","https://i.scdn.co/image/ab67616d0000b27314440a73115a3f669bf8fbb1","1","11","330466","https://p.scdn.co/mp3-preview/df38344f01a19cf733d50b18323eb7864be83402?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-06T03:10:53Z"
