"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5yPvCSfEazWcMkmXbtjqGh","Epipelagic","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","1","72453","https://p.scdn.co/mp3-preview/20a15d2b23f2c9891a34043bf8f46682ea309069?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
"spotify:track:46OgID13P7woBNauXGq0wZ","Mesopelagic: Into the Uncanny","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","2","356253","https://p.scdn.co/mp3-preview/729dfd6748c42ddb07a4574d83cb79a6f7ae4702?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
"spotify:track:2mcXljiOPZngF8bP0gUjyl","Bathyalpelagic I: Impasses","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","3","264506","https://p.scdn.co/mp3-preview/464ba7a65abd17a01ab8a4a17149217c654e4e04?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
"spotify:track:4dbf6odeoCORh3AlFaOHb2","Bathyalpelagic Ii: The Wish in Dreams","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","4","198080","https://p.scdn.co/mp3-preview/4d87561e63c3e17d5dc9f0a435490be431b2b8a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
"spotify:track:4C63iJ77aEhjWPzAhi20Xn","Bathyalpelagic Iii: Disequillibrated","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","5","267333","https://p.scdn.co/mp3-preview/6791a79acc54ed231f841e4e8fef04c0d49926cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
"spotify:track:2tnhWGd3CDSculcRMsBjqZ","Abyssopelagic I: Boundless Vasts","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","6","207893","https://p.scdn.co/mp3-preview/5c88d3c1efb161b248117fccb0222e85b28838d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
"spotify:track:2z8uJWIEKOsIUNDcj7VaU1","Abyssopelagic Ii: Signals of Anxiety","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","7","305293","https://p.scdn.co/mp3-preview/b6ffe4d79b4d11bbb6110356018ad067f4247622?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
"spotify:track:6V8rfzfwFYTaAVD1ZrXDHc","Hadopelagic I: Omen of the Deep","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","8","67146","https://p.scdn.co/mp3-preview/139a7338f5650ad50074534fa0f29bf3af6b8a3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
"spotify:track:5r31aZ3VPeBwUxDiaYhyoG","Hadopelagic Ii: Let Them Believe","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","9","557880","https://p.scdn.co/mp3-preview/eac079d6f2af7c29b58a48fc87089e0001300b7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
"spotify:track:4Tmj6pJICbgUz9goasnWKV","Demersal: Cognitive Dissonance","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","1","10","545373","https://p.scdn.co/mp3-preview/4bb1512d802f14d2d3b993b95ea31b566a560050?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-03T07:12:37Z"
