"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:19ivXJJVcSs2pYNASAu5AB","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:1E72ED2DF9qg7Dr08yCkHx","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2008-03-11","https://i.scdn.co/image/ab67616d0000b2737985ff11d80ef7f01ff7ca76","1","5","264428","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T16:58:00Z"
"spotify:track:7eybuzgqCGdhwBQsyPMloO","Destroy Create Transform Sublimate","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","spotify:album:2hgDsvHJwvPNjhXLL9ivcQ","Are You Kidding Me? No.","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","2014-03-04","https://i.scdn.co/image/ab67616d0000b2733578cd4741e2acb84a8365c3","1","1","324573","https://p.scdn.co/mp3-preview/27c82084e984e87903ad158ddc2d7bbd332eb431?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T16:58:12Z"
"spotify:track:6HMDHsyRfSWBbf0XdZCzny","The Walk - Instrumental","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:3CPtyTCOEirDSos5WzEQBt","Periphery [Instrumental]","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2010-04-27","https://i.scdn.co/image/ab67616d0000b27327d14357d8d8aabc45e7050a","1","2","305920","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T16:58:24Z"
"spotify:track:5p2sCetlJ6D0KiBljKwmLb","Bleed","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:1E72ED2DF9qg7Dr08yCkHx","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2008-03-11","https://i.scdn.co/image/ab67616d0000b2737985ff11d80ef7f01ff7ca76","1","3","442758","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T16:59:08Z"
"spotify:track:4MmZjg894aXMyeWK650Xjm","New millennium cyanide christ","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:0jPjMd67rdCndvpKggWLi0","Chaosphere","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","1998","https://i.scdn.co/image/ab67616d0000b2738c83929fccc5cd775dce589d","1","2","335666","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T16:59:17Z"
"spotify:track:3jagGO7eHHuaD53ibehkux","Blood and Thunder","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:6khFoLWnJZDQvZ7Pijym3b","Leviathan","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2004-08-31","https://i.scdn.co/image/ab67616d0000b27300388d66c87c2c0033849bfd","1","1","228586","https://p.scdn.co/mp3-preview/214f41a401c263439f5e715b2875940fef45f7b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T16:59:41Z"
"spotify:track:4mYpmNDyJv3HEl22hfrDnL","The Wolf Is Loose","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:1n8QZFcwx5aQ2LIIlj0iYe","Blood Mountain","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2006-09-08","https://i.scdn.co/image/ab67616d0000b273abe244c2bab281947c3209cc","1","1","214160","https://p.scdn.co/mp3-preview/33cb35796a7a943dbfe3edaba9c71c8f7dd7b6b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T16:59:46Z"
"spotify:track:57caEZCym7upL7k7wt5h4o","Planned Obsolescence","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:5dxqD5Kc6cRRi3rErmDfXG","L'Enfant Sauvage (Special Edition)","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2012-06-26","https://i.scdn.co/image/ab67616d0000b2733ac9158414ee0e4042ffc56d","1","6","279466","https://p.scdn.co/mp3-preview/3e614ee4e4d7fb0fb38732a8fd4b08d0e6a7c8b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T17:00:18Z"
"spotify:track:25I6CiICRyGB0K7E9c7Ho0","The Axe","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:5dxqD5Kc6cRRi3rErmDfXG","L'Enfant Sauvage (Special Edition)","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2012-06-26","https://i.scdn.co/image/ab67616d0000b2733ac9158414ee0e4042ffc56d","1","3","274480","https://p.scdn.co/mp3-preview/530bb179a53b76d96e29362482c74b68cf275c39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T17:00:20Z"
"spotify:track:2fzt2ljbuvcYiYvH11dQcs","Breathe","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:2Z73HeYQNCf5T8dzzHaoz5","The Mind Is A Terrible Thing To Taste","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1989-11-10","https://i.scdn.co/image/ab67616d0000b273b24dc2f125c785d242029041","1","5","340066","https://p.scdn.co/mp3-preview/288682c1b891c30045124409823ccaf306bf46a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T17:02:52Z"
"spotify:track:1MqwoOkm1ZukmMo6UjqeSa","Worthless","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:7GOdFroQ5lOHuRkwkDhgPm","Houses of the Mole","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","2004","https://i.scdn.co/image/ab67616d0000b2730dfd3d95d906430610d69342","1","3","249626","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T17:03:01Z"
"spotify:track:4VkDvS8uNXDGml8qP43X58","Deathless","spotify:artist:4I9kzJ3Ew3qPoN66UPJUl3","Revocation","spotify:album:2p7uFGCufEFZmeIlpeP8yg","Deathless","spotify:artist:4I9kzJ3Ew3qPoN66UPJUl3","Revocation","2014-10-14","https://i.scdn.co/image/ab67616d0000b27399c3005325599be5c5e73fce","1","2","296640","https://p.scdn.co/mp3-preview/8777a63bb918e8d4062c96b7202bca4d80c8e42c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T17:03:19Z"
"spotify:track:43kvE0evfgiatOSth0XyFa","Tooth and Claw","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","6","263206","https://p.scdn.co/mp3-preview/189ddb95804aaf9a7a7f768a5d5c8cea143f2462?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-02T17:03:50Z"
