"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6sbZHNxOV6XYQIEoRZmWmU","Reload","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:6pK142b1OANbpbyJ6XIuvo","Filth Pig","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1996-01-26","https://i.scdn.co/image/ab67616d0000b273ad44567084d3f95921886dad","1","1","145573","https://p.scdn.co/mp3-preview/bc336f0a8fe936485409d4695a07b582567c3bcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-03T04:49:21Z"
"spotify:track:5jGl5HJxzAzDd2OpjblUcF","Pure Trama","spotify:artist:6SBgDfIRb6IE9TrA6w8Zg6","Downset","spotify:album:1STuPztaRX7O0uQYACvHac","Punk-O-Rama 6","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2001","https://i.scdn.co/image/ab67616d0000b2730a6cebab3c12fb05fe6a8893","1","16","153173","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-03T04:49:31Z"
"spotify:track:0gscpGthQ5opWhnmkVr1El","In Exodus","spotify:artist:69a2GzMCkrrTrN9iVmP8Ys","Nails","spotify:album:0HCZqugYM0BJmzsJJs5Mb5","Abandon All Life","spotify:artist:69a2GzMCkrrTrN9iVmP8Ys","Nails","2013-03-19","https://i.scdn.co/image/ab67616d0000b273469988dc10b5be4347897c22","1","1","79400","https://p.scdn.co/mp3-preview/4b0692cf8fb89fd4f71cbe799a3db6d15e3014df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-07-03T21:44:46Z"
"spotify:track:2RTTlc8IMUH9tZmpi3WnrY","Awaken the Serpent","spotify:artist:0WVXlaglIOtQueNbucPjZ0","Toxic Holocaust","spotify:album:4Ymfi7Lcg8UOY1J2wi7Pl5","Chemistry of Consciousness (Deluxe Version)","spotify:artist:0WVXlaglIOtQueNbucPjZ0","Toxic Holocaust","2013-10-29","https://i.scdn.co/image/ab67616d0000b273732af298261cc943e028a3bd","1","1","98866","https://p.scdn.co/mp3-preview/0e121e44fa4bf14f6d9265c05fe8632c5d84718e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-03T04:51:31Z"
"spotify:track:3Rbl1jyQUTYgramoFJxNLO","Agitation! Propaganda!","spotify:artist:3BRjxpDVT56Y2G5dS3xYZS","Eyehategod","spotify:album:5h6sPfC6DpyaCoa7pn8hDT","Eyehategod","spotify:artist:3BRjxpDVT56Y2G5dS3xYZS","Eyehategod","2014-05-27","https://i.scdn.co/image/ab67616d0000b27384ffb71d49654ca4fdc3718a","1","1","143625","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-03T04:51:06Z"
"spotify:track:6eULdK9eyByYgMpqH1lBeF","Crusher Destroyer","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:3pVCnqg7COWlaodlNiJIZL","Remission (Reissue)","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2014-08-05","https://i.scdn.co/image/ab67616d0000b2736c8efe24edd3681ad84d2348","1","1","121506","https://p.scdn.co/mp3-preview/68e82f72f34c74ee760ac093e3bb90fab9659f98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-03T04:49:36Z"
"spotify:track:521Xj7hmRO57LRGaIyK2YK","The Inebriator","spotify:artist:2Ah9OuOj7B57gPD1cbwiaE","Municipal Waste","spotify:album:7cU3FZ3u2jgKd5s8hhKJ9h","The Art of Partying","spotify:artist:2Ah9OuOj7B57gPD1cbwiaE","Municipal Waste","2007","https://i.scdn.co/image/ab67616d0000b273760a0ad8dce3c88c9907352a","1","6","127920","https://p.scdn.co/mp3-preview/619a9bb8461e8e9b8c74f67b911f40ac978f56af?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-03T04:49:38Z"
"spotify:track:1toDwkctddF6u84BHUyZgh","Cut-Throat","spotify:artist:6JW8wliOEwaDZ231ZY7cf4","Sepultura","spotify:album:2kba75qXTOad5NCvfmEN7T","Roots [Special Edition]","spotify:artist:6JW8wliOEwaDZ231ZY7cf4","Sepultura","1996-02-20","https://i.scdn.co/image/ab67616d0000b27352d6cf883a1c6135a7048394","1","3","164733","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-03T04:49:41Z"
"spotify:track:2QXQcu9tr0IRkxe80JVSnF","Combustion","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:1E72ED2DF9qg7Dr08yCkHx","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2008-03-11","https://i.scdn.co/image/ab67616d0000b2737985ff11d80ef7f01ff7ca76","1","1","248964","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-03T04:50:23Z"
"spotify:track:7uURchPesQ7LpHA4knDWB1","Ancient Covenant","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","spotify:album:2Ba27h8snSUMJDvdzOlDKQ","Planetary Duality","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","2008-11-10","https://i.scdn.co/image/ab67616d0000b273a87f7e9173f0081ec88e54fc","1","2","241386","https://p.scdn.co/mp3-preview/620862525a74cf15b0f485d22f78aab1bc4c55a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-03T04:54:21Z"
