"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7zhRpQXt7uzOklBM50CbvI","Panasonic Youth","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","spotify:album:6WcZTpAxpMYHAunYfI24X7","Miss Machine","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","2004-07-20","https://i.scdn.co/image/ab67616d0000b2734688955962b5e267448efb95","1","1","147093","https://p.scdn.co/mp3-preview/032589c01e3faaadee6336ab2602467035dd2261?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T02:08:50Z"
"spotify:track:2lYBLzyDZdSPgtc6yo8Qkl","Perpetual black second","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3cyYZ8QYlEUDWsDUaLW7A6","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002","https://i.scdn.co/image/ab67616d0000b2731b77d0270d08f9d250a6f338","1","3","278986","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T02:09:02Z"
"spotify:track:22hNBDyihyMZ2wV3nNDvru","The Walk","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:1UUO1uNhwVktqQqxYYViU1","Periphery","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2010","https://i.scdn.co/image/ab67616d0000b273bf39401ca0a2d88ee2f5e94f","1","2","305920","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T02:14:47Z"
"spotify:track:5HLm5unmUhDGy6kl2GIlNU","Hour of the Time","spotify:artist:54ZsHhYWjJ3cc14rux5CjE","The Tony Danza Tapdance Extravaganza","spotify:album:0W67OThPLC72LOhqEzXELr","Danza 3: The Series of Unfortunate Events","spotify:artist:54ZsHhYWjJ3cc14rux5CjE","The Tony Danza Tapdance Extravaganza","2010-07-04","https://i.scdn.co/image/ab67616d0000b273fb8e12954800409cacc157e1","1","9","218940","https://p.scdn.co/mp3-preview/7388699e86d28d09227ad0568b29d19a2cd64ee5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-06-27T23:37:43Z"
"spotify:track:1L1vm8bkIyaSXLHiQkr8DV","Sunshine the Werewolf","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","spotify:album:6WcZTpAxpMYHAunYfI24X7","Miss Machine","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","2004-07-20","https://i.scdn.co/image/ab67616d0000b2734688955962b5e267448efb95","1","2","257826","https://p.scdn.co/mp3-preview/3f1766fa00ce923da769c8b1158ada404434e619?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T02:08:50Z"
"spotify:track:19ivXJJVcSs2pYNASAu5AB","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:1E72ED2DF9qg7Dr08yCkHx","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2008-03-11","https://i.scdn.co/image/ab67616d0000b2737985ff11d80ef7f01ff7ca76","1","5","264428","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T02:09:28Z"
"spotify:track:7uURchPesQ7LpHA4knDWB1","Ancient Covenant","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","spotify:album:2Ba27h8snSUMJDvdzOlDKQ","Planetary Duality","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","2008-11-10","https://i.scdn.co/image/ab67616d0000b273a87f7e9173f0081ec88e54fc","1","2","241386","https://p.scdn.co/mp3-preview/620862525a74cf15b0f485d22f78aab1bc4c55a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:29:22Z"
"spotify:track:40XrkqHXCH0fSOwmJVYAHg","My Green Neighbour","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","spotify:album:2hgDsvHJwvPNjhXLL9ivcQ","Are You Kidding Me? No.","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","2014-03-04","https://i.scdn.co/image/ab67616d0000b2733578cd4741e2acb84a8365c3","1","3","252800","https://p.scdn.co/mp3-preview/54b0b0bb3c8367a877c2a0dd9c43683b8b44c3a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T02:10:13Z"
"spotify:track:2PZF2vVqEoOGyHpsH9XeYe","Distance and Meaning","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","spotify:album:2gtM4m6sglJDrX3toJWZO6","Jane Doe","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","2001","https://i.scdn.co/image/ab67616d0000b2738de9ae6244861b7a0001fa3d","1","3","257933","https://p.scdn.co/mp3-preview/88b0f4a63b38f889f371c804a28ee1bd9cb19bb2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-07-15T03:58:25Z"
"spotify:track:2aMv4W1rEHpKwaRKHEaXqm","Electro-Stimulated Hallucinatory Response","spotify:artist:2auMvpnuOdy53UPOpukHoq","Gigan","spotify:album:2atvnN1Qw7IHZ8LCGXXlPB","Multi-Dimensional Fractal-Sorcery And Super Science","spotify:artist:2auMvpnuOdy53UPOpukHoq","Gigan","2013-01-01","https://i.scdn.co/image/ab67616d0000b2735e13cf073724b01e983bd5d8","1","3","390546","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T04:27:23Z"
