"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:02AWUcAqymlhr3ScysCBr2","Get Your Snack On","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:2VnITsC4ZKoOM9Qs0CaM1K","Supermodified","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2000-05-01","https://i.scdn.co/image/ab67616d0000b2734469fb1bdecfadb787326774","1","1","262146","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T16:49:14Z"
"spotify:track:6s1vvfK1oFGH3ue4hkERCx","Lippincott","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","2","262292","https://p.scdn.co/mp3-preview/8c5a2d9b72fe1a896edbff6c6309b7b120751cb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T16:49:14Z"
"spotify:track:1kz4vfSFmozn3mVr1yMRYS","The Creeper","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:0SY1Q9pI5QSSc20KKbW5Ve","What We All Come To Need","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2009-10-26","https://i.scdn.co/image/ab67616d0000b27394983968c5eb406863419e0f","1","2","440346","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T16:49:14Z"
"spotify:track:1Bey85529sRbLZHMLsrhAd","South Side of the Sky - 2003 Remaster","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","spotify:album:0dZF93WHyOhTWjz5EWM7yG","Fragile (Deluxe Edition)","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","1971-11-26","https://i.scdn.co/image/ab67616d0000b27397f9466138456632edb5c00e","1","4","478066","https://p.scdn.co/mp3-preview/af5fa8200c9372b2a9f39649d8d8b5a5304caf21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T16:49:14Z"
"spotify:track:5Vig30Igar3H4BgQenJNZl","Chimes at Midnight","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:7iI8jE3kMRUNRaJSGWhE43","Once More 'Round the Sun","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2014-06-23","https://i.scdn.co/image/ab67616d0000b273ae8421cdadce4f8affc2bbf4","1","5","332040","https://p.scdn.co/mp3-preview/d71b95293e67ff244f39408dd304444f85add74e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T16:49:14Z"
"spotify:track:34LXW73avo8xz0NLiVuiow","Metal Church","spotify:artist:0exvkfkATkqWOJgugTjJhP","Metal Church","spotify:album:6LYQlKhDAXE9xMS3YzioNv","Metal Church","spotify:artist:0exvkfkATkqWOJgugTjJhP","Metal Church","1984","https://i.scdn.co/image/ab67616d0000b273946386c124aefa1e49b24442","1","2","302360","https://p.scdn.co/mp3-preview/09a793be53a70a3b88f4cbf70ba2402a6f3a91b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T16:50:54Z"
"spotify:track:234Q0vXyxCt0rgVviVKCkk","Canto 34","spotify:artist:5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","spotify:album:6GlsmhwCxNCEmW8v2YVPRN","War Is The Answer","spotify:artist:5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","2009-01-01","https://i.scdn.co/image/ab67616d0000b273d43c7fb05ae66b6cde2081d8","1","11","249533","","true","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T16:51:11Z"
"spotify:track:4jV7TPCxNDcR6ILr4DgG9J","The Hunt","spotify:artist:6JW8wliOEwaDZ231ZY7cf4","Sepultura","spotify:album:5r4qa5AIQUVypFRXQzjaiu","Chaos A.D.","spotify:artist:6JW8wliOEwaDZ231ZY7cf4","Sepultura","1993-09-02","https://i.scdn.co/image/ab67616d0000b2739c0b2d74cfb910735ca55317","1","11","239253","https://p.scdn.co/mp3-preview/5baee920272120e48626d429d63707a090fb4c0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T16:51:15Z"
"spotify:track:1g7bl2LDCom7jtX2EmHRSF","Flite","spotify:artist:32ogthv0BdaSMPml02X9YB","The Cinematic Orchestra","spotify:album:1EUXHvyflL27HwOTQgaVuh","Every Day","spotify:artist:32ogthv0BdaSMPml02X9YB","The Cinematic Orchestra","2002-05-13","https://i.scdn.co/image/ab67616d0000b273d2a761a90fb7ca422398f0cf","1","3","395706","https://p.scdn.co/mp3-preview/f90e22192388007e29c4e6290baaa00d7f5bf539?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:05:14Z"
"spotify:track:6uUY3ryfKpCqlQY6gfaq44","Superunknown","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4AvI4sIYIYE1fIbLLGN7tb","Superunknown","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b273d41e34cde82369bf19e845cc","1","5","306306","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T16:52:05Z"
"spotify:track:47H4oc7Zkihwae7ST7F4zp","Voices","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","spotify:album:07w0hGS9XUdFsPBvDHy16y","The Sickness (10th Anniversary Edition)","spotify:artist:3TOqt5oJwL9BE2NG9MEwDa","Disturbed","2010-03-12","https://i.scdn.co/image/ab67616d0000b27394a42e7b21b0fab4f4773db2","1","1","191960","https://p.scdn.co/mp3-preview/71be84adf7887ba2fc3d9e4acdf6db42868169f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:18:13Z"
"spotify:track:7oK8Wic9CZOgfsHNGswQTj","Leo Leo","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","spotify:album:12uOdmrpMrzBgzx9MDX5Wb","EX:EL (Digitally Remastered + Archives Part II)","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","1991","https://i.scdn.co/image/ab67616d0000b273d0040aea832d820a08e17338","1","3","241546","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:18:52Z"
"spotify:track:1FVQ174DjnRDDhxAZuFnUm","All I Had (i Gave)","spotify:artist:3xtIpqzIOfQUxKce8BU4Ka","Crowbar","spotify:album:1lasro8GUgLe5uuLeU1kqm","Crowbar","spotify:artist:3xtIpqzIOfQUxKce8BU4Ka","Crowbar","1993","https://i.scdn.co/image/ab67616d0000b27307a1a59e25e52f939baaf72d","1","2","191853","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:18:33Z"
"spotify:track:4aShyibQTMTTgYelpvg9js","Laid to Waste","spotify:artist:3EbMlZ7ZKmFWPTHrLzpzvs","Bolt Thrower","spotify:album:1G03yIwTkAC0K5QHJSkgbY","Mercenary","spotify:artist:3EbMlZ7ZKmFWPTHrLzpzvs","Bolt Thrower","1998","https://i.scdn.co/image/ab67616d0000b273c8cbe984b53a000f75c3cc96","1","2","280426","https://p.scdn.co/mp3-preview/ad234114b44f0ea78c7f89a439582c36ef2f4d3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:26:55Z"
"spotify:track:71OeleUvvObLd3jnN8DhwU","Headhunter V1.0","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","spotify:album:4UEBO0etZ0ZezM8NG0cIvB","FRONT BY FRONT","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","1988","https://i.scdn.co/image/ab67616d0000b273d420efcc876363268477085b","1","11","301240","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:27:25Z"
"spotify:track:1qEMuHKZTFPVmjqy1GtviI","Smothered Hope","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","spotify:album:3ioXn7nDb7PxMj3dlKFBQn","deadTIME's Exploding Dream: A Nettwerk Compilation","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2012-05-15","https://i.scdn.co/image/ab67616d0000b27385be2117e319f68f4bba49cb","1","1","316106","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:27:36Z"
"spotify:track:3aOgDVMkzSyspyZJ4B7Sff","Rosies","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:27ftYHLeunzcSzb33Wk1hf","Out From Out Where","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2002-10-14","https://i.scdn.co/image/ab67616d0000b2739236314a5d47e2b2277ca028","1","6","322960","https://p.scdn.co/mp3-preview/fa71d681401bd293178a9a8fa36cd2dae34187bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:45:28Z"
"spotify:track:2XEJl9yHpEZBOWtdsGd38x","World's On Fire","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:0NgCbFQaA3AayOPHYsvgyw","Invaders Must Die","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2009-01-01","https://i.scdn.co/image/ab67616d0000b2731402aa912430661aca4c6b4a","1","9","290400","https://p.scdn.co/mp3-preview/23824cbb4777c298454a2ef9d65fc45d564cbcca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:56:48Z"
"spotify:track:5Xz7qtQeNp2xFNhncEFpKN","Truce","spotify:artist:6KVc8Llznru8n9LVCYe9dz","Death Angel","spotify:album:5bvhWVBSd1p6hBm5EIJ5Ps","Relentless Retribution","spotify:artist:6KVc8Llznru8n9LVCYe9dz","Death Angel","2010-09-14","https://i.scdn.co/image/ab67616d0000b2732beb84c3bdc69fc7595a9394","1","3","211560","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-17T17:56:55Z"
