"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6rgDHBZUHE3gxJb5aDHStc","I Am The State","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7lIKPCvbrINW45HcmdW80Q","Unnatural Selection","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2013-06-25","https://i.scdn.co/image/ab67616d0000b27361e3f41d0397a6ab5e1697d3","1","1","246413","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-17T22:43:41Z"
"spotify:track:3A8foDNvZ8K4eIrqy7KwaQ","A Skeleton In The Closet","spotify:artist:3JysSUOyfVs1UQ0UaESheP","Anthrax","spotify:album:37io57O2XOMcchxYVsyhHm","Among The Living (Deluxe Edition)","spotify:artist:3JysSUOyfVs1UQ0UaESheP","Anthrax","1987-03","https://i.scdn.co/image/ab67616d0000b27319e348ae09151d6eb2df9d6f","1","5","329053","https://p.scdn.co/mp3-preview/3e64496ce39d33eaa1301eebfd66c1ba2291fe80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-17T22:43:21Z"
"spotify:track:6sbZHNxOV6XYQIEoRZmWmU","Reload","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:6pK142b1OANbpbyJ6XIuvo","Filth Pig","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1996-01-26","https://i.scdn.co/image/ab67616d0000b273ad44567084d3f95921886dad","1","1","145573","https://p.scdn.co/mp3-preview/bc336f0a8fe936485409d4695a07b582567c3bcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-17T22:55:22Z"
"spotify:track:6b6uLZsoGhObYexIxnRbIb","Hangar 18 - Remastered 2004","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:0qaLL09EtF1hiUis7PRvaJ","Rust In Peace","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1990-10-04","https://i.scdn.co/image/ab67616d0000b273be9fa5a89479b6af481938a0","1","2","311200","https://p.scdn.co/mp3-preview/5d599565f4b1a11a0ee8be4d74ae18f29262ed43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-13T00:09:00Z"
"spotify:track:4yqn8Nmy7tzhRjTxXAK6fL","Colours","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:2VnAYbLn38iQcMQewC9fJj","Invaders Must Die","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2009-03-03","https://i.scdn.co/image/ab67616d0000b273213b68d322dd2ea4f194eb51","1","4","207893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-12T02:03:17Z"
"spotify:track:7oK8Wic9CZOgfsHNGswQTj","Leo Leo","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","spotify:album:12uOdmrpMrzBgzx9MDX5Wb","EX:EL (Digitally Remastered + Archives Part II)","spotify:artist:7hFdUW64G4iU1tz46ITRfN","808 State","1991","https://i.scdn.co/image/ab67616d0000b273d0040aea832d820a08e17338","1","3","241546","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-19T19:47:07Z"
"spotify:local:Soundgarden:Down+on+the+Upside:Ty+Cobb:185","Ty Cobb","","Soundgarden","","Down on the Upside","","","","","0","0","185000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-17T22:40:55Z"
"spotify:track:0NdidkH0EQwG7mx6F6SDkI","Fuel","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:73E6u02YIL3dK6UConUUv4","Reload","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1997-11-18","https://i.scdn.co/image/ab67616d0000b2738cbcf2a6c980d97e7347e4b3","1","1","269733","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-17T22:40:55Z"
"spotify:track:59pBA1HUMol92PIIeJ0h9F","Painkiller","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","spotify:album:7gxeenpzh6fCU4SyWCtSV5","Painkiller","spotify:artist:2tRsMl4eGxwoNabM08Dm4I","Judas Priest","1990","https://i.scdn.co/image/ab67616d0000b273251de59d39603affef9cd0f0","1","1","365826","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-09-17T22:40:55Z"
"spotify:track:5jGl5HJxzAzDd2OpjblUcF","Pure Trama","spotify:artist:6SBgDfIRb6IE9TrA6w8Zg6","Downset","spotify:album:1STuPztaRX7O0uQYACvHac","Punk-O-Rama 6","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2001","https://i.scdn.co/image/ab67616d0000b2730a6cebab3c12fb05fe6a8893","1","16","153173","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-12T02:02:01Z"
