"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2svPk1SpGvpRo8dM8nf6M8","Selkies: the Endless Obsession","spotify:artist:2JC4hZm1egeJDEolLsMwZ9","Between The Buried And Me","spotify:album:48KwiVe7gkmtCA2pgCqJoe","Alaska","spotify:artist:2JC4hZm1egeJDEolLsMwZ9","Between The Buried And Me","2005","https://i.scdn.co/image/ab67616d0000b273243a8def82f53b4dba2a6ea4","1","4","443266","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:13:38Z"
"spotify:track:6eOBTfXLAqtLEwrHTglkC1","Informal Gluttony","spotify:artist:2JC4hZm1egeJDEolLsMwZ9","Between The Buried And Me","spotify:album:50D1KdZhQ3Zgen8o4QrloQ","Colors","spotify:artist:2JC4hZm1egeJDEolLsMwZ9","Between The Buried And Me","2007","https://i.scdn.co/image/ab67616d0000b2734054eb7808de85908dec4507","1","3","407826","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:13:38Z"
"spotify:track:275MsoNhvDXUvlPgV5Hv4E","Elusive Reverence","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","spotify:album:66llewXGhBEb4282lZfJ0s","Earthborn Evolution","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","2014-10-27","https://i.scdn.co/image/ab67616d0000b2739defc242bb25ab0f571d1c0e","1","1","255491","https://p.scdn.co/mp3-preview/3105455d049cc640fcf4ca43cbed130904fc8172?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:13:53Z"
"spotify:track:21RpRpgfskmMlw2YAuwf8a","Earthborn Evolution","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","spotify:album:66llewXGhBEb4282lZfJ0s","Earthborn Evolution","spotify:artist:3HBOxN9iagI9Ot1kTHpPX8","Beyond Creation","2014-10-27","https://i.scdn.co/image/ab67616d0000b2739defc242bb25ab0f571d1c0e","1","3","335000","https://p.scdn.co/mp3-preview/c57efb678005c211e6391f401b4adf6e5fa300c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:13:53Z"
"spotify:track:5UBWon3kj9KDGJOC7Om27T","Prepare for Attack","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7xGz2dZ1SBqhQVVP32DVSW","Time Is Up","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2011","https://i.scdn.co/image/ab67616d0000b27303dc3069d36a74bb5f1fe3f2","1","1","236893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:16:27Z"
"spotify:track:6l7GtU9mdyWHUny72Hqyk1","Unnatural Selection","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:0hVljCC3jFbJul3rW0fOw1","Unnatural Selection","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2013","https://i.scdn.co/image/ab67616d0000b273aa58488858a45ffbc2c956a0","1","10","255786","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:16:50Z"
"spotify:track:3GOmep1zyPxt1xMU3DvgHI","MAKE TOTAL DESTROY","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:65ysofnCsBkpZnlu1FvBXG","Periphery II","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2012-07-03","https://i.scdn.co/image/ab67616d0000b273a62553d180c1e2f075e4b27a","1","9","267440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:21:54Z"
"spotify:track:31joRJoijYOGBIW4444Fwk","Prehistoric Dog","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:1orQuQDeSCf7yEPSEAb6Gb","Red Fang","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2009-03-10","https://i.scdn.co/image/ab67616d0000b273bc7bd2dafbd55237b170777c","1","1","268280","https://p.scdn.co/mp3-preview/f2c93b0c0f21c11075c501aebdcd0653a3d26590?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:22:19Z"
"spotify:track:7f7AkrOCmi5X6Eovd3TiNq","Explosia","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:5dxqD5Kc6cRRi3rErmDfXG","L'Enfant Sauvage (Special Edition)","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2012-06-26","https://i.scdn.co/image/ab67616d0000b2733ac9158414ee0e4042ffc56d","1","1","399320","https://p.scdn.co/mp3-preview/24cf2364c773569f0bb9db8cb7209c4200b82596?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:22:49Z"
"spotify:track:7eybuzgqCGdhwBQsyPMloO","Destroy Create Transform Sublimate","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","spotify:album:2hgDsvHJwvPNjhXLL9ivcQ","Are You Kidding Me? No.","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","2014-03-04","https://i.scdn.co/image/ab67616d0000b2733578cd4741e2acb84a8365c3","1","1","324573","https://p.scdn.co/mp3-preview/27c82084e984e87903ad158ddc2d7bbd332eb431?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-07T03:23:13Z"
