"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:66jqB3geOwLt0Zu1nVIbJF","Odyssey","spotify:artist:16Uqo1jjtPiKI4zU1Ficgb","Scale The Summit","spotify:album:2cu7p8RVaS0yFaqoLOUMJd","The Migration","spotify:artist:16Uqo1jjtPiKI4zU1Ficgb","Scale The Summit","2013-06-11","https://i.scdn.co/image/ab67616d0000b27397082c66265cf9722500ca4e","1","1","312506","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:37:27Z"
"spotify:track:5qlNUPnGRTxd9YBaMwi7db","The Dark Horse","spotify:artist:16Uqo1jjtPiKI4zU1Ficgb","Scale The Summit","spotify:album:2cu7p8RVaS0yFaqoLOUMJd","The Migration","spotify:artist:16Uqo1jjtPiKI4zU1Ficgb","Scale The Summit","2013-06-11","https://i.scdn.co/image/ab67616d0000b27397082c66265cf9722500ca4e","1","7","252253","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:37:43Z"
"spotify:track:3wiT4tcjKk4jAqrfDahS6W","Redneck Stomp","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","spotify:album:4s0rS2NQQMr3F4ld83DHSA","Frozen In Time [Special Edition]","spotify:artist:0SbGI4sb8dAKFZnK7RFyhz","Obituary","2005-07-11","https://i.scdn.co/image/ab67616d0000b27359096d5592ac09cd1a2b267f","1","1","212840","https://p.scdn.co/mp3-preview/2bf7d342c5a830edb5ec29602f5f60ced77ba900?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:37:57Z"
"spotify:track:7CeF4VXPoaUbNB3NNHIXfM","Scene Two: I. Overture 1928","spotify:artist:2aaLAng2L2aWD2FClzwiep","Dream Theater","spotify:album:1QZi8laY96nhaeGSklvN4D","Metropolis, Pt. 2: Scenes from a Memory","spotify:artist:2aaLAng2L2aWD2FClzwiep","Dream Theater","1999-01-01","https://i.scdn.co/image/ab67616d0000b273dbb83b10ff18df1213b76ac5","1","2","217840","https://p.scdn.co/mp3-preview/62a615807c4a7ef8d0a383a21265b144b0e29315?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:38:23Z"
"spotify:track:6rEfn4yCx79crMgQZPpXIb","Bathyalpelagic I: Impasses (Instrumental Version)","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","2","3","264506","https://p.scdn.co/mp3-preview/f19f3f4b21c6076ea13b8a2d6b4ffdded7192f7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:38:43Z"
"spotify:track:6s1vvfK1oFGH3ue4hkERCx","Lippincott","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","2","262292","https://p.scdn.co/mp3-preview/8c5a2d9b72fe1a896edbff6c6309b7b120751cb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:38:58Z"
"spotify:track:4j6ascTxs21rACPdPpqFQN","The Woven Web","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","10","247780","https://p.scdn.co/mp3-preview/abea14af6ddf39fd13d3e64336521c6c722412cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:39:06Z"
"spotify:track:60Ei8lRSxcZwjJdEmAfKI3","Jato Unit","spotify:artist:1bqlyIXRTCilCmvAr1newg","Jeff Loomis","spotify:album:6RnepDsGb1c5tOU3wrQogH","Zero Order Phase","spotify:artist:1bqlyIXRTCilCmvAr1newg","Jeff Loomis","2008-08-25","https://i.scdn.co/image/ab67616d0000b27375a3ca6deb01a6234984b040","1","3","281720","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:39:40Z"
"spotify:track:5T5VyT9U6hfzQu1DK2IahU","A Mercurian Summer","spotify:artist:4IvneyseUnh42KeTx1icxK","Angel Vivaldi","spotify:album:0HedrVZF46qhiU0t0AwEY8","Universal Language","spotify:artist:4IvneyseUnh42KeTx1icxK","Angel Vivaldi","2011-05-24","https://i.scdn.co/image/ab67616d0000b273b9e555e6ab0165396f7f328a","1","2","274933","https://p.scdn.co/mp3-preview/a907dcfae3841b85ec2e57c77c5f6f60fbcf89b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:39:58Z"
"spotify:track:3RNaege6IhTKGHVpRA3PQo","The Call Of Ktulu","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:7a1dlwArQK6OCHkr2SNlZR","Ride The Lightning","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1984-07-27","https://i.scdn.co/image/ab67616d0000b273b273e0a4432dbcff6df50e05","1","8","533493","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T17:40:27Z"
