"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3vOMaF9CNB5U6lfcTVNAt1","From a Cloudless Sky","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","4","168075","https://p.scdn.co/mp3-preview/bef53e3bd2d464a65bcf31ae02cd2001d07a6a8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
"spotify:track:4UrDDB72sBzrLQFZxBTfX3","Burned from Bone","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","5","158967","https://p.scdn.co/mp3-preview/232ce26cd0eb67360a761d525c42171db14c8c31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
"spotify:track:5mZNIQZ0bSQLNGP79bnaHb","I Am of Death (Hell Has Arrived)","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","3","167470","https://p.scdn.co/mp3-preview/4e79ca41ab0cd3640b4ac395b76600e0b6d9801e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
"spotify:track:5IEtpIi3yvch454uAjVrwf","Unending, Everliving","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","6","183198","https://p.scdn.co/mp3-preview/d5460cf4d505a5cd8aa3384d4f8a52c98481c1b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
"spotify:track:2BAA5OjtMjFhNXrX2HGcDB","Blade on the Flesh, Blood on My Hands","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","7","146618","https://p.scdn.co/mp3-preview/9dc5ffa465b5f11e53c6e26d335a4ffcbcc4c6e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
"spotify:track:6D0JetDcx67JNmmi53zK7F","This Evil Embrace","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","8","219509","https://p.scdn.co/mp3-preview/779ce6ed5a5a5fdbdba33c1485d8d8c35732ca33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
"spotify:track:4onbs2kp8T8Mvs7L0GPeTJ","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","1","131936","https://p.scdn.co/mp3-preview/4c1a974e01993114674e724ba2a70304e6d87037?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
"spotify:track:0lHS2b7jg8eRsvK1Ed3fVq","Beneath Dead Leaves","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","2","187050","https://p.scdn.co/mp3-preview/827b42588885a1dad18e912d23fe856371d97b38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
"spotify:track:086NrWeUxz3gLgCrkJWD16","Unwept","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","9","145623","https://p.scdn.co/mp3-preview/f569d0d59bbed570857ad7c19788372733f280a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
"spotify:track:165Y3DBu9MZTxaqFOwl97O","Born of the Light That Does Not Shine","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:2JOIi9CHxbQPQPHJNXDQBi","Serpents Unleashed","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2013-10-29","https://i.scdn.co/image/ab67616d0000b273856eb07b7a90ecb8296a8634","1","10","138728","https://p.scdn.co/mp3-preview/1e05cf5208232e6b16b3e574d8ce5ed27879e0b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-27T03:56:35Z"
