"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6s1vvfK1oFGH3ue4hkERCx","Lippincott","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:3BfAgyF1AdYKaOO7EBoDw4","The Joy of Motion","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2014-03-25","https://i.scdn.co/image/ab67616d0000b2731ce45979342c65ecddf9f72e","1","2","262292","https://p.scdn.co/mp3-preview/8c5a2d9b72fe1a896edbff6c6309b7b120751cb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-23T07:49:50Z"
"spotify:track:4RvlaO9WcTXjCFTt4qWB2f","High Spirit","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","spotify:album:6ThMpgBWrQHFAG8dKlOchy","The Scenic Album","spotify:artist:3uDBxcooIKOzH5ltdpGb4h","Felix Martin","2013-09-17","https://i.scdn.co/image/ab67616d0000b2739255047a43079d2420b74195","1","6","374003","https://p.scdn.co/mp3-preview/f054ba27a1a631e8a56dd6bd278b81394ada85b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-02-28T01:15:56Z"
"spotify:track:7eybuzgqCGdhwBQsyPMloO","Destroy Create Transform Sublimate","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","spotify:album:2hgDsvHJwvPNjhXLL9ivcQ","Are You Kidding Me? No.","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","2014-03-04","https://i.scdn.co/image/ab67616d0000b2733578cd4741e2acb84a8365c3","1","1","324573","https://p.scdn.co/mp3-preview/27c82084e984e87903ad158ddc2d7bbd332eb431?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-15T02:16:55Z"
"spotify:track:76hTx8SeM6aGvDBSwcKAxX","Take The Veil Cerpin Taxt","spotify:artist:75U40yZLLPglFgXbDVnmVs","The Mars Volta","spotify:album:0CA2EVHhRPR5VPV78KZw89","Deloused in the Comatorium","spotify:artist:75U40yZLLPglFgXbDVnmVs","The Mars Volta","2003-01-01","https://i.scdn.co/image/ab67616d0000b273f32a4535c09f7cae822bd695","1","10","521666","https://p.scdn.co/mp3-preview/a944b34b17624bc06e45bc37c7065a936e71ba43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-15T02:54:48Z"
"spotify:track:1oXjRkGGNMuCLsNN9ZNmg7","Skies Of Millenium Night","spotify:artist:03mz3G1gu1GPNgAWY4qR2w","SikTh","spotify:album:3waQHqtmfXNCdTz9DJp5vp","The Trees Are Dead & Dried Out Wait For Something Wild","spotify:artist:03mz3G1gu1GPNgAWY4qR2w","SikTh","2003-08-18","https://i.scdn.co/image/ab67616d0000b2733a32751217565950ad363781","1","4","282866","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-15T02:21:21Z"
"spotify:track:1g7bl2LDCom7jtX2EmHRSF","Flite","spotify:artist:32ogthv0BdaSMPml02X9YB","The Cinematic Orchestra","spotify:album:1EUXHvyflL27HwOTQgaVuh","Every Day","spotify:artist:32ogthv0BdaSMPml02X9YB","The Cinematic Orchestra","2002-05-13","https://i.scdn.co/image/ab67616d0000b273d2a761a90fb7ca422398f0cf","1","3","395706","https://p.scdn.co/mp3-preview/f90e22192388007e29c4e6290baaa00d7f5bf539?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-15T02:22:02Z"
"spotify:track:1GdvplkzMWe5f3vgUMeLbr","Calculating Infinity","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","spotify:album:0lUmhvC9JtPpU8LEYHVdyS","Calculating Infinity","spotify:artist:7IGcjaMGAtsvKBLQX26W4i","The Dillinger Escape Plan","1999-09-28","https://i.scdn.co/image/ab67616d0000b2734dceb298c234a3e42fc72377","1","8","122200","https://p.scdn.co/mp3-preview/14a988ed198f67c37df4921615f1612aba234d39?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-06T04:51:12Z"
"spotify:track:02AWUcAqymlhr3ScysCBr2","Get Your Snack On","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:2VnITsC4ZKoOM9Qs0CaM1K","Supermodified","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2000-05-01","https://i.scdn.co/image/ab67616d0000b2734469fb1bdecfadb787326774","1","1","262146","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-01-20T14:29:37Z"
"spotify:track:2NSBG05S9f94Tm3CHjPxdC","Digital Dream Sequence","spotify:artist:3poNEhEAAwqWGnLaQNE0Fs","Trioscapes","spotify:album:3lO2SXfrQF4O8VEVe7XURq","Digital Dream Sequence","spotify:artist:3poNEhEAAwqWGnLaQNE0Fs","Trioscapes","2014-08-19","https://i.scdn.co/image/ab67616d0000b273bd8a180756a577b3dcdba2fc","1","1","454160","https://p.scdn.co/mp3-preview/dd414349c9a0b8b9c55f4243066178bda4a759f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-05T23:28:12Z"
"spotify:track:1Y7yRiVzRkQUc9MEN5eoSo","Feed the Horses","spotify:artist:4YygB8sfxuIcj2p0G9kpQ5","Thank You Scientist","spotify:album:3e0QZg478r71EiIcDSaR0v","Maps of Non-Existent Places","spotify:artist:4YygB8sfxuIcj2p0G9kpQ5","Thank You Scientist","2014-09-30","https://i.scdn.co/image/ab67616d0000b273b87af319692d89c1200d92b4","1","3","388324","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-05T23:30:48Z"
"spotify:track:5ygCMJvKQOyhTyiPyOqyoJ","Seven Ways Till Sunday","spotify:artist:4rXMIjexfwIsaY2455P7jB","T.R.A.M","spotify:album:2xoZN3Rk6x5Llp8PgJjwlh","Lingua Franca","spotify:artist:4rXMIjexfwIsaY2455P7jB","T.R.A.M","2012-02-28","https://i.scdn.co/image/ab67616d0000b2739e19f50b336392bdb6fcc83a","1","1","286493","https://p.scdn.co/mp3-preview/87b17a6eed5087a12199c0ef5a2dadbfb904385b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-05T23:36:18Z"
"spotify:track:5xufuwYrduYZOdNDbBp3AF","Senseless Massacre","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:3OTigcbvVUXeI7SZGTFb9y","Lugal Ki En","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2014-10-14","https://i.scdn.co/image/ab67616d0000b273fe21e01d33376efe40d54d9d","1","1","214333","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-13T20:15:40Z"
"spotify:track:3kmX1Ok6CoYL9PrIWXwyRB","Thoroughly at Home","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:1BRtQtljRJIxroJXI20K39","Animals as Leaders","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2009-04-28","https://i.scdn.co/image/ab67616d0000b27393bb9d619c92bcd6ba242c39","1","3","242066","https://p.scdn.co/mp3-preview/e532c4e22aeff13a72a788fe2a3a3610556a51fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-05-06T04:46:57Z"
