"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5KirH5QuyG2cybx3fOURIG","Cold as Ice","spotify:artist:6IRouO5mvvfcyxtPDKMYFN","Foreigner","spotify:album:1zkinzWtpKeB39wdhj3Wo4","Records","spotify:artist:6IRouO5mvvfcyxtPDKMYFN","Foreigner","1982-11-17","https://i.scdn.co/image/ab67616d0000b2736656158253b4248003c79840","1","1","200213","https://p.scdn.co/mp3-preview/cf18b5451f250c4a2f6bc8dbb720f2aa164cffa9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-07-15T07:54:51Z"
"spotify:track:2audHw8H7pcDViQBXAufEZ","A New Wave","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","spotify:album:1l7gMbzE7RRAdYddJSfM5B","No Cities to Love","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","2015-01-20","https://i.scdn.co/image/ab67616d0000b27357994b5e87c4e5e67ee43996","1","5","218533","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-07-15T07:54:57Z"
"spotify:track:5utTwbiYVzAQILX18liKiz","Satisfy","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","spotify:album:5g6eO6WgJLARS71yyRzzBV","Satisfy","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","2014-01-01","https://i.scdn.co/image/ab67616d0000b2736dd70e6ace3f04685081b13a","1","1","284516","https://p.scdn.co/mp3-preview/2432f87e3508f1b6059c3003446b6f0d606c54ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-07-15T07:54:51Z"
"spotify:track:3Thr46cX94rfPUo31w4uT7","Back From Space","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:27ftYHLeunzcSzb33Wk1hf","Out From Out Where","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2002-10-14","https://i.scdn.co/image/ab67616d0000b2739236314a5d47e2b2277ca028","1","1","292786","https://p.scdn.co/mp3-preview/90c9fe641f0351ad547e37cc27719f8ac36d4c48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-04T02:03:03Z"
"spotify:track:4p7isjE8RGKAYdjOdWijK7","Paralyzer","spotify:artist:0niJkG4tKkne3zwr7I8n9n","Finger Eleven","spotify:album:2IpdzvKz5KtfjrvUQaxJnr","Them vs. You. vs. Me (Deluxe Edition) and (Bonus Cuts)","spotify:artist:0niJkG4tKkne3zwr7I8n9n","Finger Eleven","2007","https://i.scdn.co/image/ab67616d0000b2736ed76aa40483360176594dbf","1","1","208106","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-11-07T23:54:23Z"
"spotify:track:3tehrxZR8eaANHov4cEctL","Smack My Bitch Up","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:2NkwB9shQioKcbNhPf2EbP","The Fat of the Land - Expanded Edition","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","1997","https://i.scdn.co/image/ab67616d0000b273c2500c4201de5914e99dfffa","1","1","342733","","true","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-29T17:48:49Z"
"spotify:track:4A7qcJp2Sg867JST1pSPJz","Promises","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","spotify:album:7mLdDLzH8tMpan5Xi8tzB3","Welcome Reality","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","2011-01-01","https://i.scdn.co/image/ab67616d0000b273706811593f37c38a843ae35d","1","13","257359","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-07-15T07:54:51Z"
"spotify:track:0vVweaPkDhix5YZBU7sU3o","Science Fiction","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:6Ny7ldBgUotuALx5hSFi4e","Bassnectar, LUZCID","spotify:album:29e92rWX8k9EYyhi3COxtE","Into the Sun","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2015-06-30","https://i.scdn.co/image/ab67616d0000b273164a093ecb0512a49d71d785","1","9","312750","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-05T23:21:37Z"
"spotify:track:5i33z3NLHNGdRzbWgOIP1k","Time Is The Enemy","spotify:artist:5ZMwoAjeDtLJ0XRwRTgaK8","Quantic","spotify:album:3aTXD4QsMiyg9JmQwjrIKY","The 5th Exotic","spotify:artist:5ZMwoAjeDtLJ0XRwRTgaK8","Quantic","2001-01-01","https://i.scdn.co/image/ab67616d0000b27337ebbb426f6b0c57aa8e7f7d","1","10","219846","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-07-15T07:54:51Z"
"spotify:track:47r2YKldN36ykegWkciO0E","Doomsday","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","spotify:album:7mLdDLzH8tMpan5Xi8tzB3","Welcome Reality","spotify:artist:4uRYpUQZrNrY5t8tAv3XrD","NERO","2011-01-01","https://i.scdn.co/image/ab67616d0000b273706811593f37c38a843ae35d","1","2","251649","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-07-15T07:54:51Z"
