"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3x3ttlUIJDbvI6ksSvf5Pq","Where the Things Have No Colour","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","spotify:album:2hgDsvHJwvPNjhXLL9ivcQ","Are You Kidding Me? No.","spotify:artist:4aOJwHpU6TcuhC4QKNn8MS","Destrage","2014-03-04","https://i.scdn.co/image/ab67616d0000b2733578cd4741e2acb84a8365c3","1","6","398066","https://p.scdn.co/mp3-preview/82b25cb313b8dcd70ca07331c4461925f9653044?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T01:59:05Z"
"spotify:track:3iv5b1acAmMRdWCtfDXaC5","Grounds for Divorce","spotify:artist:5o1BnhK2ziS42PCJMuiGd6","Big Business","spotify:album:0rYeIkq72v4iYWDESIw3Ri","Here Come the Waterworks","spotify:artist:5o1BnhK2ziS42PCJMuiGd6","Big Business","2007-03-06","https://i.scdn.co/image/ab67616d0000b27393bf85c60a88fdec33f57e99","1","4","330506","https://p.scdn.co/mp3-preview/db559d6377a134cbd88f41c8750f5a42181e2943?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T01:59:09Z"
"spotify:track:3hHSOMGBpwP0y9RSdJUfCZ","Reverse Thunder","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:1orQuQDeSCf7yEPSEAb6Gb","Red Fang","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2009-03-10","https://i.scdn.co/image/ab67616d0000b273bc7bd2dafbd55237b170777c","1","2","195453","https://p.scdn.co/mp3-preview/d40a01c3c8b5e333ff33c017b747332c05148cf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T01:59:14Z"
"spotify:track:2GZbJjsph5LKA0reVwefxH","Hank Is Dead","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:5RQlhjpn4qz3q2vRrAGYD9","Murder the Mountains (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2011-04-12","https://i.scdn.co/image/ab67616d0000b273363e08f434a00b57faa774e7","1","3","156280","https://p.scdn.co/mp3-preview/04670cb9cbfbb3e4e241e01e37a306280b414acc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T02:05:15Z"
"spotify:track:19JUKimeLAspEwJ2SvH7Jk","Boom","spotify:artist:6DVipHzYsPlIoA0DW8Gmns","Royce Da 5'9""","spotify:album:3U1UMHqTYQLRql3qWQAUEc","Rock City","spotify:artist:6DVipHzYsPlIoA0DW8Gmns","Royce Da 5'9""","2002-11-26","https://i.scdn.co/image/ab67616d0000b27362b8580ed9ae079bac973d74","1","11","236413","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T02:06:20Z"
"spotify:track:51c94ac31swyDQj9B3Lzs3","Change (In the House of Flies)","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:5LEXck3kfixFaA3CqVE7bC","White Pony","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","2000-05-16","https://i.scdn.co/image/ab67616d0000b2735c53799f473fa3e1a48c00ed","1","11","299533","https://p.scdn.co/mp3-preview/052b4932d4f9bd24d0b13ecfd2bc2c92c5be5775?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T02:11:15Z"
"spotify:track:1VIhaSQtShquo4ilmsXC84","Photographs","spotify:artist:3A7sZMxNjhJWX7apY1UpQO","Dreamshade","spotify:album:01w0VEUs5DlfDXawvEnKIQ","The Gift Of Life","spotify:artist:3A7sZMxNjhJWX7apY1UpQO","Dreamshade","2013","https://i.scdn.co/image/ab67616d0000b27362358cc6cbcacc8b28af5609","1","1","241146","https://p.scdn.co/mp3-preview/9f2dc0bcd1be55f4e9f5611a708449c279881a6d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T02:17:28Z"
"spotify:track:4Lymo16CaHcMGBWwHicHwS","Know That","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO, spotify:artist:0lEssBAxQl2In4RpaB1C2Y","Mos Def, Talib Kweli","spotify:album:4jZI8SruF5N6sKJoWItEhl","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b2735e30279afb856f32702b796c","1","11","243506","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T02:26:50Z"
"spotify:track:4pVGf7BJe4i2qbPsrtbmga","Lay Lady Lay","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:6pK142b1OANbpbyJ6XIuvo","Filth Pig","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1996-01-26","https://i.scdn.co/image/ab67616d0000b273ad44567084d3f95921886dad","1","9","344600","https://p.scdn.co/mp3-preview/cd1328ab65bd588a8c1c0b3be62b538a88e46fa8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T02:30:59Z"
"spotify:track:5Z01UMMf7V1o0MzF86s6WJ","Lose Yourself - From ""8 Mile"" Soundtrack","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:5qENHeCSlwWpEzb25peRmQ","Curtain Call: The Hits (Deluxe Edition)","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2005-12-06","https://i.scdn.co/image/ab67616d0000b273eab40fc794b88b9d1e012578","1","6","326466","https://p.scdn.co/mp3-preview/1f611118a3727bafeb6c526768c7976b4612ba17?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-26T02:34:05Z"
