"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5LyRtsQLhcXmy50VXhQXXS","Holy Wars...The Punishment Due - Remastered 2004","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:0qaLL09EtF1hiUis7PRvaJ","Rust In Peace","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1990-10-04","https://i.scdn.co/image/ab67616d0000b273be9fa5a89479b6af481938a0","1","1","392600","https://p.scdn.co/mp3-preview/cb82a269db130e62c6066fac7454aa70db202c75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-07T23:14:06Z"
"spotify:track:234Q0vXyxCt0rgVviVKCkk","Canto 34","spotify:artist:5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","spotify:album:6GlsmhwCxNCEmW8v2YVPRN","War Is The Answer","spotify:artist:5t28BP42x2axFnqOOMg3CM","Five Finger Death Punch","2009-01-01","https://i.scdn.co/image/ab67616d0000b273d43c7fb05ae66b6cde2081d8","1","11","249533","","true","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-08T04:14:42Z"
"spotify:track:4jV7TPCxNDcR6ILr4DgG9J","The Hunt","spotify:artist:6JW8wliOEwaDZ231ZY7cf4","Sepultura","spotify:album:5r4qa5AIQUVypFRXQzjaiu","Chaos A.D.","spotify:artist:6JW8wliOEwaDZ231ZY7cf4","Sepultura","1993-09-02","https://i.scdn.co/image/ab67616d0000b2739c0b2d74cfb910735ca55317","1","11","239253","https://p.scdn.co/mp3-preview/5baee920272120e48626d429d63707a090fb4c0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-26T03:01:22Z"
"spotify:track:6qlNXctTMFO2cYc0NAaIsT","The Day I Tried To Live","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4AvI4sIYIYE1fIbLLGN7tb","Superunknown","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b273d41e34cde82369bf19e845cc","1","10","319466","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-07T23:14:24Z"
"spotify:track:0hMBd2CyUeXOdy628LiN0U","Groundhog's Day","spotify:artist:64mPnRMMeudAet0E62ypkx","Primus","spotify:album:5SMuv5r0eaFDAZ5cAZIAuR","Frizzle Fry (Remastered)","spotify:artist:64mPnRMMeudAet0E62ypkx","Primus","1990-02-07","https://i.scdn.co/image/ab67616d0000b27370dbc448df7d1b5e01509737","1","2","298466","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-07T23:14:43Z"
"spotify:track:5qp4uB6muUB0qdrb4zpuf4","Orion (Instrumental)","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","spotify:album:41bTjcSaiEe4G40RVVHbux","Master Of Puppets","spotify:artist:2ye2Wgw4gimLv2eAKyk1NB","Metallica","1986-03-03","https://i.scdn.co/image/ab67616d0000b2736976009675621c80cafa1ff5","1","7","508000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-01-11T03:26:43Z"
"spotify:track:2x90KgJooOCuHD8Llz2WS9","My Last Words - Remastered","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:4PqSk2iBHnsYQK0ecXjS9k","Peace Sells...But Who's Buying (25th Anniversary)","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1986","https://i.scdn.co/image/ab67616d0000b2730f783e735d0f43f071109a90","1","8","289000","https://p.scdn.co/mp3-preview/8a4cd1e48e510e28d029ce62864ce4bab851a152?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-26T03:50:31Z"
"spotify:track:53xk9ypCDNfIMtuhsLwUpK","Hallowed Be Thy Name","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:0QXyw5GWqDZe3nSWrM6d4z","The Number of the Beast","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1982","https://i.scdn.co/image/ab67616d0000b27396779a5f90f12af486a81e20","1","9","432506","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-07T23:20:53Z"
"spotify:local:Tool:Aenima:Intermission:56","Intermission","","Tool","","Aenima","","","","","0","0","56000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-12-07T23:20:00Z"
"spotify:track:2o59LBrVRjrHXYDIzIRw3z","Intermission","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","spotify:album:5xEbb1FOjigCZixCmgMVCq","Time Will Fuse It's Worth","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","2006-10-31","https://i.scdn.co/image/ab67616d0000b2732f6cc8ccb5135c4633bd4426","1","6","121320","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-11-30T23:43:11Z"
