"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:16VmHob3qAuER46XT8bvI4","YYZ","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:55YlfsaFPB5HTlhxY114CI","Moving Pictures (2011 Remaster)","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1981-02-12","https://i.scdn.co/image/ab67616d0000b2733f232e97687307a795152dbe","1","3","265840","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T02:30:21Z"
"spotify:track:5vfoqFiW6wXwhwa7r523Iq","Long Distance Runaround - 2003 Remaster","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","spotify:album:0dZF93WHyOhTWjz5EWM7yG","Fragile (Deluxe Edition)","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","1971-11-26","https://i.scdn.co/image/ab67616d0000b27397f9466138456632edb5c00e","1","6","210266","https://p.scdn.co/mp3-preview/418c3f79691152e3d5fb36c815680fbce6e3f0c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T04:07:15Z"
"spotify:track:1AQKj0HcVtxbAzyh7wA3Ag","Vanishing Point And Whistle","spotify:artist:0rpKM0MniNkXM1SLSglYUZ","toe","spotify:album:2P4kWt7foLnoHC2PP72KQX","For Long Tomorrow","spotify:artist:0rpKM0MniNkXM1SLSglYUZ","toe","2009-12-09","https://i.scdn.co/image/ab67616d0000b27306300638104a02ba84ba6dc4","1","2","159800","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T02:29:07Z"
"spotify:track:66jqB3geOwLt0Zu1nVIbJF","Odyssey","spotify:artist:16Uqo1jjtPiKI4zU1Ficgb","Scale The Summit","spotify:album:2cu7p8RVaS0yFaqoLOUMJd","The Migration","spotify:artist:16Uqo1jjtPiKI4zU1Ficgb","Scale The Summit","2013-06-11","https://i.scdn.co/image/ab67616d0000b27397082c66265cf9722500ca4e","1","1","312506","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T02:30:37Z"
"spotify:track:7CeF4VXPoaUbNB3NNHIXfM","Scene Two: I. Overture 1928","spotify:artist:2aaLAng2L2aWD2FClzwiep","Dream Theater","spotify:album:1QZi8laY96nhaeGSklvN4D","Metropolis, Pt. 2: Scenes from a Memory","spotify:artist:2aaLAng2L2aWD2FClzwiep","Dream Theater","1999-01-01","https://i.scdn.co/image/ab67616d0000b273dbb83b10ff18df1213b76ac5","1","2","217840","https://p.scdn.co/mp3-preview/62a615807c4a7ef8d0a383a21265b144b0e29315?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T04:05:46Z"
"spotify:track:6kQe8MBvSdX8AD1UsjRv7w","Scene Two: II. Strange Déjà Vu","spotify:artist:2aaLAng2L2aWD2FClzwiep","Dream Theater","spotify:album:1QZi8laY96nhaeGSklvN4D","Metropolis, Pt. 2: Scenes from a Memory","spotify:artist:2aaLAng2L2aWD2FClzwiep","Dream Theater","1999-01-01","https://i.scdn.co/image/ab67616d0000b273dbb83b10ff18df1213b76ac5","1","3","312360","https://p.scdn.co/mp3-preview/81181a6b35b17a4e0ad8995dd282bb779c9344af?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T23:12:19Z"
"spotify:track:7n2K9HW8OhwFpWEdzeYu79","Quintessence","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:2W2nqEKXWBorbq5yvm3jZg","Crack the Skye","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2009","https://i.scdn.co/image/ab67616d0000b273ac79283ccb6d08af31fd33d8","1","3","327480","https://p.scdn.co/mp3-preview/6d1da2411e99aa78a4e528b4a63da515caf75f8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T02:29:52Z"
"spotify:track:0YHW2YOr5M2r67z3pdAqVY","Bathyalpelagic Ii: The Wish in Dreams (Instrumental Version)","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","spotify:album:6R9cHdJ7hljxDDYq2tUCdO","Pelagial","spotify:artist:6fuALtryzj4cq7vkglKLxq","The Ocean","2013-04-30","https://i.scdn.co/image/ab67616d0000b273dfa0bfe98aafc414ba96a96b","2","4","198066","https://p.scdn.co/mp3-preview/04af2da2ce445951a693099a58b191b18b4b41ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T02:34:13Z"
"spotify:track:19Mxj3BDmhm5NEPbKseQA9","Scorpion Bowls At The Hong Kong","spotify:artist:5wGMwXlBLMpuJzRpPxNFjq","Giraffes? Giraffes!","spotify:album:188LIjDVCKTNxdtVNLucc5","Pink Magick","spotify:artist:5wGMwXlBLMpuJzRpPxNFjq","Giraffes? Giraffes!","2011-09-21","https://i.scdn.co/image/ab67616d0000b273eda9be35ff50043622b91a89","1","2","348293","https://p.scdn.co/mp3-preview/2abc63886fc49658ac3fe64526a1faa17d374801?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T21:19:50Z"
"spotify:track:4eSGUV3fX4AHQnQLfdf4ep","Vessel","spotify:artist:7nCgNmfYJcsVy3vOOzExYS","The Contortionist","spotify:album:2dZCgrDrOotvOz6zQrMce3","Exoplanet","spotify:artist:7nCgNmfYJcsVy3vOOzExYS","The Contortionist","2010-08-31","https://i.scdn.co/image/ab67616d0000b273220c74c71a355abe69a251f4","1","6","297200","https://p.scdn.co/mp3-preview/b821c9b551ae49a107b8b548b009299d8e1899bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-07-01T04:14:18Z"
