"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2xTft6GEZeTyWNpdX94rkf","All Eyez On Me","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","spotify:album:4CzT5ueFBRpbILw34HQYxi","All Eyez On Me","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","1996-02-13","https://i.scdn.co/image/ab67616d0000b273a786ad0992cfe0b2719729bf","2","10","307773","","true","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:43:53Z"
"spotify:track:6yr74FL3quKIfcSwTn4ODc","Money Over Bullshit","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","spotify:album:3VjTJ0iyyfk7P7b9iBv6CF","Hip Hop Is Dead (Bonus Track)","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","2006-12-19","https://i.scdn.co/image/ab67616d0000b273ed9eee4552dc928a2438d99f","1","1","256079","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:44:08Z"
"spotify:track:19JUKimeLAspEwJ2SvH7Jk","Boom","spotify:artist:6DVipHzYsPlIoA0DW8Gmns","Royce Da 5'9""","spotify:album:3U1UMHqTYQLRql3qWQAUEc","Rock City","spotify:artist:6DVipHzYsPlIoA0DW8Gmns","Royce Da 5'9""","2002-11-26","https://i.scdn.co/image/ab67616d0000b27362b8580ed9ae079bac973d74","1","11","236413","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:43:59Z"
"spotify:track:5eGEc27nnhtmcOh6RC890a","Kill You","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2000-05-23","https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42","1","2","264400","https://p.scdn.co/mp3-preview/cb720ac03454eb1193046722497dacffa0fed0d8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:44:22Z"
"spotify:track:758mQT4zzlvBhy9PvNePwC","Butter","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","4","218773","https://p.scdn.co/mp3-preview/9b7344f0064e93091b02685ad17e8dab87880c8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:44:40Z"
"spotify:track:2Wqu7C588FVVSYRgSvwkjJ","Ill Mind of Hopsin 5","spotify:artist:7EWU4FhUJM1sZQgQKdENeT","Hopsin","spotify:album:4JUrY5OmIY6NEdi3OdPSCp","Ill Mind of Hopsin 5","spotify:artist:7EWU4FhUJM1sZQgQKdENeT","Hopsin","2010-05-05","https://i.scdn.co/image/ab67616d0000b273bc073a5cf12a056c0a8f098f","1","1","306495","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:45:15Z"
"spotify:track:1TVdsmnux0ppKPXDyNvgIf","The Message (feat. Melle Mel & Duke Bootee) - 12"" Single Version","spotify:artist:1teSGKe5F5NYYeuxtL65GQ, spotify:artist:4DW1Qbu1D3gD9lQEjHurAk, spotify:artist:0AWhixY9hX7LEPyPMjh4O0","Grandmaster Flash & The Furious Five feat. Melle Mel & Duke Bootee, Duke Bootee, Grandmaster Melle Mel","spotify:album:6IuyeOHi3OeL5Edr0ObKr0","Message From Beat Street, The Best Of Grandmaster Flash, Melle Mel & The Furious Five","spotify:artist:186u5QmZUtdPZBvXr7vT9z","Grandmaster Flash\, Melle Mel & The Furious Five","2005-03-22","https://i.scdn.co/image/ab67616d0000b273525defbb92c251c359b4cfed","1","6","420733","https://p.scdn.co/mp3-preview/3ba5cb7127948ea0d796a232a5bfd4d37708f7d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:45:23Z"
"spotify:track:2c5Isyd07hWsl7AQia2Dig","Fast Lane","spotify:artist:77IURH5NC56Jn09QHi76is","Bad Meets Evil","spotify:album:5abCMGtyHwpOr9cEbwfP1P","Hell: The Sequel (Deluxe)","spotify:artist:77IURH5NC56Jn09QHi76is","Bad Meets Evil","2011-01-01","https://i.scdn.co/image/ab67616d0000b27359a1132f3cab22f80b2d2777","1","2","249560","https://p.scdn.co/mp3-preview/65534ec20092bc8682b25a60b5581c50056547d8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:45:41Z"
"spotify:track:5egB1PIEpeYV3NEOsE6gsW","Looking Down The Barrel Of A Gun","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","spotify:album:4DfmPm17Nz6a60BlEpGGKU","Paul's Boutique","spotify:artist:03r4iKL2g2442PT9n2UKsx","Beastie Boys","1989-07-25","https://i.scdn.co/image/ab67616d0000b273bfd49e490880892a59c866a2","1","10","208200","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:46:02Z"
"spotify:track:18ohWhzbMCynq5QJ68ifkW","Criminal","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:6t7956yu5zYf5A829XRiHC","The Marshall Mathers LP","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2000-05-23","https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42","1","18","319600","https://p.scdn.co/mp3-preview/c8e9526c01a38bcda9a24f784dd21fc139934138?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:50:03Z"
"spotify:track:4errw8r45vg260xFxRc9zb","Hip Hop Is Dead","spotify:artist:20qISvAhX20dpIbOOzGK3q, spotify:artist:085pc2PYOi8bGKj0PNjekA","Nas, will.i.am","spotify:album:3VjTJ0iyyfk7P7b9iBv6CF","Hip Hop Is Dead (Bonus Track)","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","2006-12-19","https://i.scdn.co/image/ab67616d0000b273ed9eee4552dc928a2438d99f","1","5","225560","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-09-22T02:50:18Z"
