"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4aaOMEjiZP6sgSUoUYyar8","Autonomy Lost","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:7nwiqJBpMfvX7SNua996Jf","Catch ThirtyThree","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2006-08-15","https://i.scdn.co/image/ab67616d0000b273e4775b5fb3f8950c39066708","1","1","100706","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-27T23:43:00Z"
"spotify:track:5RsmNbGRMwaxTokIIwdB6C","Imprint Of The Un-Saved","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:7nwiqJBpMfvX7SNua996Jf","Catch ThirtyThree","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2006-08-15","https://i.scdn.co/image/ab67616d0000b273e4775b5fb3f8950c39066708","1","2","96000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-27T23:43:00Z"
"spotify:track:2BI7uEwneuXgPHdcD6HJei","Disenchantment","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:7nwiqJBpMfvX7SNua996Jf","Catch ThirtyThree","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2006-08-15","https://i.scdn.co/image/ab67616d0000b273e4775b5fb3f8950c39066708","1","3","104040","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-27T23:43:00Z"
"spotify:track:1K1JnMJJRlywjuS4k7tZHx","The Paradoxical Spiral","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:7nwiqJBpMfvX7SNua996Jf","Catch ThirtyThree","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2006-08-15","https://i.scdn.co/image/ab67616d0000b273e4775b5fb3f8950c39066708","1","4","191906","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-27T23:43:00Z"
"spotify:track:2lYBLzyDZdSPgtc6yo8Qkl","Perpetual black second","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3cyYZ8QYlEUDWsDUaLW7A6","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002","https://i.scdn.co/image/ab67616d0000b2731b77d0270d08f9d250a6f338","1","3","278986","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-27T23:43:09Z"
"spotify:track:6HMDHsyRfSWBbf0XdZCzny","The Walk - Instrumental","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:3CPtyTCOEirDSos5WzEQBt","Periphery [Instrumental]","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2010-04-27","https://i.scdn.co/image/ab67616d0000b27327d14357d8d8aabc45e7050a","1","2","305920","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-27T23:44:54Z"
"spotify:track:3kmX1Ok6CoYL9PrIWXwyRB","Thoroughly at Home","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","spotify:album:1BRtQtljRJIxroJXI20K39","Animals as Leaders","spotify:artist:65C6Unk7nhg2aCnVuAPMo8","Animals As Leaders","2009-04-28","https://i.scdn.co/image/ab67616d0000b27393bb9d619c92bcd6ba242c39","1","3","242066","https://p.scdn.co/mp3-preview/e532c4e22aeff13a72a788fe2a3a3610556a51fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-27T23:43:30Z"
"spotify:track:7ujJcMNbfQXMBNqvn86Zgt","Symphony No. 40 in G Minor, K. 550: Allegro molto","spotify:artist:3PfJE6ebCbCHeuqO4BfNeA","London Philharmonic Orchestra","spotify:album:1bhZh7P0jG64KeVLhFmtxM","The 99 Most Essential Allegros","spotify:artist:2wOqMjp9TyABvtHdOSOTUS","Ludwig van Beethoven","2010-08-26","https://i.scdn.co/image/ab67616d0000b273305cb5923a53ced5a7462d14","1","52","422413","https://p.scdn.co/mp3-preview/dffbacc7db92585b8d9685cae2c6b57b96fc12c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-29T00:46:03Z"
"spotify:track:7uLFrjDLO6q60ktiEltiw7","Re-Inanimate","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:7nwiqJBpMfvX7SNua996Jf","Catch ThirtyThree","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2006-08-15","https://i.scdn.co/image/ab67616d0000b273e4775b5fb3f8950c39066708","1","5","64053","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-27T23:43:00Z"
"spotify:track:3FimjbcxAoFRdDvQksK4H3","Entrapment","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:7nwiqJBpMfvX7SNua996Jf","Catch ThirtyThree","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2006-08-15","https://i.scdn.co/image/ab67616d0000b273e4775b5fb3f8950c39066708","1","6","148946","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-27T23:43:00Z"
