"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6uz7GAZQjM4ULENl6H5MMc","My Heart Bleeds No Longer","spotify:artist:44wJRGNtWywCUJZug8FJg3","Unearth","spotify:album:58CQvmqaLPNLyY46lpdMKM","Stings of Conscience","spotify:artist:44wJRGNtWywCUJZug8FJg3","Unearth","2001","https://i.scdn.co/image/ab67616d0000b273bfa0090c3f38071f23cfae68","1","1","216000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-11T15:28:55Z"
"spotify:track:2lYBLzyDZdSPgtc6yo8Qkl","Perpetual black second","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:3cyYZ8QYlEUDWsDUaLW7A6","Nothing","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2002","https://i.scdn.co/image/ab67616d0000b2731b77d0270d08f9d250a6f338","1","3","278986","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-11T15:45:06Z"
"spotify:track:4MmZjg894aXMyeWK650Xjm","New millennium cyanide christ","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:0jPjMd67rdCndvpKggWLi0","Chaosphere","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","1998","https://i.scdn.co/image/ab67616d0000b2738c83929fccc5cd775dce589d","1","2","335666","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-11T15:45:28Z"
"spotify:track:1N7RYua9aAmm5hEUERm8l7","Power Trip","spotify:artist:0kO2SRhHlmMIeyJHfHy3c9","Chimaira","spotify:album:62yjqHlZ4HVAfMchwvYEsT","The Impossibility of Reason [Special Edition]","spotify:artist:0kO2SRhHlmMIeyJHfHy3c9","Chimaira","2003-05-05","https://i.scdn.co/image/ab67616d0000b273d91ea406268b2458ca41b596","1","4","166146","https://p.scdn.co/mp3-preview/43d9981e24b8b691b38c1ccfbd5955029a7fbb33?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-11T15:45:50Z"
"spotify:track:4yhOLVAclff5xbgGCLNQ48","ADORATION FOR NONE (feat. Randy Blythe)","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt, spotify:artist:63JN4A4IroUvAN1fyWmsHB","Gojira, Randy Blythe","spotify:album:4NDM4HzjJYI27hwvwmKj6s","The Way of all Flesh","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2008-10-13","https://i.scdn.co/image/ab67616d0000b27313b8fa330b7791a40ff039e4","1","7","379800","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-14T15:17:39Z"
"spotify:track:64Oz04VZn5uMjAafC2WUj8","TOXIC GARBAGE ISLAND","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:4NDM4HzjJYI27hwvwmKj6s","The Way of all Flesh","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2008-10-13","https://i.scdn.co/image/ab67616d0000b27313b8fa330b7791a40ff039e4","1","2","246680","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-14T15:17:49Z"
"spotify:track:2auVnKHJKuMl0UJgX4RVXr","Bellua, Pt. 2","spotify:artist:7nKz8GVqHk0bUGmBm6wm3E","Humanity's Last Breath","spotify:album:5drvSvti9NBKwy9CA582Qz","Humanity's Last Breath","spotify:artist:7nKz8GVqHk0bUGmBm6wm3E","Humanity's Last Breath","2013-09-24","https://i.scdn.co/image/ab67616d0000b273e58a0b8672f8c88ea6099cba","1","3","261429","https://p.scdn.co/mp3-preview/62b7a9818c779289996bbfccdf5041079859f041?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-16T03:03:07Z"
"spotify:track:07ZVs9pwxRNkr6sRyiIeV0","Lava","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","spotify:album:6pK142b1OANbpbyJ6XIuvo","Filth Pig","spotify:artist:1DXylZlWbVvlckNqwvjTEt","Ministry","1996-01-26","https://i.scdn.co/image/ab67616d0000b273ad44567084d3f95921886dad","1","3","390200","https://p.scdn.co/mp3-preview/1bd5590578a89480041ea034de84b95aa94faa0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-16T03:03:24Z"
"spotify:track:7kxBpmnl1Unolq22lCIrmS","Only the People","spotify:artist:44wJRGNtWywCUJZug8FJg3","Unearth","spotify:album:58CQvmqaLPNLyY46lpdMKM","Stings of Conscience","spotify:artist:44wJRGNtWywCUJZug8FJg3","Unearth","2001","https://i.scdn.co/image/ab67616d0000b273bfa0090c3f38071f23cfae68","1","4","226000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-16T03:09:31Z"
"spotify:track:0zLLdhJTWeNB8RW7Qv4lNn","I Fucking Hate You","spotify:artist:6gZq1Q6bdOxsUPUG1TaFbF","Godsmack","spotify:album:7e5kCGe1TD9Er6DIcgtNyW","Faceless","spotify:artist:6gZq1Q6bdOxsUPUG1TaFbF","Godsmack","2003-01-01","https://i.scdn.co/image/ab67616d0000b273f82b3c1a7c45630426ec3426","1","7","247040","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-16T03:10:03Z"
"spotify:track:25rsyJGsRYh0svcFXY13rl","New Pain","spotify:artist:7JDSHlDdVTo7aZKdQZ53Vf","Static-X","spotify:album:6ArsYtEDpoPxrCQXG4rHw3","Shadow Zone","spotify:artist:7JDSHlDdVTo7aZKdQZ53Vf","Static-X","2003-10-07","https://i.scdn.co/image/ab67616d0000b27351e68094dd2b709d70f1778f","1","3","177506","https://p.scdn.co/mp3-preview/f2c4ce44ee8e22f6acd4085841264e6eb18bc34d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-16T03:11:48Z"
"spotify:track:6uOzYMGucTA0MAFwS2FNB2","I'm With Stupid","spotify:artist:7JDSHlDdVTo7aZKdQZ53Vf","Static-X","spotify:album:2WRLwr5MIIXr9gAWOOQ6J5","Wisconsin Death Trip","spotify:artist:7JDSHlDdVTo7aZKdQZ53Vf","Static-X","1999-03-19","https://i.scdn.co/image/ab67616d0000b2730099efc7034c941135448e94","1","2","204626","https://p.scdn.co/mp3-preview/7f73e49c8cc2a9f7df1e3036198ca3744f6f878c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-16T03:14:41Z"
