"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:04GSBZFtzaD78vEfwAFzzW","Diablo","spotify:artist:1dF2tiTqpNNHeppi4YZy92","Breach","spotify:album:5mCraqKi2dpZzy7q4ofO0g","Venom","spotify:artist:1dF2tiTqpNNHeppi4YZy92","Breach","1999","https://i.scdn.co/image/ab67616d0000b273029196c768e36f485af1a84f","1","5","176720","https://p.scdn.co/mp3-preview/15a22e01f5af217a669bc802c7f37fb65cbbb1de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T18:46:00Z"
"spotify:track:5IJ6rniX2mkT2ITklBSx6a","Do You Wanna Get High?","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","spotify:album:6StNTJJ7Yq3Hf121kLvPBz","Weezer (White Album)","spotify:artist:3jOstUTkEu2JkjvRdBA5Gu","Weezer","2016-04-01","https://i.scdn.co/image/ab67616d0000b273962ce52e166e5e1dd7c2f4a3","1","5","207760","https://p.scdn.co/mp3-preview/debdb702ef73e8081fd63c0c75ce4bae5c21af73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T17:49:32Z"
"spotify:track:2LlvrdnLa3XbB1b4jYuCnl","R U Mine?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:5bU1XKYxHhEwukllT20xtk","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734f669de38690faf2cf88c245","1","2","201726","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T17:49:32Z"
"spotify:track:7HhawuOJ17618C4VJfJn2K","Live in the Dark","spotify:artist:0AD4odMWVQ2wUSlgxOB5Rl","Jeff Beck","spotify:album:5yeu7Y0CIjDrG0AIWzLUhc","Live in the Dark","spotify:artist:0AD4odMWVQ2wUSlgxOB5Rl","Jeff Beck","2016-06-09","https://i.scdn.co/image/ab67616d0000b2734f76aa6994e2ec6ff961291c","1","1","227320","https://p.scdn.co/mp3-preview/5ac91865f55eb6238b6e27c48f4dae3e64c2591b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T17:49:32Z"
"spotify:track:1JPCnWqXrHSkBGg4dCzGe6","Tied Up","spotify:artist:356c8AN5YWKvz86B4Sb1yf","Rival Sons","spotify:album:0Zl8yKNMQeiHaFqVTiSIrP","Tied Up","spotify:artist:356c8AN5YWKvz86B4Sb1yf","Rival Sons","2016-05-20","https://i.scdn.co/image/ab67616d0000b2733491de7c2e8da3bafd5c5df7","1","1","207360","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T17:49:32Z"
"spotify:track:6t0T2mj9AlCGNToSLcEbNl","In Time To Voices","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","spotify:album:2knShezW5FBrn3B7AtMbA6","In Time To Voices","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","2012-03-26","https://i.scdn.co/image/ab67616d0000b27359baa04bdedc466901dfd938","1","1","224253","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-16T16:15:25Z"
"spotify:track:5MHOQFE1DABlcbl0ptGEPm","Lost Kids","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","spotify:album:2knShezW5FBrn3B7AtMbA6","In Time To Voices","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","2012-03-26","https://i.scdn.co/image/ab67616d0000b27359baa04bdedc466901dfd938","1","2","224440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T17:49:32Z"
"spotify:track:166RCZDtF5XoPPJunoGN63","The Silence And The Drones","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","spotify:album:2knShezW5FBrn3B7AtMbA6","In Time To Voices","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","2012-03-26","https://i.scdn.co/image/ab67616d0000b27359baa04bdedc466901dfd938","1","5","270280","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T17:49:32Z"
"spotify:track:3KZVWVH4epY2JGaqRs8bqg","Backwater","spotify:artist:2h9yQhKyqOMex3QFMVeq7F","Meat Puppets","spotify:album:33NHMtzngLZw6GBB1nNpVJ","Too High To Die","spotify:artist:2h9yQhKyqOMex3QFMVeq7F","Meat Puppets","1994-01-25","https://i.scdn.co/image/ab67616d0000b273afa128b945776e7ae4c4264c","1","9","220533","https://p.scdn.co/mp3-preview/07389e17111ea2d09f42fff7f45baed122f5ec29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-15T17:49:39Z"
"spotify:track:0aZzGVOl80KwInSTrdXDAo","Je Me Perds","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","spotify:album:3BJj987fncoj9rkZhM2Mk2","In Time to Voices","spotify:artist:3r6Sk3pYxdJk7MekhBGgMR","Blood Red Shoes","2013-09-05","https://i.scdn.co/image/ab67616d0000b2734804985638c60f1f5bf1a723","1","7","88040","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-16T22:25:46Z"
