"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3UN6UkL6M0l8vfZS7OffZ6","Lie, Cheat, Steal","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:2lPYlP4eumsjz6LBG8GCbG","Run the Jewels 2","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2014-10-24","https://i.scdn.co/image/ab67616d0000b27358fd7121f556c9c7476d99cf","1","6","208466","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:02:46Z"
"spotify:track:1rU7n8ZVGbIprbunBky72s","Get It","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:0hVXUOlozgihW44G4Il0Gu","Run the Jewels","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2014-09-16","https://i.scdn.co/image/ab67616d0000b273dd51327be67c3bacb88fb543","1","8","179999","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:00:44Z"
"spotify:track:6950ik0V6HCWgnLIFKe8FX","Blood Like Cream","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:2CtG0KacG7ZYR6PL5dD1jA","Whales and Leeches (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2013-10-15","https://i.scdn.co/image/ab67616d0000b2739122d59f5e5946c957d60086","1","2","213293","https://p.scdn.co/mp3-preview/de53004dd5f08d4335e289464cf73644053d7e43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:02:05Z"
"spotify:track:49aRhw57RBNoj4uK3WbJLm","I Stand Alone - From ""The Scorpion King"" Soundtrack","spotify:artist:6gZq1Q6bdOxsUPUG1TaFbF","Godsmack","spotify:album:2oJTYN8xPlbz6qURAPTzBa","Good Times, Bad Times - Ten Years of Godsmack","spotify:artist:6gZq1Q6bdOxsUPUG1TaFbF","Godsmack","2007-01-01","https://i.scdn.co/image/ab67616d0000b2735b698f8846c63513c565a68f","1","8","243840","https://p.scdn.co/mp3-preview/a4d1f6b1007624ef95ced2348d8a70a5eeeb3171?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:00:57Z"
"spotify:track:3bidbhpOYeV4knp8AIu8Xn","Can't Hold Us - feat. Ray Dalton","spotify:artist:5BcAKTbp20cv7tC5VqPFoC","Macklemore & Ryan Lewis","spotify:album:76FXHQhTuT4QMIxfL09gX8","The Heist","spotify:artist:5BcAKTbp20cv7tC5VqPFoC","Macklemore & Ryan Lewis","2012-10-09","https://i.scdn.co/image/ab67616d0000b27398a02fef3a8b1d80a0f164ec","1","2","258342","https://p.scdn.co/mp3-preview/1f826380a449ec9a8bae45967d908fffd7ff5222?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:00:44Z"
"spotify:track:72yHa0Zcman8jBILFZHnpG","Alright","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:6w7lqIsvDPgTChMrPw5oIL","To Pimp A Butterfly","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2015-03-16","https://i.scdn.co/image/ab67616d0000b273c54f244336fd6e0e1518fe77","1","7","219333","https://p.scdn.co/mp3-preview/025b70b1f07a6a702ff1fa4970b7c8bada95228e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:00:44Z"
"spotify:track:7ISL3LO8AWP3fKIXunvqTa","Joker And The Thief","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","spotify:album:5ywynDHLHT3l8QSu41TcmC","Wolfmother","spotify:artist:3yEnArbNHyTCwMRvD9SBy4","Wolfmother","2006-01-01","https://i.scdn.co/image/ab67616d0000b27304422c5d997bfa6c750a12f1","1","6","280466","https://p.scdn.co/mp3-preview/b47ebb3dc946f03c445e7a554ba15c11fd477bee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:06:08Z"
"spotify:track:6PyawKQl2tQGqmitbvB4ov","Control It","spotify:artist:7JDSHlDdVTo7aZKdQZ53Vf","Static-X","spotify:album:6ArsYtEDpoPxrCQXG4rHw3","Shadow Zone","spotify:artist:7JDSHlDdVTo7aZKdQZ53Vf","Static-X","2003-10-07","https://i.scdn.co/image/ab67616d0000b27351e68094dd2b709d70f1778f","1","2","185093","https://p.scdn.co/mp3-preview/0b0fdf726b820bf2a3b6b4c4a03b9046fe8b8050?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:15:41Z"
"spotify:track:3jagGO7eHHuaD53ibehkux","Blood and Thunder","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:6khFoLWnJZDQvZ7Pijym3b","Leviathan","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2004-08-31","https://i.scdn.co/image/ab67616d0000b27300388d66c87c2c0033849bfd","1","1","228586","https://p.scdn.co/mp3-preview/214f41a401c263439f5e715b2875940fef45f7b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:09:04Z"
"spotify:track:6TubvpDV05llddNR8d2JNP","Silvera","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:2XNTiesU16xyjXoCEYrfzX","Silvera","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2016-05-20","https://i.scdn.co/image/ab67616d0000b273b3672c73fab95e30f8b1e41d","1","1","212653","https://p.scdn.co/mp3-preview/d5912ac450f00cda7494fd3e8dc8edaa282c4bff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:17:44Z"
"spotify:track:2Lo2BWhhlZSJds2yBhxoet","Worldwide Choppers","spotify:artist:6UBA15slIuadJ8h2lPRPos","Tech N9ne","spotify:album:0ytQrBinlg9hb4uoaEmk37","All 6's And 7's","spotify:artist:6UBA15slIuadJ8h2lPRPos","Tech N9ne","2011-06-07","https://i.scdn.co/image/ab67616d0000b2736a0b17b302637c4094433f09","1","6","326426","https://p.scdn.co/mp3-preview/ae27fb79fe81c7af88d50732f7cea6d805e08c3d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:21:51Z"
"spotify:track:4gQdwwPXSXnDkUh4jYqLoC","Hip Hop","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","spotify:album:5gK2l2LgWY0BA4p9uy27z6","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b27389b56f56323925d57b38944d","1","2","196440","https://p.scdn.co/mp3-preview/f5b5c3469e95efc18eb80abb67896970a72d3cf1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:07:13Z"
"spotify:track:3EKjTDAEIdyQqsA9qtb5P2","Boom - 2006 Remaster","spotify:artist:6KO6G41BBLTDNYOLefWTMU","P.O.D.","spotify:album:1i3YXOzNkaykTt6CxWGOOU","Greatest Hits (The Atlantic Years)","spotify:artist:6KO6G41BBLTDNYOLefWTMU","P.O.D.","2006-10-27","https://i.scdn.co/image/ab67616d0000b273e01ea2023dc5e7316a44267f","1","2","187240","https://p.scdn.co/mp3-preview/3885312a84ff7972fb3a53bfed3f899f5f6f00fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:30:57Z"
"spotify:track:1dizvxctg9dHEyaYTFufVi","Gz And Hustlas (feat. Nancy Fletcher)","spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:3E2vuvr0IQbReTbXw2MhX8","Snoop Dogg, Nancy Fletcher","spotify:album:7f9KDGqY7X2VLBM5aA66KM","Doggystyle","spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Snoop Dogg","1993","https://i.scdn.co/image/ab67616d0000b273e50059a623feb4eec8dcd668","1","12","275893","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:20:01Z"
"spotify:track:4LwU4Vp6od3Sb08CsP99GC","The Next Episode","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7, spotify:artist:7hJcb9fa4alzcOq3EaNPoG","Dr. Dre, Snoop Dogg","spotify:album:7q2B4M5EiBkqrlsNW8lB7N","2001","spotify:artist:6DPYiyq5kWVQS4RGwxzPC7","Dr. Dre","1999-11-16","https://i.scdn.co/image/ab67616d0000b2739b19c107109de740bad72df5","1","11","161506","https://p.scdn.co/mp3-preview/d6c438d66a1ed4d843aa3d3558acb9f77bc90360?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-26T06:30:22Z"
