"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0bUK6SAVxcQLfoTZQdZLYA","Nocturnes, Op. Posth. 72: No. 1 in E Minor: Andante","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:7pMqOfviPc3YVZfdPzu0tU","Frédéric Chopin, Adam Harasiewicz","spotify:album:35ZnHlkhn4CZzUxyUQyJ00","Chopin Nocturnes","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Frédéric Chopin, Various Artists","2015-03-07","https://i.scdn.co/image/ab67616d0000b273d4ec83bee70c8892aa965b20","1","19","264000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T07:23:16Z"
"spotify:track:5rpRzNcJZqKQXk9PIjreB6","Hurt","spotify:artist:6kACVPfCOnqzgfEF5ryl0x","Johnny Cash","spotify:album:5xeMctXQWNmMq4aAjwuR3e","Unearthed","spotify:artist:6kACVPfCOnqzgfEF5ryl0x","Johnny Cash","2003-01-01","https://i.scdn.co/image/ab67616d0000b273b905a2b99e3510c2fd7d07c2","5","15","216533","https://p.scdn.co/mp3-preview/5cf7e7fc6dd585773009fc59b43915751acb6c5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T07:17:11Z"
"spotify:track:7rGdHfrxaHWIpH6UjlvWZN","Please Remember","spotify:artist:4XpPveeg7RuYS3CgLo75t9","Deafheaven","spotify:album:6zEacAdWHLaclKB2C39mag","Sunbather","spotify:artist:4XpPveeg7RuYS3CgLo75t9","Deafheaven","2013-05-28","https://i.scdn.co/image/ab67616d0000b2730f1fa3db71b150880ba09479","1","4","386173","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T07:20:31Z"
"spotify:track:18E5L22pwE46DI6yhSVTm4","Desolation","spotify:artist:3oNmH9yu12kRaTDdOtBfbw","Amoeba","spotify:album:0aODrxJCgCKmmwYZSyld4O","Watchful","spotify:artist:3oNmH9yu12kRaTDdOtBfbw","Amoeba","1997","https://i.scdn.co/image/ab67616d0000b273c2a703f4f965b9701f467253","1","7","279946","https://p.scdn.co/mp3-preview/a03aec96c4587cc92a139bd0d94926f95a519eda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T22:44:31Z"
"spotify:track:69Kzq3FMkDwiSFBQzRckFD","This Night Has Opened My Eyes - 2011 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:1j57Q5ntVi7crpibb0h4sv","Hatful of Hollow","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","1984","https://i.scdn.co/image/ab67616d0000b273786b44c75ebf915866523f5b","1","10","221533","https://p.scdn.co/mp3-preview/5abf82351ef48eb8ce0c7e1e2f0bf60f30f291b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T07:19:32Z"
"spotify:track:3D9CpIjuLUCFbEN028jspF","Sweet Virginia","spotify:artist:4zPGlyitRvJo7iz6OKlETa","Gomez","spotify:album:7JVet18vG279sDbxA0txpc","Split The Difference","spotify:artist:4zPGlyitRvJo7iz6OKlETa","Gomez","2004-01-01","https://i.scdn.co/image/ab67616d0000b273aaec160c891aa729c75123f1","1","6","366866","https://p.scdn.co/mp3-preview/a71a737cb95b0b49ad8baaaaf21ed8ee5f7c5d48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T07:25:00Z"
"spotify:track:2YCWxtaESdEtXfyYKWFyFg","Remember","spotify:artist:1kZmenSJYI5dWJuvlzYVba","Mike Johnson","spotify:album:7wo9uJiu6PUC6MOWy7FDnV","What Would You Do","spotify:artist:1kZmenSJYI5dWJuvlzYVba","Mike Johnson","2002-08-20","https://i.scdn.co/image/ab67616d0000b273206a555725cc59064e1455ab","1","3","293213","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T07:31:46Z"
"spotify:track:3b7wNR330iKhql9dEdbNci","Changes - 2013 Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:3zNcigR9hAceoTJphnxg6f","Vol. 4 (2014 Remaster)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1972-09-25","https://i.scdn.co/image/ab67616d0000b27336ecc104d9cf43bc75ef6d3d","1","3","282497","https://p.scdn.co/mp3-preview/3169f045b574b1e0b4f732c302f8ecafd15a1206?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T07:36:59Z"
"spotify:track:0R8P9KfGJCDULmlEoBagcO","Trouble","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0","1","6","273426","https://p.scdn.co/mp3-preview/e3e5efe3ab45cf26878b6d4a520efda99cb362a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T07:39:53Z"
"spotify:track:0eIKH1furkcrct8eSGsVIQ","Nocturne No. 21 in C Minor, P. 2/8: Andante sostenuto","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:7pMqOfviPc3YVZfdPzu0tU","Frédéric Chopin, Adam Harasiewicz","spotify:album:35ZnHlkhn4CZzUxyUQyJ00","Chopin Nocturnes","spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Frédéric Chopin, Various Artists","2015-03-07","https://i.scdn.co/image/ab67616d0000b273d4ec83bee70c8892aa965b20","1","21","178000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T07:42:30Z"
