"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:06Dw1I7Zc20StI8riCsNxY","Revolutionary Intro","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","1","11933","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
"spotify:track:5KUiLOgwUB2Y8dzTBv8j7R","Point of No Return","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","2","241826","https://p.scdn.co/mp3-preview/54dc3b99e38ec0c3b7f964c4ffad2dced0b0efb5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
"spotify:track:3nktGs7MeEKAq2f7YSpENs","Peruvian Cocaine","spotify:artist:7h8ja4JSORo2sXJPmCXRxa, spotify:artist:5Pm1ivc6SEmNCl6Z8oXVGi, spotify:artist:6DlRKPBLhSYo0KbxVPljBk, spotify:artist:15GygzQHeg7bjfowjyLvyH, spotify:artist:1l4hfWLBSaYjCO8E0lzASA, spotify:artist:54rUhWtGTfR3GMKNyGXyRW, spotify:artist:6tJRz44hifa2rNseM7RoTt","Immortal Technique, Poison Pen, Pumpkinhead, Diabolic, C-Rayz Walz, Loucipher, Tonedeff","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","3","288666","https://p.scdn.co/mp3-preview/e47a4901d135d96e9628cb8f40eeb62515a632bd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
"spotify:track:34LBJLixYcHwdUr3bntzWx","Harlem Streets","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","4","232040","https://p.scdn.co/mp3-preview/5d96189194f364f0ba8215c4677e3ef22c2d6a9c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
"spotify:track:4GfhaqyXVJVRvwfC4NKlHB","Obnoxious","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","5","289426","https://p.scdn.co/mp3-preview/a8b1b8fa9eafe23b33edf6e4f7bd8d6e950f7cd6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
"spotify:track:61vKkWNwNb59xavrBIoNjl","The Message & the Money","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","6","235200","https://p.scdn.co/mp3-preview/76ba19a056719bc759f4102e0b0c7d782d759620?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
"spotify:track:7AFH5sXGvpJxqDQ3lr6qu1","Industrial Revolution","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","7","218733","https://p.scdn.co/mp3-preview/0480f74c93ca6af0ed9b1360d13e246607db3499?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
"spotify:track:7C8HB7DhHmpzwU8YRpvzhO","Crossing the Boundary","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","8","287133","https://p.scdn.co/mp3-preview/09cc9213c036cae7d19b2ecb1a35374c2de04515?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
"spotify:track:34UgCQdXIN7COcHJF4dXT9","Sierra Maestra","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","9","47266","https://p.scdn.co/mp3-preview/341432715b473ecfadbce52cf6f1350412cbf208?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
"spotify:track:6fZaPdmxn2NfrO5LnZjwE1","The 4th Branch","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","spotify:album:7wFFgBFdFJDvAM8ZHue160","Revolutionary Vol. 2","spotify:artist:7h8ja4JSORo2sXJPmCXRxa","Immortal Technique","2003-11-18","https://i.scdn.co/image/ab67616d0000b273352008cb9cc9eebee4b9a0c2","1","10","318506","https://p.scdn.co/mp3-preview/f7e601b518bf5c4e6324f5c6bd7a54ea007e3961?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-31T01:13:41Z"
