"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1CmUZGtH29Kx36C1Hleqlz","Thrift Shop (feat. Wanz)","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp, spotify:artist:56xTxG4nQMAs1GW9kvn0uA","Macklemore, Ryan Lewis, Wanz","spotify:album:0XN945pdw7kvYRndgbDuSb","Thrift Shop (feat. Wanz)","spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:4myTppRgh0rojLxx8RycOp","Macklemore, Ryan Lewis","2012-08-01","https://i.scdn.co/image/ab67616d0000b2731cdc7eab166fcbfcaf8be8f6","1","1","235613","https://p.scdn.co/mp3-preview/26cdc03872031160b4ec74e8b2bd21ae7359c46d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:16:14Z"
"spotify:track:1Z5LCXu5Ca3sHAy6OdUrBT","Machinehead","spotify:artist:78SHxLdtysAXgywQ4vE0Oa","Bush","spotify:album:72X9bb0R8LXGnVHZ3O40OK","Sixteen Stone (Remastered)","spotify:artist:78SHxLdtysAXgywQ4vE0Oa","Bush","1994-12-06","https://i.scdn.co/image/ab67616d0000b273c4235ab468f3407e2ef7e6b0","1","7","256333","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:25:39Z"
"spotify:track:3WLfwlGFy5f2A4O1daqeq8","Psycho","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:5PjJxigUDDDrBhGO2FZ5sV","Psycho","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2015-03-12","https://i.scdn.co/image/ab67616d0000b2730f00839a61473eb1a78ab0b3","1","1","316717","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:22:37Z"
"spotify:track:1158ckiB5S4cpsdYHDB9IF","My Own Summer (Shove It)","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","1","214760","https://p.scdn.co/mp3-preview/8d311acfa67d329ce5eec2dbcf336c330c70533a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:16:50Z"
"spotify:track:4ycLiPVzE5KamivXrAzGFG","Fuck You","spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8","CeeLo Green","spotify:album:3MXU6UoWrf4w4bOvjZTlvY","The Lady Killer","spotify:artist:5nLYd9ST4Cnwy6NHaCxbj8","CeeLo Green","2010-11-09","https://i.scdn.co/image/ab67616d0000b2736f50b3400595b123a916e0dc","1","3","222933","https://p.scdn.co/mp3-preview/6216c11e7e4985b35e4187765225b0d873e94f72?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:16:25Z"
"spotify:track:11LmqTE2naFULdEP94AUBa","Heart-Shaped Box","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:6ohX7moZZnF1FwYrli1OJ6","In Utero - 20th Anniversary - Deluxe Edition","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1993-09-21","https://i.scdn.co/image/ab67616d0000b273aca059cebc1841277db22d1c","1","3","281160","https://p.scdn.co/mp3-preview/72b22eeda1014182e399a6486786bb66e6a8c11f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:17:05Z"
"spotify:track:6atDVsk39X4LS1C3hdgX5l","Lose Yourself - Soundtrack Version","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","spotify:album:1Ks1EMXw9S3m8jjrXHMe99","Lose Yourself","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2002-11-13","https://i.scdn.co/image/ab67616d0000b273968da85f248a7e7747767801","1","1","320293","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:17:50Z"
"spotify:track:6HSqyfGnsHYw9MmIpa9zlZ","Forever","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x, spotify:artist:55Aa2cqylxrFIXC767Z865, spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Drake, Kanye West, Lil Wayne, Eminem","spotify:album:55UhXq8grzHPga0we8mEL3","More Than A Game","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-01-01","https://i.scdn.co/image/ab67616d0000b2737c22c8b9a5cfe27cd9914c4c","1","2","357346","https://p.scdn.co/mp3-preview/7af668657bd25db3a542b2bf2961c598e46b819e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:18:29Z"
"spotify:track:0fIC59ZyS8ThtUF0Um6zuD","Cherub Rock - Remastered 2011","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:3YDm8Vu6IOjjVdLNHlJtj0","Siamese Dream (2011 - Remaster)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1993","https://i.scdn.co/image/ab67616d0000b273f2d545725306109149c3527f","1","1","298253","","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:23:47Z"
"spotify:track:3E5XrOtqMAs7p2wKhwgOjf","Just Dance","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:7fObcBw9VM3x7ntWKCYl0z","Lady Gaga, Colby O'Donis","spotify:album:4yHr095BMG5I3IRH4ToE5l","The Fame Monster (Deluxe)","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2009-01-01","https://i.scdn.co/image/ab67616d0000b273ebb720684d839c8909d1dac3","1","9","241933","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-04-10T20:23:09Z"
