"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:44XV05LzPeL6nFtNabtBJt","Big Beast (feat. Bun B, T.I., and Trouble)","spotify:artist:2N4EYkIlG1kv25g6Wv8LGI, spotify:artist:45a6gCQWq61lIUDmr1tKuO, spotify:artist:4OBJLual30L7gRl5UkeRcT, spotify:artist:0eayuW5zGMgvXCEmcP7ivq","Killer Mike, Bun B, T.I., Trouble","spotify:album:5EAhUoAz1G3WTvIfGZvmrh","R.A.P. Music","spotify:artist:2N4EYkIlG1kv25g6Wv8LGI","Killer Mike","2012-05-15","https://i.scdn.co/image/ab67616d0000b273395afe547468f53ce908d819","1","1","234720","https://p.scdn.co/mp3-preview/f448f306078fa40d61cdf66f599d546319262a8e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T04:48:57Z"
"spotify:track:0NSYVDo4ryxNWln7TfEyex","The Next Movement","spotify:artist:78xUyw6FkVZrRAtziFdtdu, spotify:artist:3nmiIgeri4vEY7y0VpbsCn, spotify:artist:4o6gZFD9CkUCVzYqrDR3wV","The Roots, DJ Jazzy Jeff, Jazzyfatnastees","spotify:album:0qbl8aNaCUOvX8HGsZYLfh","Things Fall Apart","spotify:artist:78xUyw6FkVZrRAtziFdtdu","The Roots","1999-02-23","https://i.scdn.co/image/ab67616d0000b273bac8015c7e47644fb86e27e2","1","3","250200","https://p.scdn.co/mp3-preview/132df14ec7ff83bc38b070cc43bf52215b13dcd5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T03:30:20Z"
"spotify:track:7l3sjaDdNLDZ8paYkwgIot","Y'all Ready Know","spotify:artist:5rVbcJv0JRfhWLA3mgM73r","Slaughterhouse","spotify:album:1JKCj0I20vBfsaBPm6nkl9","Y'all Ready Know","spotify:artist:5rVbcJv0JRfhWLA3mgM73r","Slaughterhouse","2014-11-04","https://i.scdn.co/image/ab67616d0000b273899a21f22a87b709e5ac54cf","1","1","231306","https://p.scdn.co/mp3-preview/906b14e56e1df65d7ce0426a09e1c153b92b7254?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T03:29:28Z"
"spotify:track:4mgearnxcRBtuysKylvDYE","Dorks","spotify:artist:2fSaE6BXtQy0x7R7v9IOmZ","Aesop Rock","spotify:album:1An1m0S3ZdQy9Uuo476D12","The Impossible Kid","spotify:artist:2fSaE6BXtQy0x7R7v9IOmZ","Aesop Rock","2016-04-29","https://i.scdn.co/image/ab67616d0000b27312c37515c0677721b572d7ce","1","4","212906","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T03:29:39Z"
"spotify:track:6fuiDBcoeFb2OXWj8lYxce","Shattered","spotify:artist:1zDrsLJJfYel0jJruLe4Yp","Dälek","spotify:album:7MhCpYjnvvaGMIZHaXNXAF","Asphalt for Eden","spotify:artist:1zDrsLJJfYel0jJruLe4Yp","Dälek","2016-04-22","https://i.scdn.co/image/ab67616d0000b2735007b0447c34030492cda147","1","1","263777","https://p.scdn.co/mp3-preview/9a56fb80167a74cb34dc81bbed99dc10a9ba5679?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T03:29:47Z"
"spotify:track:6CTG85NJI1Wm60pxTSRNwL","Never Catch Me","spotify:artist:29XOeO6KIWxGthejQqn793, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Flying Lotus, Kendrick Lamar","spotify:album:29luvT98TnqHjVDYSRbbrj","You're Dead!","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2014-10-06","https://i.scdn.co/image/ab67616d0000b273dfa6ba57d446244054f068f4","1","5","234486","https://p.scdn.co/mp3-preview/b7ac41c66e8c929e3ac2ba4eb57a14de92fe7a5b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T03:32:48Z"
"spotify:track:3UN6UkL6M0l8vfZS7OffZ6","Lie, Cheat, Steal","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:2lPYlP4eumsjz6LBG8GCbG","Run the Jewels 2","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2014-10-24","https://i.scdn.co/image/ab67616d0000b27358fd7121f556c9c7476d99cf","1","6","208466","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T03:30:36Z"
"spotify:track:3gRlmtdCyNoKiyozn2pqc9","Mathematics","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","spotify:album:5gK2l2LgWY0BA4p9uy27z6","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b27389b56f56323925d57b38944d","1","16","246440","https://p.scdn.co/mp3-preview/9055c1de374c2cd6da967d81b6df88612f27abff?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T04:47:44Z"
"spotify:track:0uMn8WKu3qtQLaUyal1bsz","Mastermind","spotify:artist:2efzHZrUGhawnSOTpyAHOQ, spotify:artist:0YsLR3SQd5QTXAhGIGX7cl, spotify:artist:4fv5w0LJib9OMbXQegqZ01, spotify:artist:2s0438sn0pYL2OuukcFqPN","Deltron 3030, Del The Funky Homosapien, Dan The Automator, Kid Koala","spotify:album:04uhhcjGVCHodMgZjXOlye","Deltron 3030","spotify:artist:2efzHZrUGhawnSOTpyAHOQ","Deltron 3030","2000","https://i.scdn.co/image/ab67616d0000b273210c8f856757abec0806209c","1","10","214306","https://p.scdn.co/mp3-preview/28c9915b6de2303a6d7bf82c066b292eaa122856?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T04:48:14Z"
"spotify:track:3r7WTNjlxxTXParQCQeGZ8","The People","spotify:artist:2GHclqNVjqGuiE5mA7BEoc, spotify:artist:7u6LfVyYpEzMpHLL7jTyvU","Common, Dwele","spotify:album:0XFFBEzvJ7Zit24MY5oVV3","Finding Forever","spotify:artist:2GHclqNVjqGuiE5mA7BEoc","Common","2007-01-01","https://i.scdn.co/image/ab67616d0000b273aff3e314cdf20d576c4e6575","1","3","204546","https://p.scdn.co/mp3-preview/6cf4df8c7e2cf4d8b39bd5c89c5d1f92ca2cf35b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-28T04:48:45Z"
