"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4J9D4SWmWtFX2p09lnbGA3","Hip Hop","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","spotify:album:4jZI8SruF5N6sKJoWItEhl","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b2735e30279afb856f32702b796c","1","2","196440","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-05T02:25:14Z"
"spotify:track:19JUKimeLAspEwJ2SvH7Jk","Boom","spotify:artist:6DVipHzYsPlIoA0DW8Gmns","Royce Da 5'9""","spotify:album:3U1UMHqTYQLRql3qWQAUEc","Rock City","spotify:artist:6DVipHzYsPlIoA0DW8Gmns","Royce Da 5'9""","2002-11-26","https://i.scdn.co/image/ab67616d0000b27362b8580ed9ae079bac973d74","1","11","236413","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-05T02:25:19Z"
"spotify:track:4Lymo16CaHcMGBWwHicHwS","Know That","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO, spotify:artist:0lEssBAxQl2In4RpaB1C2Y","Mos Def, Talib Kweli","spotify:album:4jZI8SruF5N6sKJoWItEhl","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b2735e30279afb856f32702b796c","1","11","243506","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-05T02:25:14Z"
"spotify:track:2xTft6GEZeTyWNpdX94rkf","All Eyez On Me","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","spotify:album:4CzT5ueFBRpbILw34HQYxi","All Eyez On Me","spotify:artist:1ZwdS5xdxEREPySFridCfh","2Pac","1996-02-13","https://i.scdn.co/image/ab67616d0000b273a786ad0992cfe0b2719729bf","2","10","307773","","true","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-05T02:26:17Z"
"spotify:track:4MdEYuoGhG2RTG3erOiu2H","Vibes and Stuff","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:1p12OAWwudgMqfMzjMvl2a","The Low End Theory","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","1991-09-24","https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7","1","7","257826","https://p.scdn.co/mp3-preview/da73543fe0106417970c3ef6db9b9e59b5bf37bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-05T02:26:04Z"
"spotify:track:5pFXepfAbXlLUm5vBZXXXW","Runnin'","spotify:artist:7yk35uHNQclPXFGFoTU44w","The Pharcyde","spotify:album:4cmyem5KQFCUSR5vXlh3mQ","Waxing Off: Delicioius Vinyl's Greatest Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2001","https://i.scdn.co/image/ab67616d0000b2735ddd609fe7ea6fd686b7ff66","1","12","295160","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-05T02:26:28Z"
"spotify:track:1TVdsmnux0ppKPXDyNvgIf","The Message (feat. Melle Mel & Duke Bootee) - 12"" Single Version","spotify:artist:1teSGKe5F5NYYeuxtL65GQ, spotify:artist:4DW1Qbu1D3gD9lQEjHurAk, spotify:artist:0AWhixY9hX7LEPyPMjh4O0","Grandmaster Flash & The Furious Five feat. Melle Mel & Duke Bootee, Duke Bootee, Grandmaster Melle Mel","spotify:album:6IuyeOHi3OeL5Edr0ObKr0","Message From Beat Street, The Best Of Grandmaster Flash, Melle Mel & The Furious Five","spotify:artist:186u5QmZUtdPZBvXr7vT9z","Grandmaster Flash\, Melle Mel & The Furious Five","2005-03-22","https://i.scdn.co/image/ab67616d0000b273525defbb92c251c359b4cfed","1","6","420733","https://p.scdn.co/mp3-preview/3ba5cb7127948ea0d796a232a5bfd4d37708f7d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-05T02:27:18Z"
"spotify:track:0FWhGmPVxLI6jOVF0wjALa","Rapper's Delight","spotify:artist:7zliF6Q946WznVk3ZMYhZX","The Sugarhill Gang","spotify:album:5ccON60mNYkYjzOfu3XBoT","Rhino Hi-Five: The Sugarhill Gang","spotify:artist:7zliF6Q946WznVk3ZMYhZX","The Sugarhill Gang","2005-03-15","https://i.scdn.co/image/ab67616d0000b2731e11df565134deafff674368","1","1","427360","https://p.scdn.co/mp3-preview/4b9ea6b2d929b4a224c52512761703725acf96a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-05T02:27:13Z"
"spotify:track:2ntj6zoYOXfdQDzxo2kHrD","Still Not a Player (feat. Joe)","spotify:artist:2Xu7q46Hf02xOoEIm4E1Qs, spotify:artist:3zTOe1BtyTkwNvYZOxXktX","Big Pun, Joe","spotify:album:27kwcpCGnZAWK4fMOdDea0","The Legacy: The Best Of Big Pun","spotify:artist:2Xu7q46Hf02xOoEIm4E1Qs","Big Pun","2009-09-15","https://i.scdn.co/image/ab67616d0000b273edc436c909114a38e1305e4f","1","8","236120","https://p.scdn.co/mp3-preview/6c89d99b465483c7b403067869855dfd14f51ffa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-09-05T02:25:31Z"
"spotify:track:3gY6tiCNsuVi6s8kPV6aQg","Nas Is Like","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","spotify:album:4UhEjfIRx4tE1XRY21vwNa","I Am...","spotify:artist:20qISvAhX20dpIbOOzGK3q","Nas","1999-04-06","https://i.scdn.co/image/ab67616d0000b273f36e0749d597769ed1592847","1","13","237026","https://p.scdn.co/mp3-preview/e22e0f35a2ee8b75d3c4dd5147ad39d7dd203251?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-22T03:19:50Z"
