"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3VHybOuCYoDcDfvg0b6qc1","1009","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:5m1RkwKeU7MV0Ni6PH2lPy","Black Sands","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2010-03-29","https://i.scdn.co/image/ab67616d0000b2737da6d6787071a97593cfbcee","1","7","270426","https://p.scdn.co/mp3-preview/62e592376840292dbbb387db6fba826d684b78da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T07:53:38Z"
"spotify:track:3Thr46cX94rfPUo31w4uT7","Back From Space","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:27ftYHLeunzcSzb33Wk1hf","Out From Out Where","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2002-10-14","https://i.scdn.co/image/ab67616d0000b2739236314a5d47e2b2277ca028","1","1","292786","https://p.scdn.co/mp3-preview/90c9fe641f0351ad547e37cc27719f8ac36d4c48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T07:26:22Z"
"spotify:track:61bJEC0TJ8gnVYrq5zYiWi","Golfer versus Boxer","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:2VnITsC4ZKoOM9Qs0CaM1K","Supermodified","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2000-05-01","https://i.scdn.co/image/ab67616d0000b2734469fb1bdecfadb787326774","1","5","377346","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T07:25:50Z"
"spotify:track:1B0w0D7qTjvGinWYZYuL7a","Paused","spotify:artist:7H9Yrb2KoVErAUw0S0UVvv","Nikitch","spotify:album:1KGzD4a5Wrc4jtMD1Dl4Qt","Juke Box","spotify:artist:7H9Yrb2KoVErAUw0S0UVvv","Nikitch","2014-03-17","https://i.scdn.co/image/ab67616d0000b273a09c60a1590eb250d1a3bb34","1","2","267633","https://p.scdn.co/mp3-preview/8bfe9aceba4169b82d2d5e0bd1e898dc4d67aaa1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T07:43:03Z"
"spotify:track:5mW6KJY16S9eNBMHJXoTy0","Black White Blue","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","spotify:album:5qTKyrLsmbXH6ZLIO3Kmo5","Geography (2004)","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","1982","https://i.scdn.co/image/ab67616d0000b273d42221ab076bb0c213e29358","1","10","257480","https://p.scdn.co/mp3-preview/9342574f9ba20a56d6529e13c3c7aab2a668a94c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T07:27:16Z"
"spotify:track:2XF5JEoPwGIKd8iaUYV8HZ","Welcome To Paradise","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","spotify:album:4UEBO0etZ0ZezM8NG0cIvB","FRONT BY FRONT","spotify:artist:2tyMOS8xKREgpEwHnLc6EX","Front 242","1988","https://i.scdn.co/image/ab67616d0000b273d420efcc876363268477085b","1","10","317773","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T07:27:33Z"
"spotify:track:6KCACKOvgZWKkMVPSAmF5r","Tempo - Original Mix","spotify:artist:5Kv5KyWW0nf3w0LwvxKr1m","Defkline","spotify:album:6juvjZALEOLrBJcpLdvu5h","Jungle Cakes, Vol. 32","spotify:artist:5Kv5KyWW0nf3w0LwvxKr1m","Defkline","2014-12-22","https://i.scdn.co/image/ab67616d0000b273f0add417a791a77cb32cead9","1","1","270171","https://p.scdn.co/mp3-preview/78fdbc5066b3716fe710de060a2608096900841c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T07:40:44Z"
"spotify:track:36X54cIyiVQvYxbTnXzlxz","Dreamsters","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","spotify:album:6iXjPAUqAY5c3cVe1lNHut","Forward Escape","spotify:artist:1soJ22UMyjIw6SYFtoFJwe","Tipper","2014-05-05","https://i.scdn.co/image/ab67616d0000b273bc655ab652a8cc9e060a5efe","1","2","329000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T07:33:47Z"
"spotify:track:2y1cW84gbL4ghBD2HwcQ3x","We Could Forever","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:5m1RkwKeU7MV0Ni6PH2lPy","Black Sands","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2010-03-29","https://i.scdn.co/image/ab67616d0000b2737da6d6787071a97593cfbcee","1","6","259839","https://p.scdn.co/mp3-preview/e64ac5e1023b7f2471da198e75a5375245a41858?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T07:58:24Z"
"spotify:track:4CJSfQPPBWXj1vQIoeADVd","Green","spotify:artist:3VwKSHAfgzV1DOHV0aANCI","TOKiMONSTA","spotify:album:1jvY3JDZfN7n1mEJqkkApU","Half Shadows","spotify:artist:3VwKSHAfgzV1DOHV0aANCI","TOKiMONSTA","2013-04-08","https://i.scdn.co/image/ab67616d0000b273acefcf1bef95737ffd68a2ed","1","11","238320","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-30T08:02:50Z"
