"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5xC8uOesnn0udeXAYlAnoY","Alright","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","spotify:album:3YfIjaJEWqiSbKPguS9Bxd","I Should Coco","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","1995-05-15","https://i.scdn.co/image/ab67616d0000b2737d2fd2378160e40c96bc61ff","1","4","180880","https://p.scdn.co/mp3-preview/b8476ad1aa953668867aa8fadbfb2a9800ad017e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T06:29:13Z"
"spotify:track:37MkbRqfMdO4qlNj7C4Wfa","The Great Escape","spotify:artist:35YNL4wwv11ZkmeWWL51y7","We Are Scientists","spotify:album:2IQ6OI4Yt3yZtB8j5E2lsa","With Love And Squalor","spotify:artist:35YNL4wwv11ZkmeWWL51y7","We Are Scientists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273e76e9b8bfb239b050c72a16f","1","8","198832","https://p.scdn.co/mp3-preview/e48277313ec513f660ee4f2174c275b000b3a791?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T06:29:18Z"
"spotify:track:0ZdviWQ9dmO2doDba1DtA2","No Cities To Love","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","spotify:album:1l7gMbzE7RRAdYddJSfM5B","No Cities to Love","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","2015-01-20","https://i.scdn.co/image/ab67616d0000b27357994b5e87c4e5e67ee43996","1","4","185800","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T06:29:26Z"
"spotify:track:2YxoC2dYOotjqt08dEifsc","Chromakey Dreamcoat","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:0wBiN0fKhy0ywx732SpgUs","The Campfire Headphase","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","2005-10-17","https://i.scdn.co/image/ab67616d0000b27375ea8510776626eb920260c5","1","2","347466","https://p.scdn.co/mp3-preview/8752575c007855c2e858db276e04f568ef0d91d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T06:32:56Z"
"spotify:track:1Pc3gTtQG4Cq1x81NcXtCN","My God Is The Sun","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:06S2JBsr4U1Dz3YaenPdVq","...Like Clockwork","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2013-06-03","https://i.scdn.co/image/ab67616d0000b2731d11a5e2159392827af124d5","1","5","235400","","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T19:17:46Z"
"spotify:track:0iTpQYzJnYgh7kIxyq8A2O","Two Weeks","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","spotify:album:6FIFqclBriPCb0SjWDaHIk","Veckatimest","spotify:artist:2Jv5eshHtLycR6R8KQCdc4","Grizzly Bear","2009-05-24","https://i.scdn.co/image/ab67616d0000b273f5819f138439b3ac881a2a6b","1","2","243160","https://p.scdn.co/mp3-preview/d7918651392a70a6f338485def1982f1865c23b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T06:30:28Z"
"spotify:track:67pUK8PVn6EmpGqXyYilx4","Till We Make Our Ascent","spotify:artist:0JyCM9EwjQZZzQPGTSM1qc","The Reign of Kindo","spotify:album:5qng5oqwYDifaM96oDwD00","Rhythm, Chord & Melody","spotify:artist:0JyCM9EwjQZZzQPGTSM1qc","The Reign of Kindo","2008-08-19","https://i.scdn.co/image/ab67616d0000b2737805654f39f6d2f79d817fb8","1","6","331306","https://p.scdn.co/mp3-preview/ac4661fe0c99c550d61f7ed3a891af7e5be6f150?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T06:33:43Z"
"spotify:track:5o56ry8OduO5FjlkZC8BRd","Silence","spotify:artist:4zPGlyitRvJo7iz6OKlETa","Gomez","spotify:album:7JVet18vG279sDbxA0txpc","Split The Difference","spotify:artist:4zPGlyitRvJo7iz6OKlETa","Gomez","2004-01-01","https://i.scdn.co/image/ab67616d0000b273aaec160c891aa729c75123f1","1","3","175626","https://p.scdn.co/mp3-preview/54f3e0ebae53b47b3f5b93f0abe961023e5c23be?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T06:47:19Z"
"spotify:track:662xOLbcQsT8zFFjeADLEl","Romance","spotify:artist:4G3PykZuN4ts87LgYKI9Zu","WILD FLAG","spotify:album:2HcZpInX7XfjQ69EsGKrhS","Wild Flag","spotify:artist:4G3PykZuN4ts87LgYKI9Zu","WILD FLAG","2011-09-13","https://i.scdn.co/image/ab67616d0000b273dd6eb9c49a44f2fb8dc38047","1","1","231826","","false","18","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T06:32:06Z"
"spotify:track:4XizBlyqR7ZGVTX0Fyonm2","Today - Remastered","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:3YDm8Vu6IOjjVdLNHlJtj0","Siamese Dream (2011 - Remaster)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1993","https://i.scdn.co/image/ab67616d0000b273f2d545725306109149c3527f","1","3","201173","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T06:36:54Z"
