"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5SGXoKbLxRofhsMU5EnlD0","Kettle","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","1","235306","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
"spotify:track:5K3J2lSNQMqyl4FrYAVVEd","Deep Canvas Lake","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","2","134293","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
"spotify:track:7EU13nBd5qntu6yYOeajDe","This Room","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","3","168906","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
"spotify:track:5Zm6Law403k5JJq2iTsSqu","Zigzag","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","4","126360","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
"spotify:track:6yKA2FR88dq8DGIAn9SshP","Solo","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","5","214266","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
"spotify:track:5tnA916ez06d8xPsAeCxW4","Coalmine Dig","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","6","154840","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
"spotify:track:63sLvqYVtrWzJLzsM0ryNk","It’s A Thin Sound","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","7","292600","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
"spotify:track:4rH2WjmZ7447pKcuISpLMB","Ashtray","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","8","101400","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
"spotify:track:1szD515fd5CTIPdmWxfAko","Body Shop","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","9","146666","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
"spotify:track:1POyLstYCSlNFZvICFrCe8","Box Hole","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","spotify:album:6ABImOmaxuzfLULWVa8vfr","I’m Scared","spotify:artist:5LbQeLyzXZg0tGwRGq5ONo","Jacob’s Mouse","1993-05-01","https://i.scdn.co/image/ab67616d0000b2735f58fece65fe3e1f96a1a461","1","10","232360","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-05-25T23:09:08Z"
