"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7oXRMDUzBPekkLRTJhSGvC","I Sat By The Ocean","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:06S2JBsr4U1Dz3YaenPdVq","...Like Clockwork","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2013-06-03","https://i.scdn.co/image/ab67616d0000b2731d11a5e2159392827af124d5","1","2","235586","","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-07-24T01:38:48Z"
"spotify:track:4yl1IpHPuXUV2MjxXy6hZn","Wires","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:5RQlhjpn4qz3q2vRrAGYD9","Murder the Mountains (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2011-04-12","https://i.scdn.co/image/ab67616d0000b273363e08f434a00b57faa774e7","1","2","343306","https://p.scdn.co/mp3-preview/654831ed5091fb209af4875478f6efbe8cb366fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-07-24T01:46:48Z"
"spotify:track:1NbJFhkVdD47YZ2IojKkJi","More Human Than Human","spotify:artist:0CF71zaDOJWCynIkW9bSK8","White Zombie","spotify:album:3HugnfabsMODIbxzwxS5xC","Astro Creep: 2000 Songs Of Love, Destruction And Other Synthetic Delusions Of The Electric Head","spotify:artist:0CF71zaDOJWCynIkW9bSK8","White Zombie","1995","https://i.scdn.co/image/ab67616d0000b273d2de49f423eb924c79a155d2","1","8","268760","https://p.scdn.co/mp3-preview/2f9221fb52d28fb0acc259530cac2883c711393f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-23T22:34:53Z"
"spotify:track:2nIulsLMiP2SMTDrtxfQXX","Out of the Black","spotify:artist:2S5hlvw4CMtMGswFtfdK15","Royal Blood","spotify:album:7DJijwZ2wqJrgLpcRMxs3G","Royal Blood","spotify:artist:2S5hlvw4CMtMGswFtfdK15","Royal Blood","2014-08-25","https://i.scdn.co/image/ab67616d0000b2735009d126076953c572800954","1","1","240572","https://p.scdn.co/mp3-preview/46dd9e93f7d4fdf2d2f4dff21c5b4b35a75d4d7f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-07-24T01:47:11Z"
"spotify:track:7xl2ZaOnKAxJyrkIQe2S43","Tick Tick Boom","spotify:artist:4DToQR3aKrHQSSRzSz8Nzt","The Hives","spotify:album:3UpE4fszD4goeSoyZXq4dg","The Black and White album","spotify:artist:4DToQR3aKrHQSSRzSz8Nzt","The Hives","2007-01-01","https://i.scdn.co/image/ab67616d0000b273cd31723de0bf3c86431c2f90","1","1","205386","https://p.scdn.co/mp3-preview/376832157f2b29fc3d55900c69c4062e8c108a0e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-07T06:04:14Z"
"spotify:track:6NvRxjfYkkT2SpirAlmsjH","No One Knows","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:58HZZpS0wxJKwGjoerg0mk","Songs For The Deaf","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2002","https://i.scdn.co/image/ab67616d0000b2739b62c36a1f8ac00d60f460cc","1","3","278706","https://p.scdn.co/mp3-preview/3eb235f5fe6fead063ac0e80cb2e94f13e98d428?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-07-24T01:55:42Z"
"spotify:track:5UWwZ5lm5PKu6eKsHAGxOk","Everlong","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","11","250546","https://p.scdn.co/mp3-preview/7258a9fd5a751e9bdb7030b0da623b3b498b6ba0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-07-24T02:18:48Z"
"spotify:track:0zeqKbySjKbfW5jyl3PMsW","About A Girl - Remastered","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:1TjncssmpzxUYTZic79o7T","Bleach: Deluxe Edition","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1989-06-15","https://i.scdn.co/image/ab67616d0000b273eb4aa51554d00887eb5a5173","1","3","168160","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-07-24T02:35:34Z"
"spotify:track:37MkbRqfMdO4qlNj7C4Wfa","The Great Escape","spotify:artist:35YNL4wwv11ZkmeWWL51y7","We Are Scientists","spotify:album:2IQ6OI4Yt3yZtB8j5E2lsa","With Love And Squalor","spotify:artist:35YNL4wwv11ZkmeWWL51y7","We Are Scientists","2005-01-01","https://i.scdn.co/image/ab67616d0000b273e76e9b8bfb239b050c72a16f","1","8","198832","https://p.scdn.co/mp3-preview/e48277313ec513f660ee4f2174c275b000b3a791?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-07-25T16:35:10Z"
"spotify:track:6qZjm61s6u8Ead9sWxCDro","Elephant","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:3C2MFZ2iHotUQOSBzdSvM7","Lonerism","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2012-01-01","https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193","1","9","211226","https://p.scdn.co/mp3-preview/79a7e06a4d89526da120102c311290074ee543ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-07-25T19:17:44Z"
