"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5DQEWQoJ3deYCPkRIFm3Ci","Rings","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:0GXI4iAc5FshqWgIlaNAXO","Epoch","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2016-09-30","https://i.scdn.co/image/ab67616d0000b2735d91c6e082aa6f4d2a871e53","1","9","248642","https://p.scdn.co/mp3-preview/3a4c82fdfa601c0623473f823fe92f2fc952836b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-04T02:57:25Z"
"spotify:track:4Y2W4zKa3q72ztbkA0r8Va","Dayvan Cowboy","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:0wBiN0fKhy0ywx732SpgUs","The Campfire Headphase","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","2005-10-17","https://i.scdn.co/image/ab67616d0000b27375ea8510776626eb920260c5","1","5","300186","https://p.scdn.co/mp3-preview/7e78387377c4285a13d0282565d0714f48376f19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-01T02:34:52Z"
"spotify:track:2vWxvpycD0ELvOJr6g4pQt","WEIGHT OFF","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:65dGLGjkw3UbddUg2GKQoZ","KAYTRANADA, BADBADNOTGOOD","spotify:album:1dZZh7PvVgce1DDsDPzy8Z","99.9%","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2016-05-06","https://i.scdn.co/image/ab67616d0000b27342c18fe458181bc13d08070a","1","6","155960","","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-04T02:57:48Z"
"spotify:track:15PSdxlFWwvivB7HPU8EmU","DREAMSCAPES","spotify:artist:07UJz804RJxqNvxFXC3h9H","Sam Gellaitry","spotify:album:2IY7M0PuMq7TltqtwFAzh8","Escapism","spotify:artist:07UJz804RJxqNvxFXC3h9H","Sam Gellaitry","2015-11-30","https://i.scdn.co/image/ab67616d0000b273abf60462d2c407dace25c303","1","3","249188","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-04T02:58:43Z"
"spotify:track:6qnEO8B74YdMi3hkfQk2Xb","Marijuana","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:0ADqv18FGlEOIHni3Tg5sC","Sparks EP","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2013-03-04","https://i.scdn.co/image/ab67616d0000b2730f71dbfc5943ab3437a01817","1","2","181149","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-04T02:58:19Z"
"spotify:track:475l6IQSNwMOjHANVuCuhd","Searchers","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","spotify:album:27ftYHLeunzcSzb33Wk1hf","Out From Out Where","spotify:artist:3mvkWMe6swnknwscwvGCHO","Amon Tobin","2002-10-14","https://i.scdn.co/image/ab67616d0000b2739236314a5d47e2b2277ca028","1","4","345026","https://p.scdn.co/mp3-preview/468df166e483b0a7a5cb3bef6cf758a84b6490eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-04T03:00:31Z"
"spotify:track:0TRbihonM8LyyQ7OClspEy","Epigram","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:3I3PmRvn5iFY8i6zzvEcci","Dive","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2011-10-04","https://i.scdn.co/image/ab67616d0000b2736ce6bb858321ae9bbd66d7a2","1","9","148957","https://p.scdn.co/mp3-preview/3653e2a478b5a2b2a3b153de0b217f8fd5785743?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-05T04:14:26Z"
"spotify:track:07G9Dbpg14PlUFstgf32id","Obligatory Cadence","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:29luvT98TnqHjVDYSRbbrj","You're Dead!","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2014-10-06","https://i.scdn.co/image/ab67616d0000b273dfa6ba57d446244054f068f4","1","17","176380","https://p.scdn.co/mp3-preview/f45bb02c3f3a18544963fc32eb8294418fa3eab5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-16T22:55:44Z"
"spotify:track:0ERk18BFV3SpQvyGdsvUjr","Coast Off","spotify:artist:592TFYwu9Qb0RC1hKDbX2w","Helios","spotify:album:1OF3AnbSDa1ZSEFE7lukTb","Eingya","spotify:artist:592TFYwu9Qb0RC1hKDbX2w","Helios","2009-01-16","https://i.scdn.co/image/ab67616d0000b2738fc59fb3af5be43e27fe4ce1","1","6","292146","https://p.scdn.co/mp3-preview/844a94a2933a084e0613900c93771d5bce4dcc73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-27T17:29:17Z"
"spotify:track:0zh92qv8swG5zo3Llck4np","Victory Lap","spotify:artist:28dQP3DHob7ByZCTM5RbWR","The Merkin Dream","spotify:album:6Rcubkquw7OQ0GXwSTETEC","The Merkin Dream","spotify:artist:28dQP3DHob7ByZCTM5RbWR","The Merkin Dream","2001-08-27","https://i.scdn.co/image/ab67616d0000b27317950ab6e443e9aced5ca50f","1","13","386280","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-27T17:31:16Z"
"spotify:track:7DxrpQ64RjENyP4j8z8p0s","Tokyo Ghost Stories","spotify:artist:6wNOfYFlLoZxi37nmPIB0c","Arovane","spotify:album:5nRyzaR3hTNo81R1hCQrbL","Lilies","spotify:artist:6wNOfYFlLoZxi37nmPIB0c","Arovane","2004-06-14","https://i.scdn.co/image/ab67616d0000b2737213709bc963ca19e7412d4b","1","7","307026","https://p.scdn.co/mp3-preview/9d5c6e3862e8799792abcde5b224fa83f7fef483?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-27T17:54:44Z"
"spotify:track:2dFUtZtpWydAU4QMmUOK47","恢复","spotify:artist:2wBpW4bAGYVe0yJcBeCTyd","２８１４","spotify:album:01m2bictEiKiVzFjk0h28N","新しい日の誕生","spotify:artist:2wBpW4bAGYVe0yJcBeCTyd","２８１４","2015-01-21","https://i.scdn.co/image/ab67616d0000b2731be92a146cb0b49b0b2222f0","1","1","351200","https://p.scdn.co/mp3-preview/ccea623a8c5f9b05debb284e196e07123e38aa12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-02-13T01:28:27Z"
"spotify:track:0lOzGDHcPlUB1ZvXMWQ0Oh","One Too Many Mornings","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","spotify:album:1Bmuyq89rXZJNK1w8pauEg","Exit Planet Dust","spotify:artist:1GhPHrq36VKCY3ucVaZCfo","The Chemical Brothers","1995-01-01","https://i.scdn.co/image/ab67616d0000b2732d47d65f2938c9da2ff7f57c","1","8","253160","https://p.scdn.co/mp3-preview/8de7ec487175412774cf37a54185424b094bbf8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-12-05T20:40:53Z"
