"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3jo1u5KsNTqW07fhlr1jCf","The Stage","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","spotify:album:0jwnYwJz6XHNrVAYEclQPd","The Stage","spotify:artist:0nmQIMXWTXfhgOBdNzhGOs","Avenged Sevenfold","2016-10-28","https://i.scdn.co/image/ab67616d0000b273b645f0073b86688922006823","1","1","512024","https://p.scdn.co/mp3-preview/3f41dd4215764e590346720281ea57bae3478601?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-10T20:02:54Z"
"spotify:track:5ibwmYLW39tC3OtMYtKsXt","Cut It Short","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:7s56s2rj9VHKnZm0xK470N","Only Ghosts (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2016-10-14","https://i.scdn.co/image/ab67616d0000b2736105705bf12d78972b813e48","1","2","251626","https://p.scdn.co/mp3-preview/6a575c65c6243a158f22192d9b5316d218bdfc50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-11T17:39:30Z"
"spotify:track:0wc93RQaWLs0PQlIgBEiKs","Thundering Voices","spotify:artist:356c8AN5YWKvz86B4Sb1yf","Rival Sons","spotify:album:7btsjbOr6S2coXuoHkzTEs","Hollow Bones","spotify:artist:356c8AN5YWKvz86B4Sb1yf","Rival Sons","2016-06-10","https://i.scdn.co/image/ab67616d0000b2739e9ca0117ac7ce55bc25b4d0","1","3","172600","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-09-17T21:34:26Z"
"spotify:track:0bpeXTCwvkZad3GRtFSIOT","Public Enemy No. 1","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:7CnEVIOvZSfTF2srdqjxay","Th1rt3en","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","2011-10-26","https://i.scdn.co/image/ab67616d0000b273dbbbe6600a179a3bc4f696f4","1","2","255333","https://p.scdn.co/mp3-preview/bdf6a0bed1240433e3acae6f801a47ee62f9e675?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-10T20:41:08Z"
"spotify:track:4bDHr5yOmdI2nmbWvBpPS2","Dark Horse","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","spotify:album:0sAtQQ4Y2zewIIxFidHbVR","Axe To Fall","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","2009-10-20","https://i.scdn.co/image/ab67616d0000b27313dfb6ac92c44ac010e1d706","1","1","174746","https://p.scdn.co/mp3-preview/257c27b1df8402ddb9c9dbf02f447d55e947bf4b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-10T21:39:15Z"
"spotify:track:4FvbgKhTYHGdjJkusfma8D","Progenies of the great apocalypse","spotify:artist:6e8ISIsI7UQZPyEorefAhK","Dimmu Borgir","spotify:album:3aBT6FnNPiC8l2Fj5eUUh4","Death Cult Armageddon","spotify:artist:6e8ISIsI7UQZPyEorefAhK","Dimmu Borgir","2003","https://i.scdn.co/image/ab67616d0000b2731a21ee8e1656c5fa88202baa","1","2","317800","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-07-17T21:20:03Z"
"spotify:track:5soMJpcVhSrGrB4prvPL6P","Rip & Tear","spotify:artist:13ab1LgQZ3tQOhkDRRYB8Y","Mick Gordon","spotify:album:0KQyC28P9808r0oKKNgHvp","Doom (Original Game Soundtrack)","spotify:artist:13ab1LgQZ3tQOhkDRRYB8Y","Mick Gordon","2016-09-28","https://i.scdn.co/image/ab67616d0000b273aad36b64a1a78951b504bc4e","1","2","257734","https://p.scdn.co/mp3-preview/6acb350195e87fbc28857250900316dd85391167?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-09-28T21:43:41Z"
"spotify:track:6RyIiYvJLW4ak6IXN1eEQp","floating point","spotify:artist:14u4KXVp0iXQil79EpxXGc","The Algorithm","spotify:album:3HNzOyPbz5vPvUie7lI97X","Brute Force","spotify:artist:14u4KXVp0iXQil79EpxXGc","The Algorithm","2016-04-01","https://i.scdn.co/image/ab67616d0000b2739ea19f163bcf1986d37439fa","1","2","307326","https://p.scdn.co/mp3-preview/7d1e2a4f43500a0c8266857f79f518d764d11413?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-09-20T20:44:34Z"
"spotify:track:6NJjPvoQvLdjTPR0aZV9oT","Underground Communication","spotify:artist:1JPy5PsJtkhftfdr6saN2i, spotify:artist:0LDw3IGOCxak2UItKxUKKE","Bassnectar, Seasunz","spotify:album:6li7sJrHHDr6b5RJMKIKa6","Underground Communication","spotify:artist:1JPy5PsJtkhftfdr6saN2i","Bassnectar","2007-05-08","https://i.scdn.co/image/ab67616d0000b27342749c61c6571b32b67edd05","1","2","238893","https://p.scdn.co/mp3-preview/9487c1157d59a9af345fb50a29867d80576fb5d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-09-13T13:22:53Z"
"spotify:track:1gYn6OTpw5W6n8QaJjyY5m","Nobody Speak (feat. Run the Jewels)","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI, spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","DJ Shadow, Run The Jewels","spotify:album:2OW3iDsmS98lTqgta5Zv0O","The Mountain Will Fall","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","2016-06-24","https://i.scdn.co/image/ab67616d0000b2730578a29ab483d35a604fe0c7","1","2","195965","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-04T19:47:15Z"
