"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:75XbSFs7Pf9fqGarGWGdia","Pro-test","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","spotify:album:4bF7F58b1EyJ5Wpp2ABuCc","The Greater Wrong of the Right (Remastered)","spotify:artist:5Mu0EMEsUIVE132pNMywns","Skinny Puppy","2004","https://i.scdn.co/image/ab67616d0000b27369e567b5c6e88efdbd777131","1","2","328280","https://p.scdn.co/mp3-preview/c097afeddcd7afc91332292b55b6d8b5e315cb4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-22T02:57:10Z"
"spotify:track:4eNnMvUrSu2TRpySjVC0Pv","Superbeast","spotify:artist:3HVdAiMNjYrQIKlOGxoGh5","Rob Zombie","spotify:album:2B4lHoTCpWbxQPTZmCOjnH","Hellbilly Deluxe","spotify:artist:3HVdAiMNjYrQIKlOGxoGh5","Rob Zombie","1998-01-01","https://i.scdn.co/image/ab67616d0000b27313d4adf9e4b938f88266f4e4","1","2","220266","https://p.scdn.co/mp3-preview/13f1d235c34d58dbf7c08dd2ec15a8a88574e1b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-22T03:02:13Z"
"spotify:track:7nWKTlgg2Z7tuqeP4nUi1z","I'm Back","spotify:artist:7fWgqc4HJi3pcHhK8hKg2p","Dope","spotify:album:1PmZOixqTaRkJ6YHJq6gwa","American Apathy","spotify:artist:7fWgqc4HJi3pcHhK8hKg2p","Dope","2005-07-26","https://i.scdn.co/image/ab67616d0000b27344172ae04fdd3bc9dfd74409","1","1","205426","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-02T22:10:36Z"
"spotify:track:6PyawKQl2tQGqmitbvB4ov","Control It","spotify:artist:7JDSHlDdVTo7aZKdQZ53Vf","Static-X","spotify:album:6ArsYtEDpoPxrCQXG4rHw3","Shadow Zone","spotify:artist:7JDSHlDdVTo7aZKdQZ53Vf","Static-X","2003-10-07","https://i.scdn.co/image/ab67616d0000b27351e68094dd2b709d70f1778f","1","2","185093","https://p.scdn.co/mp3-preview/0b0fdf726b820bf2a3b6b4c4a03b9046fe8b8050?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-29T20:21:17Z"
"spotify:track:5dxgrgU05RGhDhFhw5epjn","World's On Fire","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","spotify:album:289Paad2GKomRc8vPrSJDg","Invaders Must Die","spotify:artist:4k1ELeJKT1ISyDv8JivPpB","The Prodigy","2009-02-23","https://i.scdn.co/image/ab67616d0000b27304bb1df38b918b833e3970c9","1","9","290400","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-22T02:58:50Z"
"spotify:track:3XlgWppJ9HJXnrGQYfmUuV","Fear the Fear","spotify:artist:0fLXjcDroHESf6i3iUpNDA","Neurotech","spotify:album:5uPen3nWtgPT9RBqcdWebo","Stigma","spotify:artist:0fLXjcDroHESf6i3iUpNDA","Neurotech","2015-06-08","https://i.scdn.co/image/ab67616d0000b273b91ab1673bbd14fdaffda7a6","1","2","214000","https://p.scdn.co/mp3-preview/2af618b08f4ed911f5e5aad6c939cd6b2e205862?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-04T20:44:34Z"
"spotify:track:6RyIiYvJLW4ak6IXN1eEQp","floating point","spotify:artist:14u4KXVp0iXQil79EpxXGc","The Algorithm","spotify:album:3HNzOyPbz5vPvUie7lI97X","Brute Force","spotify:artist:14u4KXVp0iXQil79EpxXGc","The Algorithm","2016-04-01","https://i.scdn.co/image/ab67616d0000b2739ea19f163bcf1986d37439fa","1","2","307326","https://p.scdn.co/mp3-preview/7d1e2a4f43500a0c8266857f79f518d764d11413?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-22T03:24:01Z"
"spotify:track:5soMJpcVhSrGrB4prvPL6P","Rip & Tear","spotify:artist:13ab1LgQZ3tQOhkDRRYB8Y","Mick Gordon","spotify:album:0KQyC28P9808r0oKKNgHvp","Doom (Original Game Soundtrack)","spotify:artist:13ab1LgQZ3tQOhkDRRYB8Y","Mick Gordon","2016-09-28","https://i.scdn.co/image/ab67616d0000b273aad36b64a1a78951b504bc4e","1","2","257734","https://p.scdn.co/mp3-preview/6acb350195e87fbc28857250900316dd85391167?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-22T03:06:29Z"
"spotify:track:6HMDHsyRfSWBbf0XdZCzny","The Walk - Instrumental","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","spotify:album:3CPtyTCOEirDSos5WzEQBt","Periphery [Instrumental]","spotify:artist:6d24kC5fxHFOSEAmjQPPhc","Periphery","2010-04-27","https://i.scdn.co/image/ab67616d0000b27327d14357d8d8aabc45e7050a","1","2","305920","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-22T03:00:55Z"
"spotify:track:0Z7VY2YzJdYThjXcMrH9Gh","Invincible","spotify:artist:2qvP9yerCZCS0U1gZU8wYp","Two Steps from Hell","spotify:album:0zOdkaCbYN1B42zw8TUYlY","Invincible","spotify:artist:2qvP9yerCZCS0U1gZU8wYp","Two Steps from Hell","2010-05-03","https://i.scdn.co/image/ab67616d0000b2738f5636c9f7c8e432f81fe29a","1","10","171561","https://p.scdn.co/mp3-preview/7614b697649bdec66287e8cf5df6739ed52e7d09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-12-10T17:47:40Z"
