"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:2XnQ8wxDzO8kinUINTQeh0","Scars","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","spotify:album:2PRvY4gZgfJLToefe9Jw1N","Autumn","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","2016-07-15","https://i.scdn.co/image/ab67616d0000b27355298ce72f3931bc19bf81c2","1","1","459320","https://p.scdn.co/mp3-preview/a90edd83be404a86ade7429fd9bf4651c45aa640?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:18Z"
"spotify:track:0iohp09bQ5Y5pwVtQT9Jke","Void","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","spotify:album:2PRvY4gZgfJLToefe9Jw1N","Autumn","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","2016-07-15","https://i.scdn.co/image/ab67616d0000b27355298ce72f3931bc19bf81c2","1","2","391546","https://p.scdn.co/mp3-preview/f3ad852c4fa3452640da76a05ee3a55349a744a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:18Z"
"spotify:track:7xxEvA3itvoHk7hN1OYtDo","Womb of emptiness","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","spotify:album:2PRvY4gZgfJLToefe9Jw1N","Autumn","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","2016-07-15","https://i.scdn.co/image/ab67616d0000b27355298ce72f3931bc19bf81c2","1","3","595586","https://p.scdn.co/mp3-preview/7660b952b9bb23c72e9e7a1f5d767e7a475ff5ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:18Z"
"spotify:track:54Ww5hBlfLJRzxTj3G6We7","Autumn shade","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","spotify:album:2PRvY4gZgfJLToefe9Jw1N","Autumn","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","2016-07-15","https://i.scdn.co/image/ab67616d0000b27355298ce72f3931bc19bf81c2","1","4","349520","https://p.scdn.co/mp3-preview/94ae5d3953059267d0116025b1d9646b28b32c9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:18Z"
"spotify:track:2ErC9Ci2EP8anSbTSmIn9r","The wind and the leaves","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","spotify:album:2PRvY4gZgfJLToefe9Jw1N","Autumn","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","2016-07-15","https://i.scdn.co/image/ab67616d0000b27355298ce72f3931bc19bf81c2","1","5","160266","https://p.scdn.co/mp3-preview/1158e9efa00c5b6629a021b5206fe1e299395731?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:18Z"
"spotify:track:4s4jD1uathgxwJdZIWvYvB","Climax of sorrow","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","spotify:album:2PRvY4gZgfJLToefe9Jw1N","Autumn","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","2016-07-15","https://i.scdn.co/image/ab67616d0000b27355298ce72f3931bc19bf81c2","1","6","415986","https://p.scdn.co/mp3-preview/0803cfddd0c18a894c4ced1167e09fce6f4d7f76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:18Z"
"spotify:track:5HCwXGAGJAbAqUEeDmZkcP","Nightfall","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","spotify:album:2PRvY4gZgfJLToefe9Jw1N","Autumn","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","2016-07-15","https://i.scdn.co/image/ab67616d0000b27355298ce72f3931bc19bf81c2","1","7","453106","https://p.scdn.co/mp3-preview/9a367280320d4cf6decf3c94ef047facfdae223a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:18Z"
"spotify:track:3tUFLlvfUW5OulArqL2fYq","Escape II","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","spotify:album:2PRvY4gZgfJLToefe9Jw1N","Autumn","spotify:artist:0y9T7O1q6PyYt8fOSJfRm5","ColdWorld","2016-07-15","https://i.scdn.co/image/ab67616d0000b27355298ce72f3931bc19bf81c2","1","8","336266","https://p.scdn.co/mp3-preview/e0f50ff7d1909333d5382c35e539a17bf093af35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:18Z"
"spotify:track:2s6K5aDsdKIyzBvqP8J842","White Horse","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","spotify:album:0KX8tc4C3TQhDnOqKVjiyf","Mystical Future","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","2016-02-05","https://i.scdn.co/image/ab67616d0000b273a717775e36978809c0c0feac","1","1","566429","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:34Z"
"spotify:track:5gSGanX6hSqUiahbY4huff","I Will Go to Your Tomb","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","spotify:album:0KX8tc4C3TQhDnOqKVjiyf","Mystical Future","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","2016-02-05","https://i.scdn.co/image/ab67616d0000b273a717775e36978809c0c0feac","1","2","364641","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:34Z"
"spotify:track:4OEIbJ7WnyvcbQ9RWUTJBi","To Transcend","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","spotify:album:0KX8tc4C3TQhDnOqKVjiyf","Mystical Future","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","2016-02-05","https://i.scdn.co/image/ab67616d0000b273a717775e36978809c0c0feac","1","3","359595","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:34Z"
"spotify:track:62T9T9ed962W479MnAk8tL","With Arms Like Wands","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","spotify:album:0KX8tc4C3TQhDnOqKVjiyf","Mystical Future","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","2016-02-05","https://i.scdn.co/image/ab67616d0000b273a717775e36978809c0c0feac","1","4","499106","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:34Z"
"spotify:track:4NHScOBl9z2iYc8peQdqXO","If You Leave","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","spotify:album:0KX8tc4C3TQhDnOqKVjiyf","Mystical Future","spotify:artist:5bK1OujQX6gjNCBPtgpft0","Wildernessking","2016-02-05","https://i.scdn.co/image/ab67616d0000b273a717775e36978809c0c0feac","1","5","783537","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:34Z"
"spotify:track:3O6yFxUwNjUOC8eeWaWmlP","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","1","313770","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:67VY3BIDP4RiNZJ8N97ign","Dark Alley","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","2","94688","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:3PiPfgHTIK9ejY9ANhYIJZ","Road to Town","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","3","146488","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:4tMHxF2AtUzh33SIOY03DJ","In a Wooden Coat","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","4","188056","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:66SMZOUSQ9Hod34iRlRY5n","Idle Hands Are the Devil's Playthings","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","5","174213","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:4OvAxIQRi4q2Keh0xdntWb","Father's Feud","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","6","191882","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:1QFf395d3IFxTFD95tbKx9","In Memoriam","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","7","180775","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:56sfMKKDOuvUM8tLhVDI6w","Stoke the Fire","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","8","164437","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:7w3APhZFgBs5IRj0rYtVrP","Bored of Canada","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","9","210560","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:73hvk17zy9qbFuf9FK7rSc","Hard Standing","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","10","115781","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:5NKRcRKtXo15M2qlc06z6G","Stalking","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","11","91888","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:7n99xXAPDrf2ZGFHBo2J2C","A Waste of Your Father's Life","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","12","129333","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:0qPGXHclpWPCZLs2zg0KkW","Spiteful Things","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","13","180928","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:1M1rYnmdkEvFDg1bB928Sh","The Hunt","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","14","111184","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
"spotify:track:5O0HCTfQMn9fpyu5IaY0vj","Snake in the Grass","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","spotify:album:4MDSi1tJPntp5jRD9qGy0O","Riverhead","spotify:artist:6bYFkBNvayh3nGqxcPp7Sv","Ulver","2016-12-09","https://i.scdn.co/image/ab67616d0000b2737b2566c445b6aa138a45131c","1","15","247988","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-01-22T02:14:54Z"
