"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0ppdt8zRZOHIKh4ZDB0Zp9","Ghost of Perdition","spotify:artist:0ybFZ2Ab08V8hueghSXm6E","Opeth","spotify:album:74QPd1WqK8kTsVNtHdBzJ8","Ghost Reveries","spotify:artist:0ybFZ2Ab08V8hueghSXm6E","Opeth","2005-08-30","https://i.scdn.co/image/ab67616d0000b2736a625dc58ebabb4aee9f97e0","1","1","629480","https://p.scdn.co/mp3-preview/beb827263fb2345bd0cecb3aa6036dc1b9433efb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-19T17:42:17Z"
"spotify:track:6H147Bkvdcxn7ONC99Eq6d","I'm Awake","spotify:artist:0xpJGyjbEzkWSNfcf2tcMl","Intervals","spotify:album:4MYLm8Uxayy4UyqFHPHfBB","The Shape of Colour","spotify:artist:0xpJGyjbEzkWSNfcf2tcMl","Intervals","2015-12-04","https://i.scdn.co/image/ab67616d0000b27305418a99083b7551b30f5593","1","1","238503","https://p.scdn.co/mp3-preview/9c954c2dfac5e2ad8f5eeed40a6c6bd7d70bad94?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-24T19:33:26Z"
"spotify:track:0dpFb4qv92TE9R00Lq4SAW","Symbolic","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","spotify:album:1QgFthItpbxvMXlgGjvhBR","Symbolic (Remastered Version)","spotify:artist:4f5V3PQ66nIrBCqugJtaGn","Death","1995-03-19","https://i.scdn.co/image/ab67616d0000b273014e93e47bf1dc746cab4930","1","1","392800","https://p.scdn.co/mp3-preview/11a7a4538f16e16c84c39f20e5817ae03226b71c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-23T17:03:02Z"
"spotify:track:2TrGmC6VaCIYaKXtzDT6Qe","Black Star","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","spotify:album:6oBBhXMZN2yS4I9eF6x2fY","Black Star","spotify:artist:1FQ6uth7icR6Jhla16K2vC","The Faceless","2017-06-13","https://i.scdn.co/image/ab67616d0000b273b4fce47bbe38e33bfa2f5930","1","1","338793","https://p.scdn.co/mp3-preview/1b8e177b0eff548f4ee0779d6008685269e96787?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-19T17:43:46Z"
"spotify:track:5Q2n8hxtCLti3rmYHYzpfm","All Bodies","spotify:artist:2JC4hZm1egeJDEolLsMwZ9","Between The Buried And Me","spotify:album:4QZBTJiAHBr2PsWQy2Wg2a","Alaska","spotify:artist:2JC4hZm1egeJDEolLsMwZ9","Between The Buried And Me","2005-09-06","https://i.scdn.co/image/ab67616d0000b273465be4f3eb75bf5cee355386","1","1","372053","https://p.scdn.co/mp3-preview/837fd6e32115596e2a71a39f7600069ec598a3d5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-25T20:17:31Z"
"spotify:track:7xlbpkfyn00fGVuSgnbdux","Semente","spotify:artist:7ENzCHnmJUr20nUjoZ0zZ1","Snarky Puppy","spotify:album:2y5N5FEb9giR3d1BP9wX9n","Culcha Vulcha","spotify:artist:7ENzCHnmJUr20nUjoZ0zZ1","Snarky Puppy","2016-04-29","https://i.scdn.co/image/ab67616d0000b2733751bb7d2961a7fcaff3642d","1","2","431733","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-25T20:18:01Z"
"spotify:track:6vpIVeyOHnKsedlxfd5a47","Wormwood","spotify:artist:4ybKgPHm2IPUSWP8LIxNSK","Callisto","spotify:album:4zuvrBPgVxbFMWb2G2UEhp","Noir","spotify:artist:4ybKgPHm2IPUSWP8LIxNSK","Callisto","2006","https://i.scdn.co/image/ab67616d0000b2730c2d55dcb5ef22b0f2ecb9b2","1","1","434053","https://p.scdn.co/mp3-preview/b6c3cab8718741854590c6ffed68c6a7d67d6b60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-19T17:42:03Z"
"spotify:track:2SV69wiCCKzoFLDs6NWM5N","I Saw the End","spotify:artist:2yeEmsTQMNHBlS5dhWtuD1","Pallbearer","spotify:album:5ypceLbDsUJywcccmyVtn2","Heartless","spotify:artist:2yeEmsTQMNHBlS5dhWtuD1","Pallbearer","2017-03-24","https://i.scdn.co/image/ab67616d0000b273c0b3f3aa840e06b57dc30588","1","1","381733","https://p.scdn.co/mp3-preview/497a2f53bd397a285f7f1135f242c274a0b9874f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-24T20:15:16Z"
"spotify:track:0rjXiBTbL5YesakYvQdgkd","Forsaken","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","spotify:album:2NNavvaS7LcOxryzfxSkgw","Spiral Shadow","spotify:artist:7mO0JGOATH8fVHvgCdZsXh","Kylesa","2010","https://i.scdn.co/image/ab67616d0000b2734436bb6c87320b8d7e4de237","1","8","221733","https://p.scdn.co/mp3-preview/f9ab16613f7aef23ed4fda1927a73d31be92ba24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-24T19:29:37Z"
"spotify:track:75VrvjAvwpfFnLK2vGHE3x","The Macrocosm","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","spotify:album:42Wvw4l3tWaVlA0KXNnZTj","Ultu Ulla","spotify:artist:67Zm35qXdPzYfl1c3M0toJ","Rings of Saturn","2017-07-28","https://i.scdn.co/image/ab67616d0000b273678d8993644a833e89d3ca05","1","8","380812","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-26T07:07:39Z"
