"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1N7RYua9aAmm5hEUERm8l7","Power Trip","spotify:artist:0kO2SRhHlmMIeyJHfHy3c9","Chimaira","spotify:album:62yjqHlZ4HVAfMchwvYEsT","The Impossibility of Reason [Special Edition]","spotify:artist:0kO2SRhHlmMIeyJHfHy3c9","Chimaira","2003-05-05","https://i.scdn.co/image/ab67616d0000b273d91ea406268b2458ca41b596","1","4","166146","https://p.scdn.co/mp3-preview/43d9981e24b8b691b38c1ccfbd5955029a7fbb33?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-10-07T22:14:07Z"
"spotify:track:3qUwyRDnKBCfGl0MZR17uk","Immortality Made Flesh","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","spotify:album:70EBTcTPwRtqqZ6Q11daLi","Slave to the Sword","spotify:artist:3jxlXqh6SD2hMUgYEHUNwG","Exmortus","2014-02-04","https://i.scdn.co/image/ab67616d0000b273bad4b1888d3e5c2231e647fb","1","3","337128","https://p.scdn.co/mp3-preview/693f26b9f6db8b8cfa1b6ff22135b6abefc0d0fb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-02-19T03:14:59Z"
"spotify:track:5QogZdR86L1ZapKldsmLem","Terrible Certainty","spotify:artist:3BM0EaYmkKWuPmmHFUTQHv","Kreator","spotify:album:7MQgRYryDo6BQcfZ9NmEd8","Terrible Certainty (Bonus Track Edition)","spotify:artist:3BM0EaYmkKWuPmmHFUTQHv","Kreator","1987","https://i.scdn.co/image/ab67616d0000b2739a3ea18e3121cae6c387ce09","1","3","267000","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-05-03T04:58:06Z"
"spotify:track:7vhjpLWOg86JE2GOpgzrEf","Divine Illusion","spotify:artist:7GkGdNLPzWw4e6ctwKvI2x","All Shall Perish","spotify:album:1Ai70ShHcsp60kZ8ONkhto","This Is Where It Ends (Bonus Version)","spotify:artist:7GkGdNLPzWw4e6ctwKvI2x","All Shall Perish","2011-07-26","https://i.scdn.co/image/ab67616d0000b273ab54f04e6c913b9dea0acf06","1","1","201365","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-02-18T22:15:20Z"
"spotify:track:5Xz7qtQeNp2xFNhncEFpKN","Truce","spotify:artist:6KVc8Llznru8n9LVCYe9dz","Death Angel","spotify:album:5bvhWVBSd1p6hBm5EIJ5Ps","Relentless Retribution","spotify:artist:6KVc8Llznru8n9LVCYe9dz","Death Angel","2010-09-14","https://i.scdn.co/image/ab67616d0000b2732beb84c3bdc69fc7595a9394","1","3","211560","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-06-26T20:34:37Z"
"spotify:track:5lZdWUv9QbMjbGAfSTqOnc","Unnatural Selection","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","spotify:album:7lIKPCvbrINW45HcmdW80Q","Unnatural Selection","spotify:artist:2jw4wgixxa20jls9N3Bdpq","Havok","2013-06-25","https://i.scdn.co/image/ab67616d0000b27361e3f41d0397a6ab5e1697d3","1","10","256440","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2013-06-26T20:33:01Z"
"spotify:track:64Oz04VZn5uMjAafC2WUj8","TOXIC GARBAGE ISLAND","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:4NDM4HzjJYI27hwvwmKj6s","The Way of all Flesh","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2008-10-13","https://i.scdn.co/image/ab67616d0000b27313b8fa330b7791a40ff039e4","1","2","246680","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-08-29T19:24:15Z"
"spotify:track:6eULdK9eyByYgMpqH1lBeF","Crusher Destroyer","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","spotify:album:3pVCnqg7COWlaodlNiJIZL","Remission (Reissue)","spotify:artist:1Dvfqq39HxvCJ3GvfeIFuT","Mastodon","2014-08-05","https://i.scdn.co/image/ab67616d0000b2736c8efe24edd3681ad84d2348","1","1","121506","https://p.scdn.co/mp3-preview/68e82f72f34c74ee760ac093e3bb90fab9659f98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-12-06T21:49:15Z"
"spotify:track:5Iz17GbIkY0M9xPhLah9MZ","Chemistry of Consciousness","spotify:artist:0WVXlaglIOtQueNbucPjZ0","Toxic Holocaust","spotify:album:4Ymfi7Lcg8UOY1J2wi7Pl5","Chemistry of Consciousness (Deluxe Version)","spotify:artist:0WVXlaglIOtQueNbucPjZ0","Toxic Holocaust","2013-10-29","https://i.scdn.co/image/ab67616d0000b273732af298261cc943e028a3bd","1","11","173600","https://p.scdn.co/mp3-preview/457694950d6a6cb6e96ab69f9ef83979f8945971?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2014-01-13T04:05:26Z"
"spotify:track:1Eudn7F7kB7DXdVKErGiQD","The Black Sheep","spotify:artist:7kozeGeawfP7IEEL6dddrM","Kataklysm","spotify:album:5M7WiEmN7H184O9qLzJrD2","Of Ghosts and Gods","spotify:artist:7kozeGeawfP7IEEL6dddrM","Kataklysm","2015-07-31","https://i.scdn.co/image/ab67616d0000b2738418227790f843098aaa6ab4","1","2","273453","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2015-10-20T17:56:48Z"
