"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4J9D4SWmWtFX2p09lnbGA3","Hip Hop","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","spotify:album:4jZI8SruF5N6sKJoWItEhl","Black On Both Sides","spotify:artist:0Mz5XE0kb1GBnbLQm2VbcO","Mos Def","1999-10-12","https://i.scdn.co/image/ab67616d0000b2735e30279afb856f32702b796c","1","2","196440","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T05:32:35Z"
"spotify:track:781V2Y5LPtcpgONEOadadE","Get Got","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","spotify:album:1PQDjdBpHPikAodJqjzm6a","The Money Store","spotify:artist:5RADpgYLOuS2ZxDq7ggYYH","Death Grips","2012-04-23","https://i.scdn.co/image/ab67616d0000b273b4f8459b0f719f8a97ee1c8c","1","1","171866","https://p.scdn.co/mp3-preview/2f92c872df55b8bda55839b78c3276d20a63f50c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T05:32:45Z"
"spotify:track:19ivXJJVcSs2pYNASAu5AB","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","spotify:album:1E72ED2DF9qg7Dr08yCkHx","ObZen","spotify:artist:3ggwAqZD3lyT2sbovlmfQY","Meshuggah","2008-03-11","https://i.scdn.co/image/ab67616d0000b2737985ff11d80ef7f01ff7ca76","1","5","264428","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T05:33:05Z"
"spotify:track:64Oz04VZn5uMjAafC2WUj8","TOXIC GARBAGE ISLAND","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","spotify:album:4NDM4HzjJYI27hwvwmKj6s","The Way of all Flesh","spotify:artist:0GDGKpJFhVpcjIGF8N6Ewt","Gojira","2008-10-13","https://i.scdn.co/image/ab67616d0000b27313b8fa330b7791a40ff039e4","1","2","246680","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T05:33:22Z"
"spotify:track:5UuikgHTxSRFRnC0zXx10i","Aqualung","spotify:artist:6w6z8m4WXX7Tub4Rb6Lu7R","Jethro Tull","spotify:album:0NGM3Ftwjw0dLNpAowmz3x","Aqualung (Special Edition)","spotify:artist:6w6z8m4WXX7Tub4Rb6Lu7R","Jethro Tull","1971-03-19","https://i.scdn.co/image/ab67616d0000b273be6e758fe8300a72eceddb8f","1","1","396186","https://p.scdn.co/mp3-preview/a5c0efc1f153c4cb3723ec7ab7f9623d6c8a18ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-02-14T02:43:58Z"
"spotify:track:6psC59ooTxage8npmtg74G","Do The Astral Plane","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:5c7XChrHxYaqykCZLaGM5f","Cosmogramma","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2010-05-03","https://i.scdn.co/image/ab67616d0000b273a9e54a589a171c955c54ed79","1","10","237920","https://p.scdn.co/mp3-preview/19b3eb7e97dc5501ec5e5e813246e163d713b0c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T05:38:25Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/c3e2e9a753345c0a10fbc6dedc8d097ad905d085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T05:33:44Z"
"spotify:track:7uMZPWBbvNUqY3baSjPx4f","Aimless Arrow","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","spotify:album:28DI3wfImTqTrHkPiOa0PI","All We Love We Leave Behind (Deluxe Edition)","spotify:artist:7kHzfxMLtVHHb523s43rY1","Converge","2012-10-09","https://i.scdn.co/image/ab67616d0000b27366453b97af3d62148b1fdb5e","1","1","143274","https://p.scdn.co/mp3-preview/8a892550f68344e3d28a83eacbddeb5708e81da0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T05:33:33Z"
"spotify:track:1TvXbNhFRbrp1SIenQ2NHM","Dig Me Out","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","spotify:album:0nbA26khGDRROFRo7D90w0","Dig Me Out (Remastered)","spotify:artist:4wLIbcoqmqI4WZHDiBxeCB","Sleater-Kinney","1997","https://i.scdn.co/image/ab67616d0000b273cd3b7737e03b5b9410f926e5","1","1","160920","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T05:33:38Z"
"spotify:track:6950ik0V6HCWgnLIFKe8FX","Blood Like Cream","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","spotify:album:2CtG0KacG7ZYR6PL5dD1jA","Whales and Leeches (Deluxe Version)","spotify:artist:3u4HBuoQ4dgPBzX2Q9uf5S","Red Fang","2013-10-15","https://i.scdn.co/image/ab67616d0000b2739122d59f5e5946c957d60086","1","2","213293","https://p.scdn.co/mp3-preview/de53004dd5f08d4335e289464cf73644053d7e43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-30T05:36:00Z"
