"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7sd69xE1kuIhE0sTt3CbKl","Lonely Planet","spotify:artist:6I1pwo5JfNKmX794auk39O","Nautiluss","spotify:album:2OFdD7KGVXmyQcRzZYpqVm","Ghostly Swim 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-04-28","https://i.scdn.co/image/ab67616d0000b273547a3464d9d4df697da1d6b5","1","13","406169","https://p.scdn.co/mp3-preview/e3f0bb2fca7eb189f6ed227ee2836d5c92a822ed?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-31T01:12:20Z"
"spotify:track:684MhaqJUuhhSId8sFFbuU","In the Place","spotify:artist:1c7bxvBwJrMuZKwx4EDPHf","Galcher Lustwerk","spotify:album:2OFdD7KGVXmyQcRzZYpqVm","Ghostly Swim 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-04-28","https://i.scdn.co/image/ab67616d0000b273547a3464d9d4df697da1d6b5","1","14","396343","https://p.scdn.co/mp3-preview/7bb10c31761f3391835b9f98e0284207c94df69c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-10-31T01:12:20Z"
"spotify:track:1rRETuT3WZx5XD39T2chaV","Terminal","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2XQ8fFk9sVraxiaxs14IRG","Forever Becoming","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2013-10-15","https://i.scdn.co/image/ab67616d0000b273e7f7ead7de142f628da7db36","1","1","207840","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-11-14T03:51:06Z"
"spotify:track:4vgY15WqMkd7iEk0XNeyqu","Deny the Absolute","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2XQ8fFk9sVraxiaxs14IRG","Forever Becoming","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2013-10-15","https://i.scdn.co/image/ab67616d0000b273e7f7ead7de142f628da7db36","1","2","335466","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-11-14T03:51:06Z"
"spotify:track:5N03GU3URNLORfAmSSVvRp","The Tundra","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2XQ8fFk9sVraxiaxs14IRG","Forever Becoming","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2013-10-15","https://i.scdn.co/image/ab67616d0000b273e7f7ead7de142f628da7db36","1","3","313173","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-11-14T03:51:06Z"
"spotify:track:11i1Napg6ZZj1gX087nGxF","Immutable Dusk","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2XQ8fFk9sVraxiaxs14IRG","Forever Becoming","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2013-10-15","https://i.scdn.co/image/ab67616d0000b273e7f7ead7de142f628da7db36","1","4","421426","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-11-14T03:51:06Z"
"spotify:track:0Yn8TphY7HMHZ0DNP8eOAB","Threnody","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2XQ8fFk9sVraxiaxs14IRG","Forever Becoming","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2013-10-15","https://i.scdn.co/image/ab67616d0000b273e7f7ead7de142f628da7db36","1","5","487640","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-11-14T03:51:06Z"
"spotify:track:0U4D5vWXLr41W6IWAGDpoo","The Cliff","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2XQ8fFk9sVraxiaxs14IRG","Forever Becoming","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2013-10-15","https://i.scdn.co/image/ab67616d0000b273e7f7ead7de142f628da7db36","1","6","246880","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-11-14T03:51:06Z"
"spotify:track:1HsYkCeC7qGDNzKBCD6LiW","Vestiges","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2XQ8fFk9sVraxiaxs14IRG","Forever Becoming","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2013-10-15","https://i.scdn.co/image/ab67616d0000b273e7f7ead7de142f628da7db36","1","7","435133","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-11-14T03:51:06Z"
"spotify:track:0ONx17UyrL9YkNYbkJQLOn","Perpetual Dawn","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","spotify:album:2XQ8fFk9sVraxiaxs14IRG","Forever Becoming","spotify:artist:0Gq06EJlfPumvCdMsnkJFp","Pelican","2013-10-15","https://i.scdn.co/image/ab67616d0000b273e7f7ead7de142f628da7db36","1","8","568680","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2017-11-14T03:51:06Z"
