"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3rDJw1MtuaaIXi5YJgIKkp","The One","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:42gzKaEcCeqH0QaC2gEutv","Vertikal","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2013-01-29","https://i.scdn.co/image/4ace249d20c459c333025a342e6d016696f04a0e","1","1","126106","https://p.scdn.co/mp3-preview/e31c770d62e582f1e7db44aa83ace7b31123a3ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-16T18:10:27Z"
"spotify:track:3NdOS4lTW8lPPZKcAOIXxc","The Weapon","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:42gzKaEcCeqH0QaC2gEutv","Vertikal","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2013-01-29","https://i.scdn.co/image/4ace249d20c459c333025a342e6d016696f04a0e","1","2","559533","https://p.scdn.co/mp3-preview/8f26d59aff24f8989b36d261d626f7b45949507c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-16T18:10:27Z"
"spotify:track:2XD74h3LLaGcbX3bCZE4rt","Vicarious Redemption","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:42gzKaEcCeqH0QaC2gEutv","Vertikal","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2013-01-29","https://i.scdn.co/image/4ace249d20c459c333025a342e6d016696f04a0e","1","3","1124973","https://p.scdn.co/mp3-preview/5d79724c79cfa229da12873a996c84993313dbe9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-16T18:10:27Z"
"spotify:track:3y9EyRJd871Wi597GDyVfR","The Sweep","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:42gzKaEcCeqH0QaC2gEutv","Vertikal","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2013-01-29","https://i.scdn.co/image/4ace249d20c459c333025a342e6d016696f04a0e","1","4","160840","https://p.scdn.co/mp3-preview/ba53a19a7f9435cbe21fe72e37a307378b6d32de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-16T18:10:27Z"
"spotify:track:5ixdpWCow66uCquEjVDx1o","Synchronicity","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:42gzKaEcCeqH0QaC2gEutv","Vertikal","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2013-01-29","https://i.scdn.co/image/4ace249d20c459c333025a342e6d016696f04a0e","1","5","433346","https://p.scdn.co/mp3-preview/9d96e248d6f55481ed343aec1904d1f7221907ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-16T18:10:27Z"
"spotify:track:6HEyYLP4Wme2Qz2OivCP3H","Mute Departure","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:42gzKaEcCeqH0QaC2gEutv","Vertikal","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2013-01-29","https://i.scdn.co/image/4ace249d20c459c333025a342e6d016696f04a0e","1","6","546600","https://p.scdn.co/mp3-preview/2247ab55db3fdbd3033c948104f0975f9b066e1e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-16T18:10:27Z"
"spotify:track:5A5U87i4AZXRjdczxlfdVI","Disharmonia","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:42gzKaEcCeqH0QaC2gEutv","Vertikal","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2013-01-29","https://i.scdn.co/image/4ace249d20c459c333025a342e6d016696f04a0e","1","7","45160","https://p.scdn.co/mp3-preview/479fe61a169a3227ce48e0a3d305be44fb90f096?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-16T18:10:27Z"
"spotify:track:5ncabF90xjA8JQHdBCXa8J","In Awe of","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:42gzKaEcCeqH0QaC2gEutv","Vertikal","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2013-01-29","https://i.scdn.co/image/4ace249d20c459c333025a342e6d016696f04a0e","1","8","596573","https://p.scdn.co/mp3-preview/5565a3a2c310f49a945118a26c02064e058dd79e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-16T18:10:27Z"
"spotify:track:0t461mfuM8eljXkEWtHTmf","Passing Through","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:42gzKaEcCeqH0QaC2gEutv","Vertikal","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2013-01-29","https://i.scdn.co/image/4ace249d20c459c333025a342e6d016696f04a0e","1","9","341866","https://p.scdn.co/mp3-preview/86cb4395dd88d153d074322b60acadb32b68e715?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-16T18:10:27Z"
"spotify:track:5bHNv9KRMITaWR2puuBQdG","Kodama","spotify:artist:0d5ZwMtCer8dQdOPAgWhe7","Alcest","spotify:album:1nWcB3qwsbx0nimMZH6sCw","Kodama","spotify:artist:0d5ZwMtCer8dQdOPAgWhe7","Alcest","2016-09-30","https://i.scdn.co/image/ab67616d0000b273dcc8ab45ec3eb23b404c86af","1","1","547400","","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-17T19:07:02Z"
"spotify:track:4wlm6FOgtNK1QI15qeaKIv","Eclosion","spotify:artist:0d5ZwMtCer8dQdOPAgWhe7","Alcest","spotify:album:1nWcB3qwsbx0nimMZH6sCw","Kodama","spotify:artist:0d5ZwMtCer8dQdOPAgWhe7","Alcest","2016-09-30","https://i.scdn.co/image/ab67616d0000b273dcc8ab45ec3eb23b404c86af","1","2","534826","","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-08-17T19:07:02Z"
