"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6LeC121AOsRRVwOIDbFCE6","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","spotify:album:74pORn5wiGdgwrlDzacDO0","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","2009-04-14","https://i.scdn.co/image/ab67616d0000b273f760b6df6919ee0f006c92f1","1","1","339800","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:35:41Z"
"spotify:track:5nJNRR5iZTua5i9DQCcX5U","Becttem Pollt","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","spotify:album:74pORn5wiGdgwrlDzacDO0","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","2009-04-14","https://i.scdn.co/image/ab67616d0000b273f760b6df6919ee0f006c92f1","1","2","320866","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:35:41Z"
"spotify:track:0ibDudGYSQ3dqPFVUjNjNz","Lussesoggi Zomn","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","spotify:album:74pORn5wiGdgwrlDzacDO0","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","2009-04-14","https://i.scdn.co/image/ab67616d0000b273f760b6df6919ee0f006c92f1","1","3","626053","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:35:41Z"
"spotify:track:7ecbLhqi7fp1tg61GKCfeU","Vissqaguell","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","spotify:album:74pORn5wiGdgwrlDzacDO0","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","2009-04-14","https://i.scdn.co/image/ab67616d0000b273f760b6df6919ee0f006c92f1","1","4","330613","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:35:41Z"
"spotify:track:4RWsRpBePyXnSBUcFsHOa4","Mederro Passquirr","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","spotify:album:74pORn5wiGdgwrlDzacDO0","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","2009-04-14","https://i.scdn.co/image/ab67616d0000b273f760b6df6919ee0f006c92f1","1","5","382546","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:35:41Z"
"spotify:track:461WAm8Qit3yMZmtMYNo9p","Axall Hasck","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","spotify:album:74pORn5wiGdgwrlDzacDO0","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","2009-04-14","https://i.scdn.co/image/ab67616d0000b273f760b6df6919ee0f006c92f1","1","6","394466","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:35:41Z"
"spotify:track:4BUxOcFxz4fbeweqiDSjO9","Maschtervoz","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","spotify:album:74pORn5wiGdgwrlDzacDO0","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","2009-04-14","https://i.scdn.co/image/ab67616d0000b273f760b6df6919ee0f006c92f1","1","7","250026","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:35:41Z"
"spotify:track:1ZkbUjGQKJv6bid94731VC","Gassttrumm","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","spotify:album:74pORn5wiGdgwrlDzacDO0","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","2009-04-14","https://i.scdn.co/image/ab67616d0000b273f760b6df6919ee0f006c92f1","1","8","564480","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:35:41Z"
"spotify:track:4OsiKdQwmiZCdSwhx5cayr","Vallczeremdoss","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","spotify:album:74pORn5wiGdgwrlDzacDO0","Nivraym","spotify:artist:5RT5HhX4GcWV55NVHt99X4","Koenjihyakkei","2009-04-14","https://i.scdn.co/image/ab67616d0000b273f760b6df6919ee0f006c92f1","1","9","289373","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:35:41Z"
"spotify:track:61ETUvhjw9Ama7Q9F4FFPe","The Madness and the Damage Done","spotify:artist:370lLcSfFuzXFatC0DFLel","Shining","spotify:album:1sXcNLAnHDZJ6hEwr0Psg8","Blackjazz","spotify:artist:370lLcSfFuzXFatC0DFLel","Shining","2010-01-25","https://i.scdn.co/image/ab67616d0000b273ac8ec2e2e501b29ace4a59ca","1","1","320440","https://p.scdn.co/mp3-preview/48a80cee30f4ddba53598d9ce60c55ebaf588739?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-01-10T07:36:00Z"
