"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:57fqmDaokbxZ3TaB0jp39q","Holy Diver","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","spotify:album:2ivNJLSx8Rbvnsvcn01Yt3","Holy Diver","spotify:artist:4CYeVo5iZbtYGBN4Isc3n6","Dio","1983","https://i.scdn.co/image/ab67616d0000b2732457ab409ae106f8ae1dff89","1","2","353786","https://p.scdn.co/mp3-preview/2b39f877d26df99740e2fd49b29e41d9001d29c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-12T05:39:50Z"
"spotify:track:01MqEw2Y7knaImpcrTqlBH","2 Minutes to Midnight - 1998 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:081qKmiSpL1orcddjYlSGE","Powerslave (1998 Remastered Version)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1984-09-03","https://i.scdn.co/image/ab67616d0000b2739cf3b3157b397c1023d02508","1","2","359786","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T00:13:34Z"
"spotify:track:7x8dCjCr0x6x2lXKujYD34","The Pretender","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:3ilXDEG0xiajK8AbqboeJz","Echoes, Silence, Patience & Grace","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","2007-09-25","https://i.scdn.co/image/ab67616d0000b27383e260c313dc1ff1f17909cf","1","1","269373","https://p.scdn.co/mp3-preview/6aba2f4e671ffe07fd60807ca5fef82d48146d4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-25T04:15:54Z"
"spotify:track:6dJODklApmve5IzgKWUqV2","Machinehead","spotify:artist:78SHxLdtysAXgywQ4vE0Oa","Bush","spotify:album:5IJm0boSQuEBLiYNZJKV2Y","Sixteen Stone (Remastered)","spotify:artist:78SHxLdtysAXgywQ4vE0Oa","Bush","2014-10-14","https://i.scdn.co/image/ab67616d0000b273b915466e715e0bf6c3da35a1","1","7","256333","https://p.scdn.co/mp3-preview/68af454375c0e97fbf4d432a146b1dd2dcae4f2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T20:34:04Z"
"spotify:track:3A5E8GUX5bdPGxxJP1IrYx","Pictures","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","spotify:album:6lA1sGw7eCv27bcpd5E0wT","Steal This Album!","spotify:artist:5eAWCfyUhZtHHtBdNk56l1","System Of A Down","2002-11-26","https://i.scdn.co/image/ab67616d0000b2737cf4c0d42c5b62c9deebdcd8","1","10","126306","https://p.scdn.co/mp3-preview/8d88be06f4e4c80999765cb0e432c55778f8f366?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-23T20:34:32Z"
"spotify:track:7vidktgNZFQylTgH1GEnMs","Cold as Ice","spotify:artist:6IRouO5mvvfcyxtPDKMYFN","Foreigner","spotify:album:1OU7zJvUfgxxPHgkTClt1M","Foreigner (Expanded)","spotify:artist:6IRouO5mvvfcyxtPDKMYFN","Foreigner","1977-03-08","https://i.scdn.co/image/ab67616d0000b273f05202b83eb981e943ca7767","1","2","200213","https://p.scdn.co/mp3-preview/cf18b5451f250c4a2f6bc8dbb720f2aa164cffa9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-25T04:20:01Z"
"spotify:track:6ndmKwWqMozN2tcZqzCX4K","Remember the Name (feat. Styles of Beyond)","spotify:artist:7dWYWUbO68rXJOcyA7SpJk, spotify:artist:5bf6yYgHODBW5EreBZshpX","Fort Minor, Styles Of Beyond","spotify:album:5v4Vx9loqMQCS3J7OmP9pa","The Rising Tied","spotify:artist:7dWYWUbO68rXJOcyA7SpJk, spotify:artist:6xBZgSMsnKVmaAxzWEwMSD","Fort Minor, Mike Shinoda","2005-11-21","https://i.scdn.co/image/ab67616d0000b273063fc4921a6d7fbac76e9bba","1","2","230493","https://p.scdn.co/mp3-preview/10ab396b7102a15123304a7cbdc453315a70e4dc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-01T03:21:37Z"
"spotify:track:5XcZRgJv3zMhTqCyESjQrF","Poison","spotify:artist:3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","spotify:album:033cvSPAuSU5ArRfIgQSDU","Trash","spotify:artist:3EhbVgyfGd7HkpsagwL9GS","Alice Cooper","1989-07-25","https://i.scdn.co/image/ab67616d0000b2735d149c05419231f335e35bb7","1","1","270080","https://p.scdn.co/mp3-preview/9974e5f534cce09666a7013c639edc451f1652e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-25T04:45:23Z"
"spotify:track:6XWOE2WxtPEMcvTWut6KSa","Sparta","spotify:artist:3o2dn2O0FCVsWDFSh8qxgG","Sabaton","spotify:album:3KePhGKcmAXACdYBFtILDX","The Last Stand","spotify:artist:3o2dn2O0FCVsWDFSh8qxgG","Sabaton","2016-08-19","https://i.scdn.co/image/ab67616d0000b2734186b858259c9ebf72bf6950","1","1","265336","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-25T04:47:19Z"
"spotify:track:5XMc5tKC1OkXsxwprNwy2W","To Hell And Back","spotify:artist:3o2dn2O0FCVsWDFSh8qxgG","Sabaton","spotify:album:5EigDkziY0nhBI6UbZuXVb","Heroes (Bonus Version)","spotify:artist:3o2dn2O0FCVsWDFSh8qxgG","Sabaton","2014-05-16","https://i.scdn.co/image/ab67616d0000b2733aaa6ee1e823f7a0ffeff27c","1","5","206546","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-10-25T04:46:19Z"
