"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5UWwZ5lm5PKu6eKsHAGxOk","Everlong","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","spotify:album:30ly6F6Xl0TKmyBCU50Khv","The Colour And The Shape","spotify:artist:7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters","1997-05-20","https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b","1","11","250546","https://p.scdn.co/mp3-preview/7258a9fd5a751e9bdb7030b0da623b3b498b6ba0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T00:57:17Z"
"spotify:track:4XizBlyqR7ZGVTX0Fyonm2","Today - Remastered","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","spotify:album:3YDm8Vu6IOjjVdLNHlJtj0","Siamese Dream (2011 - Remaster)","spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i","The Smashing Pumpkins","1993","https://i.scdn.co/image/ab67616d0000b273f2d545725306109149c3527f","1","3","201173","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T00:57:23Z"
"spotify:track:2bdUkiK4p2wuaqzcBLm1zc","4th Of July","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:29sTacnS0qA9xri6YS8xLA","Superunknown (Deluxe Edition)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b273ae6d8e36136353d550b2587d","1","13","308866","https://p.scdn.co/mp3-preview/71b896bd221cb1b4cc76aa350d2bb0a4292f3a65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T00:58:08Z"
"spotify:track:1msYmBW3Qmk4sfcrqGc3tu","Tighter & Tighter","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:1IVa98im1RfxYp6qeOIg2B","Down On The Upside","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1996-05-21","https://i.scdn.co/image/ab67616d0000b2736d70b73bcb327515e9fa8fac","1","11","366200","https://p.scdn.co/mp3-preview/10274209ed7b8ed779b3679a10c054b3c08fe6f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T00:58:40Z"
"spotify:track:7lPjS6Yd4lRk4BsboDsm1H","Roundabout - 2008 Remaster","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","spotify:album:4X6gq5bgpGXcHINlFWzriM","Fragile","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","1971-11-26","https://i.scdn.co/image/ab67616d0000b273c1b47eb8bd9667abb9bc7091","1","1","515960","https://p.scdn.co/mp3-preview/e4a3145387d57fd0e5daad4fc0ef01228c1ad131?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T00:59:16Z"
"spotify:track:3HfEgAaf0koxBpBB8NvGda","When You Sleep","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","5","251933","https://p.scdn.co/mp3-preview/c616c688e2f215ee0e501036f80e7d2f5ef1c79a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T01:00:40Z"
"spotify:track:1k0GxoZYv3Yx5mNeXMOZN2","Vital Signs","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","spotify:album:2xg7iIKoSqaDNpDbJnyCjY","Moving Pictures (2011 Remaster)","spotify:artist:2Hkut4rAAyrQxRdof7FVJq","Rush","1981-02-12","https://i.scdn.co/image/ab67616d0000b27372833c1ae3343cbfb4617073","1","7","286226","https://p.scdn.co/mp3-preview/12ebe15a0e5b3b881a743f8d7212318eb58ee955?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T01:01:23Z"
"spotify:track:61Q9oJNd9hJQFhSDh6Qlap","House Of The Rising Sun","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","spotify:album:0h5qS8o0dAoPfj6bLg3z3Y","The Best Of The Animals","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","1966-02","https://i.scdn.co/image/ab67616d0000b2733748833f246466f02d2d4fc3","1","1","269720","https://p.scdn.co/mp3-preview/030326d60b3c1c4e9d258bb795fbf600c9f24f8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T01:01:57Z"
"spotify:track:28o8m1o9RGtySbmQJtAvym","Africa","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:0pvhletDH7CphbKErUtPCF","80s 100 Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-02-26","https://i.scdn.co/image/ab67616d0000b273db56ceff816b668b7b6f04ff","1","24","260839","https://p.scdn.co/mp3-preview/6c4334c511930f083caf810624a97aebe11b39e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T01:02:05Z"
"spotify:track:4ECNtOnqzxutZkXP4TE3n3","Separate Ways (Worlds Apart)","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","spotify:album:2EFUNYmwxe0AOGxBORrfaw","Frontiers","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","1983-02-22","https://i.scdn.co/image/ab67616d0000b273b9021ad16733196aacf253c1","1","1","323706","https://p.scdn.co/mp3-preview/5afb6b698c4842ad92bd1361399d42d3eb52d625?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-16T01:02:10Z"
