"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6ggJ6MceyHGWtUg1KLp3M1","Risingson","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","spotify:album:49MNmJhZQewjt06rpwp6QR","Mezzanine","spotify:artist:6FXMGgJwohJLUSr5nVlf9X","Massive Attack","1998-01-01","https://i.scdn.co/image/ab67616d0000b2732fcb0a3c7a66e516b11cd26e","1","2","298826","https://p.scdn.co/mp3-preview/5ab45588f3c908f2aa8653f2f11dc80896d60cc6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-24T22:02:00Z"
"spotify:track:2vWxvpycD0ELvOJr6g4pQt","WEIGHT OFF","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:65dGLGjkw3UbddUg2GKQoZ","KAYTRANADA, BADBADNOTGOOD","spotify:album:1dZZh7PvVgce1DDsDPzy8Z","99.9%","spotify:artist:6qgnBH6iDM91ipVXv28OMu","KAYTRANADA","2016-05-06","https://i.scdn.co/image/ab67616d0000b27342c18fe458181bc13d08070a","1","6","155960","","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-24T22:02:04Z"
"spotify:track:3bOcLIg9pJDekTatlshXH5","Butterflies","spotify:artist:7JFO7bnWWApOFvTMS3NFgh","Anchorsong","spotify:album:0n4C1NrTOsSDibuIEoq4Cz","Ceremonial","spotify:artist:7JFO7bnWWApOFvTMS3NFgh","Anchorsong","2016-01-22","https://i.scdn.co/image/ab67616d0000b2734fdabc82cd8d531e0ded26e3","1","7","357773","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-24T22:02:04Z"
"spotify:track:3UpdkbKWKwowwMycFOpZEZ","Det som aldrig förändras/Diarabi","spotify:artist:6jP9Z7o6WlbYvKUOeO5SbP","Goat","spotify:album:7luhH7DG3J2silksmUZ73i","World Music","spotify:artist:6jP9Z7o6WlbYvKUOeO5SbP","Goat","2012-01-01","https://i.scdn.co/image/ab67616d0000b273bef08fa22fc23fca58544bf0","1","9","464040","https://p.scdn.co/mp3-preview/f886d41e4aa62812ae5a812e2855b2f0bd222f0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-25T00:10:10Z"
"spotify:track:2qC1sUo8xxRRqYsaYEdDuZ","Awake","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:7HWdGPosPkb9GY5MOgLgSW","Awake","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2014-03-18","https://i.scdn.co/image/ab67616d0000b27344f450eee039b69359699765","1","1","283636","https://p.scdn.co/mp3-preview/6359d7d3468e40bcd94d32d52c040ba005c25f4e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-24T22:03:43Z"
"spotify:track:4Y2W4zKa3q72ztbkA0r8Va","Dayvan Cowboy","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","spotify:album:0wBiN0fKhy0ywx732SpgUs","The Campfire Headphase","spotify:artist:2VAvhf61GgLYmC6C8anyX1","Boards of Canada","2005-10-17","https://i.scdn.co/image/ab67616d0000b27375ea8510776626eb920260c5","1","5","300186","https://p.scdn.co/mp3-preview/7e78387377c4285a13d0282565d0714f48376f19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-08-24T22:03:50Z"
"spotify:track:14XWXWv5FoCbFzLksawpEe","Riders on the Storm","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","spotify:album:7IKUTIc9UWuVngyGPtqNHS","L.A. Woman","spotify:artist:22WZ7M8sxp5THdruNY3gXt","The Doors","1971-04-19","https://i.scdn.co/image/ab67616d0000b27320783882533e669760741df2","1","10","434720","https://p.scdn.co/mp3-preview/e8389cbbf2abdaf5e1233ce56b59c46fda45a006?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-06T17:15:29Z"
"spotify:track:6qnEO8B74YdMi3hkfQk2Xb","Marijuana","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:0ADqv18FGlEOIHni3Tg5sC","Sparks EP","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2013-03-04","https://i.scdn.co/image/ab67616d0000b2730f71dbfc5943ab3437a01817","1","2","181149","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-08T04:11:00Z"
"spotify:track:44xf1CSrWa3zZetCZIhjhW","Little Rascal On A Rock","spotify:artist:5isSr1JUeHt5cgh8oWz1Ja","Bill Charlap Trio","spotify:album:1ljvVXm0WO7HVvc64AESd5","Notes From New York","spotify:artist:5isSr1JUeHt5cgh8oWz1Ja","Bill Charlap Trio","2016-04-01","https://i.scdn.co/image/ab67616d0000b27309cf1d4a5e743044a07bd90e","1","6","307666","https://p.scdn.co/mp3-preview/d6e8b072f897ea9f75d3824549dd3b52aac9b65d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-08T23:43:56Z"
"spotify:track:15PSdxlFWwvivB7HPU8EmU","DREAMSCAPES","spotify:artist:07UJz804RJxqNvxFXC3h9H","Sam Gellaitry","spotify:album:2IY7M0PuMq7TltqtwFAzh8","Escapism","spotify:artist:07UJz804RJxqNvxFXC3h9H","Sam Gellaitry","2015-11-30","https://i.scdn.co/image/ab67616d0000b273abf60462d2c407dace25c303","1","3","249188","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-13T23:46:14Z"
"spotify:track:5q453TyHMg7pxYdNG9nufn","The Vampyre of Time And Memory","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","spotify:album:06S2JBsr4U1Dz3YaenPdVq","...Like Clockwork","spotify:artist:4pejUc4iciQfgdX6OKulQn","Queens of the Stone Age","2013-06-03","https://i.scdn.co/image/ab67616d0000b2731d11a5e2159392827af124d5","1","3","214586","","false","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-24T04:35:36Z"
"spotify:track:07G9Dbpg14PlUFstgf32id","Obligatory Cadence","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","spotify:album:29luvT98TnqHjVDYSRbbrj","You're Dead!","spotify:artist:29XOeO6KIWxGthejQqn793","Flying Lotus","2014-10-06","https://i.scdn.co/image/ab67616d0000b273dfa6ba57d446244054f068f4","1","17","176380","https://p.scdn.co/mp3-preview/f45bb02c3f3a18544963fc32eb8294418fa3eab5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-07T08:28:53Z"
