"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6FyIEj9WupcNHWEqhL4Ocj","I'm Back Sleeping, Or Fucking, Or Something","spotify:artist:2mSqzpfJGBqSTIQa3uqDco","Moss Icon","spotify:album:5iOwL4wDuqvrKdRqdFY0G9","Complete Discography","spotify:artist:2mSqzpfJGBqSTIQa3uqDco","Moss Icon","2012-08-05","https://i.scdn.co/image/ab67616d0000b273e3601c4588a5b7c13b051d4b","1","2","189626","https://p.scdn.co/mp3-preview/e8a16c2a871aa294bfe5d66646ad12af57c058b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-06T00:38:41Z"
"spotify:track:1JdweBSkJMLjnNW6LzmXJ8","The Dream","spotify:artist:3qYfqdVwX0fil71onLpLkh","Thee Oh Sees","spotify:album:7JC1vAUtlOwe8AJ3hLmr91","Carrion Crawler / The Dream","spotify:artist:3qYfqdVwX0fil71onLpLkh","Thee Oh Sees","2011-11-08","https://i.scdn.co/image/ab67616d0000b2735030ed1aa0fc438ff3f9c67b","1","6","412040","https://p.scdn.co/mp3-preview/317ecdf8397d6a9ab27f3f46b06f73124a16683f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-05T21:11:56Z"
"spotify:track:3tJE8lFTLZIJb5fOJ2Ku7Y","Agua Verde","spotify:artist:4CyxMgnF71FyOWADVWxJRE","Strawberry Girls","spotify:album:1MBFybAUqGBfl5wROjwjvy","French Ghetto","spotify:artist:4CyxMgnF71FyOWADVWxJRE","Strawberry Girls","2013-10-07","https://i.scdn.co/image/ab67616d0000b27382ce8ad68c459a3db7db5645","1","1","347302","https://p.scdn.co/mp3-preview/21490fe7d58bbed57d65c14d77f8853938697ebf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-05T21:20:53Z"
"spotify:track:6POWwLR13Jhajy1t9KJjvS","You Will Be Shot","spotify:artist:3gkJ7lXtLpE4KauFHpk2vK","John Zorn","spotify:album:1ZJtXPcSA64FHSo5mHzvaZ","Naked City","spotify:artist:3gkJ7lXtLpE4KauFHpk2vK","John Zorn","1990-02-16","https://i.scdn.co/image/ab67616d0000b273d552e0b9aa27ccefcd4f25d1","1","3","91506","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-09-13T19:18:51Z"
"spotify:track:4wWcq4jeEAyInsKPLwFcIw","Sorceress","spotify:artist:0ybFZ2Ab08V8hueghSXm6E","Opeth","spotify:album:0JVRcixQ87LgQL1vMZ8KwV","Sorceress","spotify:artist:0ybFZ2Ab08V8hueghSXm6E","Opeth","2016-09-30","https://i.scdn.co/image/ab67616d0000b273e6fb2218126611815e6900ff","1","2","349093","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-03T17:18:07Z"
"spotify:track:3yM8iyra4fkuyf0H5RFHuE","Tell Me What I Don't Know","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","spotify:album:3e7vtKJ3m1zVh38VGq2g3H","Atrocity Exhibition","spotify:artist:7aA592KWirLsnfb5ulGWvU","Danny Brown","2016-09-27","https://i.scdn.co/image/ab67616d0000b2733e25c9ef701bb637773531fe","1","2","151979","https://p.scdn.co/mp3-preview/b89df97d1e5d278848288c898503926369bf4de1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-03T17:55:33Z"
"spotify:track:6W7Bp4vB2Kw3KxvmrsiMDs","NEW COKE","spotify:artist:6FfjnGXMhxSsJTuGLWBDth","HEALTH","spotify:album:3y1Zn1xYlQkmzflkbKPnjq","NEW COKE","spotify:artist:6FfjnGXMhxSsJTuGLWBDth","HEALTH","2015-04-24","https://i.scdn.co/image/ab67616d0000b27347978da6fae802d6463ea80a","1","1","222465","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-06T00:15:58Z"
"spotify:track:4MERcpRycdEePLxZcLeItH","The Throne Of Agony","spotify:artist:3ubX2xfDGeKJNSX020gY19","Foetus","spotify:album:5gLCDtru4j53xvZHW17FJ2","Nail","spotify:artist:3ubX2xfDGeKJNSX020gY19","Foetus","1985","https://i.scdn.co/image/ab67616d0000b273cec8bb686d0416dbcf99194a","1","2","319106","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-06T00:25:28Z"
"spotify:track:4Cl7NkiuYGqoX4yxK7kmgq","Anal Riffage","spotify:artist:3xDJcaHkVlyi4XZAXQmaaW","Gnarwhal","spotify:album:5T2YARK6bcBWWmePa6ISId","Shinerboy","spotify:artist:3xDJcaHkVlyi4XZAXQmaaW","Gnarwhal","2015-06-23","https://i.scdn.co/image/ab67616d0000b273ed82a2e7859dd4b482cb23a8","1","2","129710","https://p.scdn.co/mp3-preview/cae1076f5863b0f40b03956aa3ebf4edce73ebbe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-06T00:50:10Z"
"spotify:track:3X4rKQSuBr72wl90yOdx3J","Atrocity Exhibition - 2007 Remaster","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","spotify:album:4kT3ewGWBRAOlocyVp03bm","Closer","spotify:artist:432R46LaYsJZV2Gmc4jUV5","Joy Division","1980","https://i.scdn.co/image/ab67616d0000b273e757df971b9ca423735ff3e9","1","1","364759","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-10T00:07:45Z"
"spotify:track:0wxPewdsBgCJhRRhPWpoZd","Canal","spotify:artist:2xtXCUTxmekNFB8oIYuOfe","RATKING","spotify:album:3hXl1HiPIzbR1alZy3Eaf3","So It Goes","spotify:artist:2xtXCUTxmekNFB8oIYuOfe","RATKING","2014-04-07","https://i.scdn.co/image/ab67616d0000b273432ba4afbfd0493f97768fef","1","2","183065","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-27T19:00:44Z"
"spotify:track:0iQCEbP69CWii57erwJO37","Steinbolt","spotify:artist:4mtHSXwIHihO6MWNq5Qoko","Squarepusher","spotify:album:2DgDJIt55XlfyHpep3CFKs","Ultravisitor","spotify:artist:4mtHSXwIHihO6MWNq5Qoko","Squarepusher","2004","https://i.scdn.co/image/ab67616d0000b273f5b54c02b25abfe416e8a6ec","1","8","464760","https://p.scdn.co/mp3-preview/88c7066d8b27945ff4b4fb1a075b9e8c70ffb269?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-10-31T15:28:13Z"
"spotify:track:4l0pbMMeiYLDzcpbDSjZoa","Dummy Track","spotify:artist:6UGAEbTCZ6Y3saMDHORpPO","Why Be\, Elysia Crampton\, & Chino Amobi","spotify:album:2r3AmC7FUTejd41nmYVbzx","Elysia Crampton Presents: Demon City","spotify:artist:75v4Rn3SqXn6dmq2PFrRgN","Elysia Crampton","2016-07-22","https://i.scdn.co/image/ab67616d0000b2732fb0029ab2fd0594f9eed652","1","3","213234","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2016-11-21T23:59:52Z"
