"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:52tGZbGFCfWAxkkmroPaqA","Intelligent Worship","spotify:artist:1TKaUU8ooBgSW9TlyKsw6k","Fu Manchu","spotify:album:2K1v7kMAW5ORS0XlVlvlOs","Clone of the Universe","spotify:artist:1TKaUU8ooBgSW9TlyKsw6k","Fu Manchu","2018-02-09","https://i.scdn.co/image/ab67616d0000b273feeb03f1df3811d0330c3134","1","1","187053","https://p.scdn.co/mp3-preview/934b10370ec065bb6a03b34ac3602a33ee1f0d8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:52:48Z"
"spotify:track:3vzDX5qWEHx7POSiaOLHnj","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","3","236280","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:52:22Z"
"spotify:track:4HwJ7KGEG6Nw0yrAIrR8u5","Blam","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","4","167120","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:52:22Z"
"spotify:track:3NDXaUSkdIu36ORI7TpB7J","Post Self","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","spotify:album:4yLRI4kaOy4LhSPZ2sCVbE","Post Self","spotify:artist:5A4ebXQf38xWIq0xSWLhsS","Godflesh","2017-11-17","https://i.scdn.co/image/ab67616d0000b273fd2cd96e96c1146608b05a0e","1","1","268500","https://p.scdn.co/mp3-preview/7507c77013c93cd1132689669aa41c14d74eb0bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:54:18Z"
"spotify:track:4BVFVaa1fDo20Ud1q5Gd2N","Everybody Wants To Be Famous","spotify:artist:0Wkm45quqfx3NepJpXDvwE","Superorganism","spotify:album:15TFB6uLZlb3gnCysRrLix","Superorganism","spotify:artist:0Wkm45quqfx3NepJpXDvwE","Superorganism","2018-03-02","https://i.scdn.co/image/ab67616d0000b273157830dc62daffb4f00953c1","1","2","184986","https://p.scdn.co/mp3-preview/c5d97dccff4cf688ea96631e1015984aef4bcab5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:53:17Z"
"spotify:track:52UcjsM15hjCQAUbTW2hy1","Only Shallow","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","spotify:album:3GH4IiI6jQAIvnHVdb5FB6","Loveless","spotify:artist:3G3Gdm0ZRAOxLrbyjfhii5","my bloody valentine","1991-11-04","https://i.scdn.co/image/ab67616d0000b2730ede770070357575bc050511","1","1","257519","https://p.scdn.co/mp3-preview/c3e2e9a753345c0a10fbc6dedc8d097ad905d085?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:54:57Z"
"spotify:track:5viH1NKDyMdZZKepbyTY8w","Fen of Shadows","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","spotify:album:03T9bKKlfydmgyarZCKlDo","Devouring Radiant Light","spotify:artist:213mmq3zkNWx7CtfzftTC5","Skeletonwitch","2018-07-20","https://i.scdn.co/image/ab67616d0000b27330f1b4bb3c332db3d669f26d","1","1","478506","https://p.scdn.co/mp3-preview/7bc9d2658e96915226e78a0caadb665b96a23d24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:53:33Z"
"spotify:track:3HgA5R5alihocnOYE9ihpS","Hard Piano","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Pusha T, Rick Ross","spotify:album:07bIdDDe3I3hhWpxU6tuBp","DAYTONA","spotify:artist:0ONHkAv9pCAFxb0zJwDNTy","Pusha T","2018-05-25","https://i.scdn.co/image/ab67616d0000b273263555eebbe2b375593aa31e","1","3","195733","https://p.scdn.co/mp3-preview/854ca36c748e97367e45f8715aae509fb2cbe4a8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:53:58Z"
"spotify:track:7uDRYzCgOPTYDuTSfNpuxo","Marijuanaut's Theme","spotify:artist:4Mt6w4tDGiPgV5q6JWPlrI","Sleep","spotify:album:790MeSzafcgXNCoY2AagnP","The Sciences","spotify:artist:4Mt6w4tDGiPgV5q6JWPlrI","Sleep","2018-04-20","https://i.scdn.co/image/ab67616d0000b273feee83b559123cb23b171fac","1","2","399893","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:52:33Z"
"spotify:track:2KrHM3YwVwewEAxss7iuj7","Nowhere2go","spotify:artist:3A5tHz1SfngyOZM2gItYKu","Earl Sweatshirt","spotify:album:66at85wgO2pu5CccvqUF6i","Some Rap Songs","spotify:artist:3A5tHz1SfngyOZM2gItYKu","Earl Sweatshirt","2018-11-30","https://i.scdn.co/image/ab67616d0000b2732b688ab63b1a5f281cfdf451","1","4","113786","https://p.scdn.co/mp3-preview/d9010cc9c262162bd9411a863fbbbf37f33d8317?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T06:53:02Z"
