"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1DaHUMcaC22IWHG9ueTm9A","Dichotomy","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","1","130792","https://p.scdn.co/mp3-preview/0d247a57610d0cef8ac2ff2f4eefcee59ee7bf8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
"spotify:track:3MPcrOR4Q7iaHtzZUj338u","Vessel Deserted","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","2","131116","https://p.scdn.co/mp3-preview/046a80af6856383cd49c9913c91f7d441164dd10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
"spotify:track:3UI5wBgRpZ0hI7Ce8Qo1tx","Coven of the Larynx","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","3","63011","https://p.scdn.co/mp3-preview/001ce7ea2d0a6ae9d1a00967be8038bc81a15a2c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
"spotify:track:6hWqKr6gYPJkWy4lcIEIBa","Throbbing Lung Fiber","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","4","62162","https://p.scdn.co/mp3-preview/4ab43774c107bfdfb76f2ce09adb837b9be426e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
"spotify:track:56KjpJrREQkoh8Mcgbh1Nk","Indigince and Guilt","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","5","111128","https://p.scdn.co/mp3-preview/7e0bbb32186b2bec4722f97b13208218338e3046?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
"spotify:track:6SRhvzjVguhN0cgMXPgxVv","Embrace","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","6","217772","https://p.scdn.co/mp3-preview/c67f9d594b3575d8608e28b23a997ab1abefa17a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
"spotify:track:53OTpolwEIxZuI1ZcI9JxB","The Lord Is My Light","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","7","261000","https://p.scdn.co/mp3-preview/1fd1718c71e34262bbf49c3b49cee5ee9fe8ae57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
"spotify:track:3oxrpmmOL3HIoBQwuR5sP4","Bone Coral and Brine","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","8","114131","https://p.scdn.co/mp3-preview/12818b7acced4361c9c55e9b3ab1f0ccb11b4d19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
"spotify:track:1ZMOx2lA0WyiV4WJq0DDYS","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","9","126801","https://p.scdn.co/mp3-preview/1ef301fd231fe3570d12ec694a23b08465647d61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
"spotify:track:4gudsNkMVrlKVBmwyi9CAS","In Contempt of Life","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","spotify:album:2ZPZB6SSLteZeXRuu0wEob","Rudiments of Mutilation","spotify:artist:1i5rlthy5CmAYWaFOB0jhz","Full Of Hell","2013-06-11","https://i.scdn.co/image/ab67616d0000b273669305544483b5392354f7f3","1","10","236194","https://p.scdn.co/mp3-preview/c93a2023651fcbdfdf896cc74c4d981ae69cd110?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-12-27T04:20:04Z"
