"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5ROv4VrNK6tC02lniakUST","I.O.T.A (Instrument Of The Ancestors)","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","1","69737","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
"spotify:track:0wofdmXEeTqYSRIG5B2k0S","Play It Up","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","2","228964","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
"spotify:track:3vzDX5qWEHx7POSiaOLHnj","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","3","236280","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
"spotify:track:4HwJ7KGEG6Nw0yrAIrR8u5","Blam","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","4","167120","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
"spotify:track:6zLlUJxpSZLkMZyRRDQJnZ","Williehook (Skit)","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","5","54613","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
"spotify:track:56McrupexmFgrKhaEZwoVk","Aerosol","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","6","121115","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
"spotify:track:37JA2i0z0GoSU8Tk6dIn9s","Vital Transformation","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","7","268543","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
"spotify:track:6Fdr5NlA7c0azkEpFNVCDx","You Can Always Count On Me","spotify:artist:2RdnkH5txHb9c4vGwq0I31, spotify:artist:2x4v3gUutPfJIsUXqfTn99","Georgia Anne Muldrow, Shana Jenson","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","8","185887","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
"spotify:track:5oODaBetIinJBFekYTwwhm","These Are The Things I Really Like About You","spotify:artist:2RdnkH5txHb9c4vGwq0I31, spotify:artist:08xLtQbGdIZfVfk6QTgYIW","Georgia Anne Muldrow, Dudley Perkins","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","9","135446","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
"spotify:track:4Hzs4uPXWb0ls9OPT7KoXZ","Canadian Hillbilly","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","spotify:album:0B7fXvfjRwx643vbLB8YMz","Overload","spotify:artist:2RdnkH5txHb9c4vGwq0I31","Georgia Anne Muldrow","2018-10-26","https://i.scdn.co/image/ab67616d0000b2737f2955cd840ab2af2c55d93c","1","10","261507","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-11-09T18:42:36Z"
