"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4jDmJ51x1o9NZB5Nxxc7gY","Careless Whisper","spotify:artist:19ra5tSw0tWufvUp8GotLo","George Michael","spotify:album:3coLNlyStg9h7f8CZ103Rl","Ladies And Gentlemen... The Best Of George Michael","spotify:artist:19ra5tSw0tWufvUp8GotLo","George Michael","1998-11-09","https://i.scdn.co/image/ab67616d0000b27364c19b24ce947ffa363f8f96","1","3","300106","https://p.scdn.co/mp3-preview/75d3d091213d60d9f3ed2c0698b846177076b0d0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:13:49Z"
"spotify:track:61Q9oJNd9hJQFhSDh6Qlap","House Of The Rising Sun","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","spotify:album:0h5qS8o0dAoPfj6bLg3z3Y","The Best Of The Animals","spotify:artist:3ICflSq6ZgYAIrm2CTkfVP","The Animals","1966-02","https://i.scdn.co/image/ab67616d0000b2733748833f246466f02d2d4fc3","1","1","269720","https://p.scdn.co/mp3-preview/030326d60b3c1c4e9d258bb795fbf600c9f24f8e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:13:49Z"
"spotify:track:4mKlzy0qaK1c2Qw5e2VqpF","Killer Queen","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:2vDNi8F9UpSCaBHeKQ3nzh","Greatest Hits","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1981-10-26","https://i.scdn.co/image/ab67616d0000b273f17b3bda655e0f961cd40a5d","1","4","180066","https://p.scdn.co/mp3-preview/cf76b5d7fc4a256be59eb30880978ad6a8871f7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:13:55Z"
"spotify:track:7lPjS6Yd4lRk4BsboDsm1H","Roundabout - 2008 Remaster","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","spotify:album:4X6gq5bgpGXcHINlFWzriM","Fragile","spotify:artist:7AC976RDJzL2asmZuz7qil","Yes","1971-11-26","https://i.scdn.co/image/ab67616d0000b273c1b47eb8bd9667abb9bc7091","1","1","515960","https://p.scdn.co/mp3-preview/e4a3145387d57fd0e5daad4fc0ef01228c1ad131?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:14:19Z"
"spotify:track:1ckCAIKgbrIl2kjYyH86pJ","Love Is A Battlefield - Remastered","spotify:artist:43mhFhQ4JAknA7Ik1bOZuV","Pat Benatar","spotify:album:7LF3dh4kSegu8qsXkkzpPH","Greatest Hits","spotify:artist:43mhFhQ4JAknA7Ik1bOZuV","Pat Benatar","2005-01-01","https://i.scdn.co/image/ab67616d0000b273b6a5fe352d07b9b469d0f5f8","1","13","250426","https://p.scdn.co/mp3-preview/4f5f2399ff15c2d90536ffbd56a87d5d3cd741b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:14:27Z"
"spotify:track:7c5lMuvtz2gddhDyG5MjB6","The Final Countdown","spotify:artist:7Js6Lde8thlIHXggv2SCBz","Europe","spotify:album:0pvhletDH7CphbKErUtPCF","80s 100 Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-02-26","https://i.scdn.co/image/ab67616d0000b273db56ceff816b668b7b6f04ff","1","4","236760","https://p.scdn.co/mp3-preview/862bd41c1edfc10d6638c59e829625dd3d01e6c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:14:43Z"
"spotify:track:0jSRZBsn3RqAhBDzAefHAD","Eye of the Tiger","spotify:artist:26bcq2nyj5GB7uRr558iQg","Survivor","spotify:album:0pvhletDH7CphbKErUtPCF","80s 100 Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-02-26","https://i.scdn.co/image/ab67616d0000b273db56ceff816b668b7b6f04ff","1","5","227413","https://p.scdn.co/mp3-preview/afefee0274785465447a81de1d4b08a0d8ea8279?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:14:48Z"
"spotify:track:3HRQtRUYnnuZY7fE900XtJ","Don't Stop Believin'","spotify:artist:0rvjqX7ttXeg3mTy8Xscbt","Journey","spotify:album:0pvhletDH7CphbKErUtPCF","80s 100 Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-02-26","https://i.scdn.co/image/ab67616d0000b273db56ceff816b668b7b6f04ff","1","14","248200","https://p.scdn.co/mp3-preview/e27a6fa83d8b538e267e206f0dd8ac6303282eb5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:14:48Z"
"spotify:track:28o8m1o9RGtySbmQJtAvym","Africa","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:0pvhletDH7CphbKErUtPCF","80s 100 Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-02-26","https://i.scdn.co/image/ab67616d0000b273db56ceff816b668b7b6f04ff","1","24","260839","https://p.scdn.co/mp3-preview/6c4334c511930f083caf810624a97aebe11b39e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:14:48Z"
"spotify:track:3mL0pzaHLsjJoaGfvQWyD5","September","spotify:artist:4QQgXkCYTt3BlENzhyNETg","Earth\, Wind & Fire","spotify:album:1k7WkNHGPNPnri2tsowvtg","70s 100 Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-03-01","https://i.scdn.co/image/ab67616d0000b273871ab8561721e8967eda8269","1","23","215320","https://p.scdn.co/mp3-preview/6ee132feacc021812f3fe2fc9b490eb0e4394de2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-07-09T20:14:56Z"
